"pc","ca"
0AD,E07000117
0AE,E07000117
0AF,E07000117
0AJ,E07000117
0AL,E07000117
0AN,E07000117
0AP,E07000117
0AQ,E07000117
0AR,E07000117
0AS,E07000117
0AT,E07000117
0AU,E07000117
0AX,E07000117
0AZ,E07000117
0BA,E07000117
0BB,E07000117
0BD,E07000117
0BE,E07000117
0BG,E07000117
0BN,E07000117
0BP,E07000117
0BQ,E07000117
0BT,E07000117
0BU,E07000117
0BX,E07000117
0BY,E07000117
0BZ,E07000117
0DA,E07000117
0DB,E07000117
0DD,E07000117
0DE,E07000117
0DF,E07000117
0DG,E07000117
0DH,E07000117
0DJ,E07000117
0DL,E07000117
0DN,E07000117
0DQ,E07000117
0DR,E07000117
0DX,E07000117
0DY,E07000117
0EA,E07000122
0EB,E07000117
0ED,E07000117
0EE,E07000117
0EF,E07000117
0EG,E07000117
0EH,E07000117
0EL,E07000117
0EN,E07000117
0EQ,E07000117
0EX,E07000117
0EY,E07000117
0EZ,E07000117
0GH,E07000117
0GT,E07000117
0HA,E07000117
0HB,E07000117
0HD,E07000117
0HE,E07000117
0HF,E07000117
0HG,E07000117
0HH,E07000117
0HJ,E07000117
0HL,E07000117
0HN,E07000117
0HP,E07000117
0HQ,E07000117
0HR,E07000117
0HS,E07000117
0HT,E07000117
0HU,E07000117
0HW,E07000117
0HX,E07000117
0HY,E07000117
0HZ,E07000117
0JA,E07000117
0JB,E07000117
0JD,E07000117
0JE,E07000117
0JF,E07000117
0JG,E07000117
0JH,E07000117
0JJ,E07000117
0JL,E07000117
0JN,E07000117
0JP,E07000117
0JQ,E07000117
0JR,E07000117
0JS,E07000117
0JT,E07000117
0JU,E07000117
0JW,E07000117
0JX,E07000117
0JY,E07000117
0JZ,E07000117
0LA,E07000117
0LB,E07000117
0LD,E07000117
0LE,E07000117
0LF,E07000117
0LG,E07000117
0LH,E07000117
0LJ,E07000117
0LL,E07000117
0LN,E07000117
0LP,E07000117
0LQ,E07000117
0LS,E07000117
0LT,E07000117
0LU,E07000117
0LW,E07000117
0LX,E07000117
0LY,E07000117
0LZ,E07000117
0ND,E07000117
0NG,E07000117
0NH,E07000117
0NJ,E07000117
0NL,E07000117
0NN,E07000117
0NP,E07000117
0NQ,E07000117
0NR,E07000117
0NX,E07000117
0PA,E07000117
0PB,E07000117
0PN,E07000117
0PP,E07000117
0PQ,E07000117
0PR,E07000117
0PS,E07000117
0PT,E07000117
0PU,E07000117
0PX,E07000117
0PY,E07000117
0QA,E07000117
0QB,E07000117
0QZ,E07000117
0RA,E07000117
0RB,E07000117
0RE,E07000117
0RP,E07000117
0RT,E07000117
0RU,E07000117
0RW,E07000117
0RZ,E07000122
0TA,E07000117
0TB,E07000117
0TD,E07000117
0TE,E07000117
0TF,E07000117
0TG,E07000117
0TJ,E07000117
0TN,E07000117
0TP,E07000117
0TR,E07000117
0TS,E07000117
0TW,E07000117
0TX,E07000117
0WX,E07000117
0XH,E07000117
6AA,E07000117
6AB,E07000117
6AD,E07000117
6AE,E07000117
6AF,E07000117
6AG,E07000117
6AH,E07000117
6AJ,E07000117
6AN,E07000117
6AP,E07000117
6AQ,E07000117
6AR,E07000117
6AS,E07000117
6AT,E07000117
6AU,E07000117
6AW,E07000117
6AX,E07000117
6AY,E07000117
6AZ,E07000117
6BA,E07000117
6BB,E07000117
6BD,E07000117
6BE,E07000117
6BX,E07000117
6BY,E07000117
6BZ,E07000117
6DA,E07000117
6DB,E07000117
6DD,E07000117
6DE,E07000117
