"pc","ca"
0AA,E06000028
0AB,E06000028
0AD,E06000028
0AE,E06000028
0AF,E06000028
0AG,E06000028
0AH,E06000028
0AJ,E06000028
0AL,E06000028
0AN,E06000028
0AP,E06000028
0AQ,E06000028
0AS,E06000028
0AT,E06000028
0AU,E06000028
0AX,E06000028
0AY,E06000028
0AZ,E06000028
0BA,E06000028
0BB,E06000028
0BD,E06000028
0BG,E06000028
0BJ,E06000028
0BL,E06000028
0BP,E06000028
0BQ,E06000028
0BS,E06000028
0BT,E06000028
0BU,E06000028
0BX,E06000028
0BY,E06000028
0BZ,E06000028
0DB,E06000028
0DD,E06000028
0DE,E06000028
0DF,E06000028
0DG,E06000028
0DH,E06000028
0DJ,E06000028
0DL,E06000028
0DN,E06000028
0DP,E06000028
0DQ,E06000028
0DR,E06000028
0DS,E06000028
0DT,E06000028
0DU,E06000028
0DW,E06000028
0DX,E06000028
0DY,E06000028
0DZ,E06000028
0EB,E06000028
0ED,E06000028
0EE,E06000028
0EF,E06000028
0EG,E06000028
0EH,E06000028
0EJ,E06000028
0EL,E06000028
0EN,E06000028
0EP,E06000028
0EQ,E06000028
0ER,E06000028
0ES,E06000028
0ET,E06000028
0EU,E06000028
0EW,E06000028
0EX,E06000028
0EY,E06000028
0EZ,E06000028
0FA,E06000028
0FB,E06000028
0HA,E06000028
0HB,E06000028
0HD,E06000028
0HE,E06000028
0HF,E06000028
0HG,E06000028
0HH,E06000028
0HJ,E06000028
0HL,E06000028
0HN,E06000028
0HP,E06000028
0HQ,E06000028
0HR,E06000028
0HS,E06000028
0HT,E06000028
0HU,E06000028
0HW,E06000028
0HX,E06000028
0HY,E06000028
0HZ,E06000028
0JA,E06000028
0JB,E06000028
0JD,E06000028
0JE,E06000028
0JF,E06000028
0JG,E06000028
0JH,E06000028
0JJ,E06000028
0JL,E06000028
0JN,E06000028
0JP,E06000028
0JQ,E06000028
0JR,E06000028
0JS,E06000028
0JT,E06000028
0JU,E06000028
0JW,E06000028
0JX,E06000028
0JY,E06000028
0JZ,E06000028
0LA,E06000028
0LB,E06000028
0LD,E06000028
0LE,E06000028
0LF,E06000028
0LG,E06000028
0LH,E06000028
0LJ,E06000028
0LL,E06000028
0LN,E06000028
0LP,E06000028
0LQ,E06000028
0LR,E06000028
0LS,E06000028
0LT,E06000028
0LU,E06000028
0LW,E06000028
0LX,E06000028
0LY,E06000028
0NH,E06000028
0NJ,E06000028
0NL,E06000028
0NN,E06000028
0NP,E06000028
0NR,E06000028
0NS,E06000028
0NT,E06000028
0NU,E06000028
0NW,E06000028
0NX,E06000028
0NY,E06000028
0NZ,E06000028
0PA,E06000028
0PB,E06000028
0PD,E06000028
0PE,E06000028
0PF,E06000028
0PG,E06000028
0PH,E06000028
0PL,E06000028
0PN,E06000028
0PQ,E06000028
0PW,E06000028
0PX,E06000028
0PY,E06000028
0PZ,E06000028
0QA,E06000028
0WG,E06000028
8AA,E06000028
8AD,E06000028
8AF,E06000028
8AJ,E06000028
8AL,E06000028
8AP,E06000028
8AQ,E06000028
8AS,E06000028
8AT,E06000028
8AW,E06000028
8AX,E06000028
8AY,E06000028
8AZ,E06000028
8BB,E06000028
8BE,E06000028
8BG,E06000028
8BH,E06000028
8BJ,E06000028
8BL,E06000028
8BN,E06000028
8BP,E06000028
8BS,E06000028
8BT,E06000028
8BU,E06000028
8BX,E06000028
8BY,E06000028
8BZ,E06000028
8DA,E06000028
8DD,E06000028
8DE,E06000028
8DF,E06000028
8DG,E06000028
8DH,E06000028
8DJ,E06000028
8DL,E06000028
8DN,E06000028
8DQ,E06000028
