"pc","ca"
0AA,S12000030
0AB,S12000030
0AD,S12000030
0AF,S12000030
0AG,S12000030
0AH,S12000030
0AL,S12000030
0AN,S12000030
0AP,S12000030
0AQ,S12000030
0AR,S12000030
0AS,S12000030
0AT,S12000030
0AU,S12000030
0AW,S12000030
0AX,S12000030
0AY,S12000030
0BA,S12000030
0BB,S12000030
0BD,S12000030
0BE,S12000030
0BF,S12000030
0BG,S12000030
0BH,S12000030
0BJ,S12000030
0BL,S12000030
0BN,S12000030
0BP,S12000030
0BS,S12000030
0BU,S12000030
0BW,S12000030
0BX,S12000030
0BY,S12000030
0BZ,S12000030
0DA,S12000030
0DB,S12000030
0DD,S12000030
0DE,S12000030
0DF,S12000030
0DG,S12000030
0DH,S12000030
0DJ,S12000030
0DL,S12000030
0DN,S12000030
0DP,S12000030
0DQ,S12000030
0DR,S12000030
0DS,S12000030
0DT,S12000030
0DU,S12000030
0DW,S12000030
0DX,S12000030
0DY,S12000030
0DZ,S12000030
0EA,S12000030
0EB,S12000030
0ED,S12000030
0EE,S12000030
0EF,S12000030
0EG,S12000030
0EH,S12000030
0EJ,S12000030
0EL,S12000030
0ER,S12000030
0EW,S12000030
0EX,S12000030
0EY,S12000030
0EZ,S12000030
0FA,S12000030
0FB,S12000030
0FD,S12000030
0FE,S12000030
0FG,S12000030
0FH,S12000030
0FJ,S12000030
0FL,S12000030
0FN,S12000030
0FP,S12000030
0FQ,S12000030
0FR,S12000030
0FS,S12000030
0GA,S12000030
0GD,S12000030
0GY,S12000030
0GZ,S12000030
0HA,S12000030
0HB,S12000030
0HD,S12000030
0HE,S12000030
0HF,S12000030
0HG,S12000030
0HH,S12000030
0HJ,S12000030
0HL,S12000030
0HN,S12000030
0HP,S12000030
0HQ,S12000030
0HR,S12000030
0HS,S12000030
0HT,S12000030
0HU,S12000030
0HX,S12000030
0HY,S12000030
0HZ,S12000030
0JA,S12000030
0JB,S12000030
0JD,S12000030
0JE,S12000030
0JF,S12000030
0JG,S12000030
0JH,S12000030
0JJ,S12000030
0JL,S12000030
0JN,S12000030
0JP,S12000030
0JQ,S12000030
0JR,S12000030
0JS,S12000030
0JT,S12000030
0JU,S12000030
0JW,S12000030
0JX,S12000030
0JY,S12000030
0JZ,S12000030
0LA,S12000030
0LB,S12000030
0LD,S12000024
0LE,S12000024
0LF,S12000030
0LG,S12000030
0LH,S12000024
0LJ,S12000030
0LL,S12000030
0LN,S12000030
0LP,S12000030
0LQ,S12000030
0LR,S12000024
0LS,S12000024
0LW,S12000024
0LX,S12000024
0LY,S12000024
0LZ,S12000024
0NA,S12000024
0NB,S12000024
0ND,S12000024
0NE,S12000030
0NF,S12000030
0NG,S12000030
0NH,S12000030
0NJ,S12000030
0NL,S12000030
0NN,S12000030
0NP,S12000030
0NQ,S12000030
0NR,S12000030
0NS,S12000030
0NT,S12000030
0NU,S12000030
0NW,S12000030
0NX,S12000030
0NZ,S12000024
0PA,S12000030
0PB,S12000030
0PD,S12000030
0QB,S12000030
0YJ,S12000030
0YL,S12000030
5AP,S12000030
5AT,S12000030
9AA,S12000030
9AB,S12000030
9AD,S12000030
9AE,S12000030
9AF,S12000030
9AG,S12000030
9AH,S12000030
9AJ,S12000030
9AL,S12000030
9AN,S12000030
9AP,S12000030
9AQ,S12000030
9AR,S12000030
9AS,S12000030
9AT,S12000030
9AU,S12000030
9AW,S12000030
9AX,S12000030
9AY,S12000030
9AZ,S12000030
9BA,S12000030
9BB,S12000030
9BE,S12000030
9BF,S12000030
9BG,S12000030
9BJ,S12000030
9BL,S12000030
9BN,S12000030
9BP,S12000030
9BQ,S12000030
9BS,S12000030
9BT,S12000030
9BU,S12000030
9BW,S12000030
9BX,S12000030
9BY,S12000030
9BZ,S12000030
9DA,S12000030
9DB,S12000030
9DD,S12000030
9DE,S12000030
9DF,S12000030
9DG,S12000030
9DH,S12000030
9DJ,S12000030
9DL,S12000030
9DN,S12000030
9DP,S12000030
9DQ,S12000030
9DT,S12000030
9DU,S12000030
9DW,S12000030
9DX,S12000030
9DY,S12000030
9DZ,S12000030
9EA,S12000030
9EB,S12000030
9ED,S12000030
9EE,S12000030
9EF,S12000030
9EG,S12000030
9EJ,S12000030
9EP,S12000030
9EQ,S12000030
9ES,S12000030
9ET,S12000030
9EU,S12000030
9EW,S12000030
9EX,S12000030
9EY,S12000030
9EZ,S12000030
9FB,S12000030
9FD,S12000030
9FE,S12000030
9FF,S12000030
9FG,S12000030
9FH,S12000030
9FJ,S12000030
9FL,S12000030
9HA,S12000030
9HB,S12000030
9HD,S12000030
9HE,S12000030
9HF,S12000030
9HG,S12000030
9HH,S12000030
9HJ,S12000030
9HL,S12000030
9HN,S12000030
9HP,S12000030
9HQ,S12000030
9HR,S12000030
9HS,S12000030
9HT,S12000030
9HU,S12000030
9HW,S12000030
9HX,S12000030
9HY,S12000030
9HZ,S12000030
9JA,S12000030
9JB,S12000030
9JD,S12000030
9JE,S12000030
9JF,S12000030
9JG,S12000030
9JH,S12000030
9JJ,S12000030
9JL,S12000030
9JN,S12000030
9JP,S12000030
9JQ,S12000030
9JR,S12000030
9JS,S12000030
9JT,S12000030
9JU,S12000024
9JW,S12000030
9JX,S12000030
9JY,S12000030
9JZ,S12000030
9LA,S12000024
9LB,S12000024
9LE,S12000024
9LF,S12000024
9LG,S12000024
9LH,S12000024
9LJ,S12000024
9LL,S12000024
9LN,S12000024
9LP,S12000024
9LQ,S12000024
9LR,S12000024
9LT,S12000030
9LU,S12000030
9LZ,S12000030
9NA,S12000030
9NB,S12000030
9ND,S12000030
9NE,S12000030
9NF,S12000030
9NR,S12000030
9NS,S12000030
9NT,S12000030
9NU,S12000030
9NX,S12000030
9NY,S12000030
9NZ,S12000030
9PA,S12000030
9PB,S12000030
9PD,S12000030
9PE,S12000030
9PF,S12000030
9PG,S12000030
9PL,S12000024
9PN,S12000024
9PQ,S12000024
9PR,S12000024
9PS,S12000024
9PT,S12000024
9PU,S12000024
9PW,S12000024
9PX,S12000024
9PY,S12000024
9PZ,S12000024
9QA,S12000024
9QB,S12000024
9QD,S12000024
9QE,S12000024
9QG,S12000024
9QH,S12000024
9QJ,S12000024
9QL,S12000024
9QN,S12000024
9QP,S12000024
9QQ,S12000024
9QR,S12000024
9QS,S12000024
9QT,S12000024
9QU,S12000024
9QW,S12000024
9QX,S12000024
9QY,S12000024
9QZ,S12000024
9RA,S12000024
9RB,S12000024
9RD,S12000024
9RE,S12000024
9RF,S12000024
9RG,S12000024
9RH,S12000024
9RJ,S12000024
9RL,S12000024
9YB,S12000030
9YS,S12000030
