"pc","ca"
0WZ,E08000011
0XA,E08000011
0XB,E08000011
0XD,E08000011
0XE,E08000011
0XF,E08000011
0XG,E08000011
0XH,E08000011
0XJ,E08000011
0XN,E08000011
0XP,E08000011
0XQ,E08000011
0XR,E08000011
0XS,E08000011
0XT,E08000011
0XU,E08000011
0XW,E08000011
0XX,E08000011
0XY,E08000011
0XZ,E08000011
0YA,E08000011
0YB,E08000011
0YD,E08000011
0YE,E08000011
0YF,E08000011
0YL,E08000011
0YQ,E08000011
1AB,E08000011
1AD,E08000011
1DE,E08000011
1DF,E08000011
1DZ,E08000011
1EB,E08000011
1ED,E08000011
1EE,E08000011
1EF,E08000011
1EG,E08000011
1EH,E08000011
1EJ,E08000011
1EL,E08000011
1EN,E08000011
1EQ,E08000011
1ER,E08000011
1EW,E08000011
1QZ,E08000011
1RA,E08000011
1RB,E08000011
1RD,E08000011
1RE,E08000011
1RF,E08000011
1RG,E08000011
1RH,E08000011
1RJ,E08000011
1RL,E08000011
1RN,E08000011
1RP,E08000011
1RQ,E08000011
1RR,E08000011
1RT,E08000011
1RU,E08000011
1RW,E08000011
1RX,E08000011
1RY,E08000011
1RZ,E08000011
1SA,E08000011
1SB,E08000011
1SD,E08000011
1SE,E08000011
1SF,E08000011
1SG,E08000011
1SH,E08000011
1SL,E08000011
1SN,E08000011
1SP,E08000011
1SQ,E08000011
1SR,E08000011
1SS,E08000011
1ST,E08000011
1SU,E08000011
1SW,E08000011
1SX,E08000011
1SY,E08000011
1SZ,E08000011
1TA,E08000011
1TB,E08000011
1TD,E08000011
1TE,E08000011
1TF,E08000011
1TG,E08000011
1TH,E08000011
1TJ,E08000011
1TN,E08000011
1TP,E08000011
1TR,E08000011
1TS,E08000011
1TT,E08000011
1TW,E08000011
1TX,E08000011
1TZ,E08000011
1UA,E08000011
1UE,E08000011
1UF,E08000011
1UG,E08000011
1UH,E08000011
1UJ,E08000011
1UL,E08000011
1UN,E08000011
1UP,E08000011
1UQ,E08000011
1UR,E08000011
1US,E08000011
1UT,E08000011
1UU,E08000011
1UW,E08000011
1UX,E08000011
1UY,E08000011
1WA,E08000011
1WB,E08000011
1WD,E08000011
1WE,E08000011
1WF,E08000011
1WU,E08000011
1WX,E08000011
1WY,E08000011
1WZ,E08000011
1XA,E08000011
1XD,E08000011
1XT,E08000011
1YF,E08000011
1YG,E08000011
1YL,E08000011
1YR,E08000011
1YX,E08000011
1ZA,E08000011
1ZB,E08000011
1ZD,E08000011
1ZE,E08000011
1ZF,E08000011
1ZG,E08000011
1ZH,E08000011
1ZJ,E08000011
1ZL,E08000011
1ZN,E08000011
1ZP,E08000011
1ZQ,E08000011
1ZR,E08000011
1ZS,E08000011
1ZT,E08000011
1ZW,E08000011
1ZX,E08000011
1ZY,E08000011
1ZZ,E08000011
2DA,E08000011
2DB,E08000011
2DD,E08000011
2DE,E08000011
2DF,E08000011
2DG,E08000011
2DH,E08000011
2DJ,E08000011
2DL,E08000011
2DN,E08000011
2DP,E08000011
2DQ,E08000011
2DR,E08000011
2DS,E08000011
2DT,E08000011
2DU,E08000011
2DW,E08000011
2DX,E08000011
2DY,E08000011
2DZ,E08000011
2EB,E08000011
2ED,E08000011
2EE,E08000011
2EF,E08000011
2EH,E08000011
3AD,E08000011
3AE,E08000011
3AF,E08000011
3AH,E08000011
3AJ,E08000011
3AL,E07000127
3AN,E08000011
3AP,E07000127
3AQ,E08000011
3AR,E08000011
3AT,E07000127
3AU,E07000127
3AY,E08000011
3BA,E08000011
4BA,E08000011
4BB,E08000011
4BD,E08000011
4DA,E08000011
4DB,E08000011
4DD,E08000011
4DE,E08000011
4DF,E08000011
4DG,E08000011
4DH,E08000011
4DJ,E07000127
4DL,E08000011
4DP,E08000011
4DQ,E08000011
4DR,E08000011
4DS,E08000011
4DT,E08000011
4DU,E08000011
4DW,E08000011
4DX,E08000011
4DY,E08000011
4DZ,E08000011
4EA,E08000011
4EB,E08000011
4EG,E08000011
4EH,E08000011
4EJ,E08000011
4EL,E08000011
4EN,E08000011
4EP,E08000011
4EQ,E08000011
4ER,E08000011
4ES,E08000011
4ET,E08000011
4EU,E08000011
4EW,E08000011
4EX,E08000011
4EY,E08000011
4EZ,E08000011
4FB,E08000011
4FD,E08000011
4FE,E08000011
4GA,E08000011
4GB,E08000011
4HA,E08000011
4HB,E08000011
4HD,E08000011
4HE,E08000011
4HF,E08000011
4HG,E08000011
4HJ,E08000011
4HL,E08000011
4HP,E08000011
4HR,E08000011
4HS,E08000011
4HT,E08000011
4HU,E08000011
4HW,E08000011
4HX,E08000011
4JA,E08000011
4JB,E08000011
4JD,E08000011
4JE,E08000011
4WH,E08000011
4XX,E07000127
4XY,E07000127
4XZ,E07000127
4YA,E07000127
4YB,E07000127
4YD,E07000127
4YE,E08000011
4YF,E07000127
4YG,E07000127
4YH,E07000127
4YQ,E07000127
4YS,E08000011
4YT,E08000011
4YU,E08000011
4YX,E08000011
4YY,E08000011
4YZ,E08000011
5XA,E08000011
5XB,E08000011
5XD,E08000011
5XE,E08000011
5XF,E08000011
5XG,E08000011
5XH,E08000011
5XJ,E08000011
5XL,E08000011
5XN,E08000011
5XP,E08000011
5XQ,E08000011
5XR,E08000011
5XS,E08000011
5XT,E08000011
5XU,E08000011
5XW,E08000011
5XX,E08000011
5XY,E08000011
5XZ,E08000011
5YA,E08000011
5YB,E08000011
5YD,E08000011
5YF,E08000011
5YG,E08000011
5YH,E08000011
5YJ,E08000011
5YL,E08000011
5YP,E08000011
5YQ,E08000011
5YS,E08000011
6UA,E08000011
6UB,E08000011
6UD,E08000011
6UE,E08000011
6UF,E08000011
6UG,E08000011
6UH,E08000011
6UJ,E08000011
6UL,E08000011
6UN,E08000011
6UP,E08000011
6UQ,E08000011
6US,E08000011
6UT,E08000011
6UU,E08000011
6UW,E08000011
6UX,E08000011
6UY,E08000011
6UZ,E08000011
6WD,E08000011
6XA,E08000011
6XB,E08000011
6XD,E08000011
6XE,E08000011
6XG,E08000011
6XH,E08000011
6XJ,E08000011
6XL,E08000011
6XN,E08000011
6XP,E08000011
6XQ,E08000011
6XR,E08000011
6XS,E08000011
6XT,E08000011
6XU,E08000011
6XW,E08000011
6XX,E08000011
6XY,E08000011
6XZ,E08000011
6YA,E08000011
6YB,E08000011
6YD,E08000011
6YE,E08000011
6YF,E08000011
6YG,E08000011
6YH,E08000011
6YJ,E08000011
6YN,E08000011
6YQ,E08000011
7AA,E08000011
7AD,E08000011
7BA,E08000011
7BB,E08000011
7BJ,E08000011
7BU,E08000011
7BY,E08000011
7DF,E08000011
7DR,E08000011
7DX,E08000011
7ED,E08000011
7ET,E08000011
7HT,E08000011
7PA,E08000011
7RD,E08000011
7RE,E08000011
7RJ,E08000011
7RN,E08000011
7RR,E08000011
7RT,E08000011
7RW,E08000011
7RX,E08000011
7SA,E08000011
7SB,E08000011
7SD,E08000011
7SE,E08000011
7SF,E08000011
7SG,E08000011
7SL,E08000011
7SQ,E08000011
7SR,E08000011
7SS,E08000011
7SW,E08000011
7SX,E08000011
7SY,E08000011
7SZ,E08000011
7TA,E08000011
7TD,E08000011
7TG,E08000011
7TH,E08000011
7TJ,E08000011
7TQ,E08000011
7TS,E08000011
7TT,E08000011
7TU,E08000011
7TW,E08000011
7TX,E08000011
7TY,E08000011
7TZ,E08000011
7UA,E08000011
7UB,E08000011
7UF,E08000011
7UG,E08000011
7UH,E08000011
7UL,E08000011
7UP,E08000011
7UR,E08000011
7UT,E08000011
7UW,E08000011
7UY,E08000011
7UZ,E08000011
7WG,E08000011
7WP,E08000011
7WR,E08000011
7XB,E08000011
