"pc","ca"
0DY,W06000002
0EA,W06000002
0EB,W06000002
0ED,W06000002
0EE,W06000002
0EF,W06000002
0EH,W06000002
0EL,W06000002
0EP,W06000002
0ER,W06000002
0ES,W06000002
0ET,W06000002
0EU,W06000002
0EW,W06000002
0EY,W06000002
0HA,W06000002
0HB,W06000002
0HD,W06000002
0HE,W06000002
0HF,W06000002
0HG,W06000002
0HH,W06000002
0HL,W06000002
0HN,W06000002
0HP,W06000002
0HR,W06000002
0HT,W06000002
0HU,W06000002
0HW,W06000002
0HY,W06000002
0LA,W06000002
0LB,W06000002
0LD,W06000002
0LE,W06000002
0LF,W06000002
0LG,W06000002
0LL,W06000002
0LN,W06000002
0LP,W06000002
0LR,W06000002
0LS,W06000002
0LT,W06000002
0LU,W06000002
0LW,W06000002
0LY,W06000002
0NA,W06000002
0NB,W06000002
0ND,W06000002
0NF,W06000002
0NG,W06000002
0NH,W06000002
0NL,W06000002
0NP,W06000002
0NQ,W06000002
0NR,W06000002
0NS,W06000002
0NT,W06000002
0NU,W06000002
0NY,W06000002
0PA,W06000002
0PB,W06000002
0PD,W06000002
0PE,W06000002
0PF,W06000002
0PG,W06000002
0PH,W06000002
0PL,W06000002
0PN,W06000002
0PS,W06000002
0PT,W06000002
0PU,W06000002
0PW,W06000002
0PY,W06000002
0RA,W06000002
0RB,W06000002
0RD,W06000002
0RE,W06000002
0RF,W06000002
0RG,W06000002
0RL,W06000002
0RN,W06000002
0RP,W06000002
0RT,W06000002
0RU,W06000002
0RY,W06000002
0SA,W06000002
0SB,W06000002
0SD,W06000002
0SE,W06000002
0SF,W06000002
0SG,W06000002
0SH,W06000002
0SL,W06000002
0SN,W06000002
0SP,W06000002
0SW,W06000002
0TA,W06000002
0WY,W06000002
