"pc","ca"
0AA,E07000180
0AB,E07000180
0AD,E07000180
0AE,E07000180
0AF,E07000180
0AG,E07000180
0AH,E07000180
0AJ,E07000180
0AL,E07000180
0AN,E07000180
0AP,E07000180
0AQ,E07000180
0AR,E07000180
0AS,E07000180
0AT,E07000180
0AU,E07000180
0AW,E07000180
0AX,E07000180
0AY,E07000180
0AZ,E07000180
0BA,E07000180
0BD,E07000180
0BG,E07000180
0BH,E07000180
0BJ,E07000180
0BL,E07000180
0BN,E07000180
0BP,E07000180
0BQ,E07000180
0BS,E07000180
0BT,E07000180
0BU,E07000180
0BW,E07000180
0BX,E07000180
0BY,E07000180
0BZ,E07000180
0DA,E07000180
0DB,E07000180
0DD,E07000180
0DE,E07000180
0DF,E07000180
0DG,E07000180
0DH,E07000180
0DJ,E07000180
0DL,E07000180
0DN,E07000180
0DP,E07000180
0DQ,E07000180
0DR,E07000180
0DS,E07000180
0DT,E07000180
0DU,E07000180
0DW,E07000180
0DX,E07000180
0DY,E07000180
0DZ,E07000180
0EA,E07000180
0EB,E07000180
0ED,E07000180
0EE,E07000180
0EF,E07000180
0EG,E07000180
0EH,E07000180
0EJ,E07000180
0EL,E07000180
0EN,E07000180
0EP,E07000180
0EQ,E07000180
0ER,E07000180
0ES,E07000180
0ET,E07000180
0EU,E07000180
0EW,E07000180
0EX,E07000180
0EY,E07000180
0EZ,E07000180
0FA,E07000180
0FB,E07000180
0FD,E07000180
0FE,E07000180
0FF,E07000180
0FG,E07000180
0FH,E07000180
0FJ,E07000180
0FL,E07000180
0HA,E07000180
0HB,E07000180
0HD,E07000180
0HG,E07000180
0HH,E07000180
0HJ,E07000180
0HL,E07000180
0HN,E07000180
0HP,E07000180
0HQ,E07000180
0HR,E07000180
0HS,E07000180
0HT,E07000180
0HU,E07000180
0HW,E07000180
0HX,E07000180
0HY,E07000180
0HZ,E07000180
0JA,E07000180
0JB,E07000180
0JD,E07000180
0JE,E07000180
0JF,E07000180
0JG,E07000180
0JH,E07000180
0JJ,E07000180
0JL,E07000180
0JN,E07000180
0JQ,E07000180
0JR,E07000180
0JS,E07000180
0JW,E07000180
0JX,E07000180
0LA,E07000180
0LB,E07000180
0LD,E07000180
0LE,E07000180
0LF,E07000180
0LG,E07000180
0LH,E07000180
0LJ,E07000180
0LL,E07000180
0LN,E07000180
0LP,E07000180
0LQ,E07000180
0LR,E07000180
0LS,E07000180
0LU,E07000180
0LW,E07000180
0NA,E07000180
0NB,E07000180
0ND,E07000180
0NE,E07000180
0NF,E07000180
0NG,E07000180
0NH,E07000180
0NJ,E07000180
0NL,E07000180
0NN,E07000180
0NP,E07000180
0NQ,E07000180
0NR,E07000180
0NS,E07000180
0NT,E07000180
0NU,E07000180
0NW,E07000180
0NX,E07000180
0NY,E07000180
0PA,E07000180
0PT,E07000180
0PU,E07000180
0PX,E07000180
0PY,E07000180
0PZ,E07000180
0QA,E07000180
0QB,E07000180
0QD,E07000180
0QE,E07000180
0QF,E07000180
0QG,E07000180
0QH,E07000180
0QJ,E07000180
0QL,E07000180
0QN,E07000180
0QQ,E07000180
0QW,E07000180
0QY,E07000180
0QZ,E07000180
0WZ,E07000180
2AY,E07000180
2BJ,E07000180
2BR,E07000180
2BU,E07000180
2BX,E07000180
2DA,E07000180
2DB,E07000180
2DF,E07000180
2DJ,E07000180
2DL,E07000180
2DQ,E07000180
2DY,E07000180
2ED,E07000180
2EE,E07000180
2EF,E07000180
7AA,E07000180
7AB,E07000180
7AG,E07000180
7AH,E07000180
7AJ,E07000180
7AL,E07000180
7AN,E07000180
7AP,E07000180
7AQ,E07000180
7AR,E07000180
7AS,E07000180
7AT,E07000180
7AU,E07000180
7AW,E07000180
7AX,E07000180
7AY,E07000180
7BB,E07000180
7BG,E07000180
7BH,E07000180
7BJ,E07000180
7BL,E07000180
7BS,E07000180
7BT,E07000180
7BU,E07000180
7BW,E07000180
7BX,E07000180
7BY,E07000180
7BZ,E07000180
7DA,E07000180
7DB,E07000180
7DD,E07000180
7DE,E07000180
7DF,E07000180
7DG,E07000180
7DH,E07000180
7DJ,E07000180
7DL,E07000180
7DN,E07000180
7DP,E07000180
7DQ,E07000180
7DR,E07000180
7DT,E07000180
7DW,E07000180
7DX,E07000180
7DY,E07000180
7DZ,E07000180
7EA,E07000180
7EB,E07000180
7ED,E07000180
7EE,E07000180
7EF,E07000180
7EG,E07000180
7EH,E07000180
7EJ,E07000180
7EL,E07000180
7EN,E07000180
7EP,E07000180
7EQ,E07000180
7ER,E07000180
7ES,E07000180
7ET,E07000180
7EW,E07000180
7EY,E07000180
7FA,E07000180
7HA,E07000180
7HB,E07000180
7HD,E07000180
7HE,E07000180
7HF,E07000180
7HG,E07000180
7HH,E07000180
7HJ,E07000180
7HL,E07000180
7HN,E07000180
7HP,E07000180
7HQ,E07000180
7HR,E07000180
7HS,E07000180
7HT,E07000180
7HU,E07000180
7HW,E07000180
7HX,E07000180
7HY,E07000180
7HZ,E07000180
7JA,E07000180
7JB,E07000180
7JD,E07000180
7JE,E07000180
7JF,E07000180
7JG,E07000180
7JH,E07000180
7JJ,E07000180
7JL,E07000180
7JN,E07000180
7JP,E07000180
7JQ,E07000180
7JR,E07000180
7JS,E07000180
7JT,E07000180
7JU,E07000180
7JW,E07000180
7JX,E07000180
7JY,E07000180
7JZ,E07000180
7LB,E07000180
7LD,E07000180
7LF,E07000180
7LG,E07000180
7LH,E07000180
7LJ,E07000180
7LL,E07000180
7LQ,E07000180
7LT,E07000180
7LU,E07000180
7LX,E07000180
7LY,E07000180
7LZ,E07000180
7NA,E07000180
7NB,E07000180
7ND,E07000180
7NE,E07000180
7NF,E07000180
7NG,E07000180
7NH,E07000180
7NJ,E07000180
7NL,E07000180
7NN,E07000180
7NP,E07000180
7NQ,E07000180
7NR,E07000180
7NS,E07000180
7NW,E07000180
7PA,E07000180
7PD,E07000180
7PE,E07000180
7PF,E07000180
7PG,E07000180
7PH,E07000180
7PJ,E07000180
7PL,E07000180
7PN,E07000180
7PP,E07000180
7PQ,E07000180
7PR,E07000180
7PS,E07000180
7PT,E07000180
7PU,E07000180
7PW,E07000180
7PX,E07000180
7PY,E07000180
7PZ,E07000180
7QF,E07000180
7QG,E07000180
7QQ,E07000180
8AA,E07000180
8AB,E07000180
8AD,E07000180
8AE,E07000180
8AF,E07000180
8AG,E07000180
8AH,E07000180
8AJ,E07000180
8AL,E07000180
8AN,E07000180
8AP,E07000180
8AQ,E07000180
