"pc","ca"
0AA,E07000136
0AB,E07000136
0AD,E07000136
0AE,E07000136
0AG,E07000136
0AN,E07000136
0AQ,E07000136
0AR,E07000136
0AS,E07000136
0AT,E07000136
0AU,E07000136
0AW,E07000136
0AX,E07000136
0AY,E07000136
0AZ,E07000136
0BA,E07000136
0BB,E07000136
0BD,E07000136
0BE,E07000136
0BG,E07000136
0BH,E07000136
0BJ,E07000136
0BL,E07000136
0BT,E07000136
0BU,E07000136
0BX,E07000136
0BZ,E07000136
0DA,E07000136
0DB,E07000136
0DD,E07000136
0DE,E07000136
0DF,E07000136
0DG,E07000136
0DH,E07000136
0DJ,E07000136
0DL,E07000136
0DN,E07000136
0DP,E07000136
0DQ,E07000136
0DR,E07000136
0DS,E07000136
0DT,E07000136
0DW,E07000136
0DX,E07000136
0DZ,E07000136
0EB,E07000136
0ED,E07000136
0EE,E07000136
0EF,E07000136
0EG,E07000136
0EH,E07000136
0EJ,E07000136
0EL,E07000136
0EQ,E07000136
0ET,E07000136
0EU,E07000136
0EX,E07000136
0EY,E07000136
0HA,E07000136
0HB,E07000136
0HE,E07000136
0HF,E07000136
0HG,E07000136
0HH,E07000136
0HJ,E07000136
0HL,E07000136
0HN,E07000136
0HP,E07000136
0HQ,E07000136
0HR,E07000136
0HS,E07000136
0HT,E07000136
0HU,E07000136
0HW,E07000136
0HX,E07000136
0HY,E07000136
0HZ,E07000136
0JA,E07000136
0JB,E07000136
0JD,E07000136
0JE,E07000136
0JF,E07000136
0JG,E07000136
0JH,E07000136
0JJ,E07000136
0JL,E07000136
0JN,E07000136
0JP,E07000136
0JQ,E07000136
0JR,E07000136
0JS,E07000136
0JT,E07000136
0JU,E07000136
0JX,E07000136
0JY,E07000136
0JZ,E07000136
0LA,E07000136
0LB,E07000136
0LD,E07000136
0LE,E07000136
0LF,E07000136
0LG,E07000136
0LH,E07000136
0LJ,E07000136
0LL,E07000136
0LN,E07000136
0LP,E07000136
0LQ,E07000136
0LR,E07000136
0LS,E07000136
0LT,E07000136
0LU,E07000136
0LX,E07000136
0LY,E07000136
0LZ,E07000136
0NA,E07000136
0NB,E07000136
0ND,E07000136
0NE,E07000136
0NF,E07000136
0NG,E07000136
0NH,E07000136
0NP,E07000136
0NR,E07000136
0NS,E07000136
0NT,E07000136
0NU,E07000136
0NX,E07000136
0NY,E07000136
0NZ,E07000136
0PA,E07000136
0PB,E07000136
0PE,E07000136
0PF,E07000136
0PG,E07000136
0PH,E07000136
0PJ,E07000136
0PL,E07000136
0PN,E07000136
0PQ,E07000136
0PR,E07000136
0PS,E07000136
0PT,E07000136
0PU,E07000136
0PX,E07000136
0PY,E07000136
0PZ,E07000136
0QD,E07000136
0QE,E07000136
0QJ,E07000136
0QL,E07000136
0QN,E07000136
0QP,E07000136
0QR,E07000136
0QS,E07000136
0QT,E07000136
0QU,E07000136
0QW,E07000136
0QX,E07000136
0QZ,E07000136
0RA,E07000136
0RB,E07000136
0RF,E07000137
0RG,E07000136
0RH,E07000136
0RJ,E07000136
0RL,E07000136
0RN,E07000137
0RP,E07000137
0RQ,E07000136
