"pc","ca"
1AA,E08000010
1AD,E08000010
1AE,E08000010
1AH,E08000010
1AJ,E08000010
1AL,E08000010
1AN,E08000010
1AR,E08000010
1AS,E08000010
1AT,E08000010
1AU,E08000010
1AW,E08000010
1AX,E08000010
1AY,E08000010
1AZ,E08000010
1BA,E08000010
1BB,E08000010
1BE,E08000010
1BH,E08000010
1BJ,E08000010
1BL,E08000010
1BN,E08000010
1BP,E08000010
1BS,E08000010
1BT,E08000010
1BZ,E08000010
1DB,E08000010
1DE,E08000010
1DF,E08000010
1DG,E08000010
1DJ,E08000010
1DL,E08000010
1DQ,E08000010
1DU,E08000010
1DW,E08000010
1DY,E08000010
1EA,E08000010
1EB,E08000010
1EG,E08000010
1EL,E08000010
1EQ,E08000010
1ER,E08000010
1EX,E08000010
1EY,E08000010
1EZ,E08000010
1HA,E08000010
1HB,E08000010
1HD,E08000010
1HE,E08000010
1HG,E08000010
1HH,E08000010
1HN,E08000010
1HP,E08000010
1HQ,E08000010
1HR,E08000010
1HS,E08000010
1HU,E08000010
1HW,E08000010
1HX,E08000010
1HZ,E08000010
1JE,E08000010
1JF,E08000010
1JL,E08000010
1JN,E08000010
1JP,E08000010
1JQ,E08000010
1JR,E08000010
1JS,E08000010
1JU,E08000010
1LD,E08000010
1LL,E08000010
1LN,E08000010
1LP,E08000010
1LR,E08000010
1LU,E08000010
1NA,E08000010
1ND,E08000010
1NF,E08000010
1NH,E08000010
1NJ,E08000010
1NL,E08000010
1NN,E08000010
1NR,E08000010
1NU,E08000010
1NZ,E08000010
1PA,E08000010
1PE,E08000010
1PF,E08000010
1PJ,E08000010
1PL,E08000010
1PN,E08000010
1PQ,E08000010
1PW,E08000010
1PX,E08000010
1QB,E08000010
1QF,E08000010
1QG,E08000010
1QH,E08000010
1QJ,E08000010
1QP,E08000010
1QS,E08000010
1QX,E08000010
1RG,E08000010
1RP,E08000010
1RR,E08000010
1RS,E08000010
1RU,E08000010
1RY,E08000010
1RZ,E08000010
1SA,E08000010
1SE,E08000010
1SJ,E08000010
1SS,E08000010
1ST,E08000010
1SU,E08000010
1SX,E08000010
1TD,E08000010
1TJ,E08000010
1TT,E08000010
1TU,E08000010
1TW,E08000010
1TY,E08000010
1UE,E08000010
1UF,E08000010
1UG,E08000010
1UP,E08000010
1UW,E08000010
1XA,E08000010
1XD,E08000010
1XE,E08000010
1XF,E08000010
1XG,E08000010
1XH,E08000010
1XL,E08000010
1XN,E08000010
1XP,E08000010
1XQ,E08000010
1XR,E08000010
1XS,E08000010
1XT,E08000010
1XW,E08000010
1XX,E08000010
1XY,E08000010
1YB,E08000010
1YE,E08000010
1YF,E08000010
1YN,E08000010
1YP,E08000010
1ZL,E08000010
2AA,E08000010
2AB,E08000010
2AD,E08000010
2AF,E08000010
2AG,E08000010
2AH,E08000010
2AN,E08000010
2AQ,E08000010
2AS,E08000010
2AT,E08000010
2AU,E08000010
2AW,E08000010
2AY,E08000010
2AZ,E08000010
2BA,E08000010
2BB,E08000010
2BD,E08000010
2BE,E08000010
2BG,E08000010
2BH,E08000010
2BJ,E08000010
2BL,E08000010
2BN,E08000010
2BP,E08000010
2BQ,E08000010
2BS,E08000010
2BT,E08000010
2BU,E08000010
2BW,E08000010
2BX,E08000010
2BY,E08000010
2DA,E08000010
2DD,E08000010
2DE,E08000010
2DF,E08000010
2DG,E08000010
2DH,E08000010
2DJ,E08000010
2DL,E08000010
2DN,E08000010
2DP,E08000010
2DQ,E08000010
2DR,E08000010
2DS,E08000010
2DT,E08000010
2DU,E08000010
2DW,E08000010
2DX,E08000010
2DY,E08000010
2DZ,E08000010
2EA,E08000010
2EB,E08000010
2ED,E08000010
2EE,E08000010
2EF,E08000010
2EG,E08000010
2EH,E08000010
2EJ,E08000010
2EL,E08000010
2EN,E08000010
2EP,E08000010
2EQ,E08000010
2EW,E08000010
2EX,E08000010
2EY,E08000010
2EZ,E08000010
2GX,E08000010
2HA,E08000010
2HB,E08000010
2HD,E08000010
2HE,E08000010
2HF,E08000010
2HG,E08000010
2HH,E08000010
2HJ,E08000010
2HL,E08000010
2HN,E08000010
2HP,E08000010
2HQ,E08000010
2HR,E08000010
2HS,E08000010
2HT,E08000010
2HU,E08000010
2HW,E08000010
2HX,E08000010
2HY,E08000010
2HZ,E08000010
2JA,E08000010
2JB,E08000010
2JD,E08000010
2JE,E08000010
2JH,E08000010
2JJ,E08000010
2JN,E08000010
2LA,E08000010
2LB,E08000010
2LD,E08000010
2LE,E08000010
2LF,E08000010
2LH,E08000010
2LP,E08000010
2LQ,E08000010
2LR,E08000010
2LS,E08000010
2LT,E08000010
2LU,E08000010
2LW,E08000010
2LX,E08000010
2LY,E08000010
2LZ,E08000010
2NA,E08000010
2NB,E08000010
2ND,E08000010
2NE,E08000010
2NF,E08000010
2NG,E08000010
2NH,E08000010
2NJ,E08000010
2NL,E08000010
2NN,E08000010
2NP,E08000010
2NQ,E08000010
2NR,E08000010
2NS,E08000010
2NT,E08000010
2NU,E08000010
2NW,E08000010
2NX,E08000010
2NY,E08000010
2NZ,E08000010
2PA,E08000010
2PB,E08000010
2PD,E08000010
2PE,E08000010
2PF,E08000010
2PG,E08000010
2PH,E08000010
2PJ,E08000010
2PL,E08000010
2PN,E08000010
2PP,E08000010
2PQ,E08000010
2PR,E08000010
2PS,E08000010
2PT,E08000010
2PU,E08000010
2PW,E08000010
2PX,E08000010
2PY,E08000010
2PZ,E08000010
2QE,E08000010
2QG,E08000010
2QH,E08000010
2QJ,E08000010
2QL,E08000010
2QN,E08000010
2QP,E08000010
2QQ,E08000010
2QR,E08000010
2QS,E08000010
2QT,E08000010
2QU,E08000010
2QW,E08000010
2QX,E08000010
2QY,E08000010
2QZ,E08000010
2RA,E08000010
2RB,E08000010
2RD,E08000010
2RE,E08000010
2RF,E08000010
2RG,E08000010
2RH,E08000010
2RJ,E08000010
2RL,E08000010
2RN,E08000010
2RP,E08000010
2RQ,E08000010
2RR,E08000010
2RS,E08000010
2RT,E08000010
2RU,E08000010
2RW,E08000010
2RX,E08000010
2RY,E08000010
2RZ,E08000010
2SA,E08000010
2SD,E08000010
2SE,E08000010
2SF,E08000010
2SG,E08000010
2SH,E08000010
2SJ,E08000010
2SL,E08000010
2SN,E08000010
2SP,E08000010
2SQ,E08000010
2SR,E08000010
2SS,E08000010
2ST,E08000010
2SU,E08000010
2SW,E08000010
2SX,E08000010
2SZ,E08000010
2TA,E08000010
2TB,E08000010
2TE,E08000010
2TF,E08000010
2TG,E08000010
2TH,E08000010
2TJ,E08000010
2TL,E08000010
2TN,E08000010
2TP,E08000010
2TQ,E08000010
2TS,E08000010
2TT,E08000010
2TU,E08000010
2TW,E08000010
2TX,E08000010
2TY,E08000010
2TZ,E08000010
2UG,E08000001
2UH,E08000001
2UJ,E08000010
2UN,E08000010
2UQ,E08000001
2UR,E08000010
2UU,E08000010
2UW,E08000010
2UY,E08000010
2WD,E08000010
2XA,E08000010
2XD,E08000010
2XE,E08000010
2XF,E08000010
2XG,E08000010
2XH,E08000010
2XJ,E08000010
2XL,E08000010
2XN,E08000010
2XP,E08000010
2XQ,E08000010
2XW,E08000010
