"pc","ca"
0AA,E08000029
0AB,E08000029
0AD,E08000029
0AE,E08000029
0AF,E08000029
0AG,E08000029
0AH,E08000029
0AJ,E08000029
0AL,E08000029
0AN,E08000029
0AP,E08000029
0AR,E08000029
0AY,E08000029
0BA,E08000029
0BD,E08000029
0BE,E08000029
0BH,E08000029
0BJ,E08000029
0BN,E08000029
0BP,E08000029
0BS,E08000029
0BT,E08000029
0BU,E08000029
0BX,E08000029
0DA,E08000029
0DB,E08000029
0DD,E08000029
0DG,E08000029
0DH,E08000029
0DJ,E08000029
0DL,E08000029
0DN,E08000029
0DP,E08000029
0DR,E08000029
0DS,E08000029
0DT,E08000029
0DU,E08000029
0DX,E08000029
0DY,E08000029
0EA,E08000029
0EB,E08000029
0EH,E08000029
0EJ,E08000029
0EL,E08000029
0EN,E08000029
0EP,E08000029
0ER,E08000029
0ES,E08000029
0ET,E08000029
0EU,E08000029
0EX,E08000029
0EY,E08000029
0HA,E08000029
0HB,E08000029
0HD,E08000029
0HH,E08000029
0HJ,E08000029
0HL,E08000029
0HN,E08000029
0HP,E08000029
0HQ,E08000025
0HR,E08000029
0HS,E08000029
0HT,E08000029
0HU,E08000029
0HX,E08000029
0JE,E08000029
0JG,E08000029
0JH,E08000029
0JJ,E08000029
0JL,E08000029
0JN,E08000029
0JP,E08000029
0JQ,E08000029
0JR,E08000029
0JS,E08000029
0JT,E08000029
0JU,E08000029
0JX,E08000029
0LB,E08000029
0LD,E08000029
0LE,E08000029
0LF,E08000029
0LG,E08000029
0LH,E08000029
0LJ,E08000029
0LL,E08000029
0LN,E08000029
0LR,E08000029
0LS,E08000029
0LT,E08000029
0LU,E08000029
0LW,E08000029
0LX,E08000029
0LY,E08000029
0LZ,E08000029
0NA,E08000029
0NB,E08000029
0ND,E08000029
0NF,E08000029
0NG,E08000029
0NH,E08000029
0NJ,E08000029
0NL,E08000029
0NS,E08000029
0NT,E08000029
0NU,E08000029
0NX,E08000029
0PA,E08000029
0PB,E08000029
0PD,E08000029
0PF,E08000029
0PG,E08000029
0PH,E08000029
0PJ,E08000029
0PL,E08000029
0PN,E08000029
0PP,E08000029
0PS,E08000029
0PU,E08000029
0PX,E08000029
0PZ,E08000029
0QA,E08000029
0QB,E08000029
0QD,E08000029
0QE,E08000029
0QF,E08000029
0QG,E08000029
0QH,E08000029
0QL,E08000029
0QN,E08000029
0QP,E08000029
0QS,E08000029
0QT,E08000029
0QU,E08000029
0QX,E08000029
0QY,E08000029
0QZ,E08000029
0RA,E08000029
0RB,E08000029
0RD,E08000029
0RE,E08000029
