"pc","ca"
0AA,E07000122
0AB,E07000122
0AD,E07000122
0AE,E07000122
0AG,E07000122
0AP,E07000122
0AQ,E07000122
0AW,E07000122
0AX,E07000122
0AY,E07000122
0AZ,E07000122
0BA,E07000122
0BB,E07000122
0BD,E07000122
0BE,E07000122
0BF,E07000122
0BG,E07000122
0BH,E07000122
0BP,E07000122
0BQ,E07000122
0BS,E07000122
0BT,E07000122
0BU,E07000122
0BZ,E07000122
0DB,E07000122
0DD,E07000122
0DE,E07000122
0DF,E07000122
0DG,E07000122
0DH,E07000122
0DJ,E07000122
0DL,E07000122
0DQ,E07000122
0DR,E07000122
0DW,E07000122
0DY,E07000122
0EB,E07000122
0ED,E07000122
0EE,E07000122
0EF,E07000122
0EL,E07000122
0EN,E07000122
0EQ,E07000122
0ES,E07000122
0ET,E07000122
0EU,E07000122
0EY,E07000122
0EZ,E07000122
0HA,E07000122
0HB,E07000122
0HD,E07000122
0HE,E07000122
0HF,E07000122
0HG,E07000122
0HH,E07000122
0HJ,E07000122
0HL,E07000122
0HN,E07000122
0HP,E07000122
0HQ,E07000122
0HR,E07000122
0HS,E07000122
0HT,E07000122
0HW,E07000122
0HX,E07000122
0HY,E07000122
0HZ,E07000122
0JE,E07000122
0JF,E07000122
0JH,E07000122
0JJ,E07000122
0JL,E07000122
0JN,E07000122
0JP,E07000122
0JR,E07000122
0JS,E07000122
0JT,E07000122
0JU,E07000122
0JW,E07000122
0JX,E07000122
0JY,E07000122
0JZ,E07000122
0LG,E07000122
0LH,E07000122
0LJ,E07000122
0LL,E07000122
0LP,E07000122
0LQ,E07000122
0LR,E07000122
0LS,E07000122
0LU,E07000122
0LX,E07000122
0LY,E07000122
0LZ,E07000122
0NA,E07000122
0NB,E07000122
0ND,E07000122
0NE,E07000122
0NF,E07000122
0NG,E07000122
0NH,E07000122
0NN,E07000122
0NQ,E07000122
0NU,E07000122
0NW,E07000122
0NX,E07000122
0NY,E07000122
0NZ,E07000122
0PA,E07000122
0PB,E07000122
0PD,E07000122
0PE,E07000122
0PG,E07000122
0PH,E07000122
0PJ,E07000122
0PL,E07000122
0PN,E07000122
0PP,E07000122
0PR,E07000122
0PS,E07000122
0PT,E07000122
0PU,E07000122
0PW,E07000122
0PX,E07000122
0PY,E07000122
0PZ,E07000122
0QA,E07000122
0QB,E07000122
0QD,E07000122
0QF,E07000122
0QG,E07000122
0QH,E07000122
0QJ,E07000122
0QL,E07000122
0QN,E07000122
0QP,E07000122
0QQ,E07000122
0QR,E07000122
0QS,E07000122
0QT,E07000122
0QU,E07000122
0QW,E07000122
0QX,E07000122
0QY,E07000122
0QZ,E07000122
0RA,E07000122
0RB,E07000122
0RD,E07000122
0RE,E07000122
0RF,E07000122
0RG,E07000122
0RH,E07000122
0RL,E07000122
0RQ,E07000122
0RY,E07000122
0SB,E07000122
0SD,E07000122
0SE,E07000122
0SF,E07000122
0SG,E07000122
0SH,E07000122
0SL,E07000122
0SP,E07000122
0SQ,E07000122
0SR,E07000122
0SS,E07000122
0SU,E07000122
0SY,E07000122
0TA,E07000122
0TD,E07000122
0TN,E07000122
0TW,E07000122
0TX,E07000122
7AA,E07000122
7AB,E07000122
7AD,E07000122
7AE,E07000122
7AF,E07000122
7AG,E07000122
7AH,E07000122
7AJ,E07000122
7AN,E07000122
7AR,E07000122
7AS,E07000122
7AT,E07000122
7AU,E07000122
7AW,E07000122
7AX,E07000122
7BA,E07000122
7BB,E07000122
7BE,E07000122
7BG,E07000122
7BH,E07000122
7BJ,E07000122
7BL,E07000122
7BN,E07000122
7BP,E07000122
7BQ,E07000122
7BS,E07000122
7BT,E07000122
7BU,E07000122
7BW,E07000122
7BZ,E07000122
7DA,E07000122
7DB,E07000122
7DD,E07000122
7DE,E07000122
7DF,E07000122
7DG,E07000122
7DH,E07000122
7DJ,E07000122
7DL,E07000122
7DN,E07000122
7DP,E07000122
7DQ,E07000122
7DR,E07000122
7DS,E07000122
7DT,E07000122
7DU,E07000122
7DW,E07000122
7DX,E07000122
7DY,E07000122
7DZ,E07000122
7EA,E07000122
7EB,E07000122
7ED,E07000122
7EE,E07000122
7EF,E07000122
7EG,E07000122
7EH,E07000122
7EJ,E07000122
7EL,E07000122
7EN,E07000122
7EP,E07000122
7EQ,E07000122
7ER,E07000122
7ES,E07000122
7ET,E07000122
7EW,E07000122
7GQ,E07000122
7GY,E07000122
7HA,E07000122
7HB,E07000122
7HD,E07000122
7HE,E07000122
7HF,E07000122
7HG,E07000122
7HH,E07000122
7HJ,E07000122
7HL,E07000122
7HN,E07000122
7HP,E07000122
7HQ,E07000122
7HR,E07000122
7HS,E07000122
7HT,E07000122
7HU,E07000122
7HW,E07000122
7HX,E07000122
7HY,E07000122
7HZ,E07000122
7JA,E07000122
7JB,E07000122
7JD,E07000122
7JE,E07000122
7JF,E07000122
7JG,E07000122
7JH,E07000122
7JJ,E07000122
7JP,E07000122
7JQ,E07000122
7JR,E07000122
7JS,E07000122
7JT,E07000122
7JU,E07000122
7JW,E07000122
7JX,E07000122
7JY,E07000122
7JZ,E07000122
7LA,E07000122
7LB,E07000122
7LD,E07000122
7LE,E07000122
7LF,E07000122
7LG,E07000122
7LH,E07000122
7LJ,E07000122
7LL,E07000122
7LN,E07000122
7LP,E07000122
7LQ,E07000122
7LR,E07000122
7LS,E07000122
7LT,E07000122
7LU,E07000122
7LW,E07000122
7LX,E07000122
7LY,E07000122
7LZ,E07000122
7NA,E07000122
7NB,E07000122
7ND,E07000122
7NE,E07000122
7NF,E07000122
7NH,E07000122
7NN,E07000122
7NP,E07000122
7NQ,E07000122
7NR,E07000122
7NS,E07000122
7NT,E07000122
7NU,E07000122
7NW,E07000122
7NX,E07000122
7NY,E07000122
7NZ,E07000122
7PA,E07000122
7PB,E07000122
7PD,E07000122
7PE,E07000122
7PF,E07000122
7PG,E07000122
7PH,E07000122
7PJ,E07000122
7PL,E07000122
7PN,E07000122
7PP,E07000122
7PQ,E07000122
7PS,E07000122
7PT,E07000122
7PU,E07000122
7PW,E07000122
7PX,E07000122
7PY,E07000122
7PZ,E07000122
7QA,E07000122
7QB,E07000122
7QD,E07000122
7QE,E07000122
7QF,E07000122
7QG,E07000122
7QH,E07000122
7QJ,E07000122
7QL,E07000122
7QN,E07000122
7QP,E07000122
7QQ,E07000122
7QT,E07000122
7QW,E07000122
