"pc","ca"
0AA,E07000009
0AB,E07000009
0AD,E07000009
0AE,E07000009
0AF,E07000009
0AG,E07000009
0AH,E07000009
0AJ,E07000009
0AL,E07000009
0AN,E07000009
0AP,E07000009
0AQ,E07000009
0AR,E07000009
0AS,E07000009
0AU,E07000009
0AW,E07000009
0AX,E07000009
0AY,E07000009
0AZ,E07000009
0BA,E07000009
0BB,E07000009
0BD,E07000009
0BE,E07000009
0BF,E07000009
0BG,E07000009
0BH,E07000009
0BJ,E07000009
0BL,E07000009
0BN,E07000009
0BP,E07000009
0BQ,E07000009
0BS,E07000009
0BT,E07000009
0BU,E07000009
0BW,E07000009
0BX,E07000009
0BY,E07000009
0BZ,E07000009
0DA,E07000009
0DB,E07000009
0DD,E07000009
0DE,E07000009
0DF,E07000009
0DG,E07000009
0DH,E07000009
0DJ,E07000009
0DL,E07000009
0DN,E07000009
0DP,E07000009
0DQ,E07000009
0DR,E07000009
0DS,E07000009
0DT,E07000009
0DU,E07000009
0DW,E07000009
0DX,E07000009
0DY,E07000009
0DZ,E07000009
0EA,E07000009
0EB,E07000009
0ED,E07000009
0EE,E07000009
0EF,E07000009
0EG,E07000009
0EH,E07000009
0EJ,E07000009
0EL,E07000009
0EN,E07000009
0EP,E07000009
0EQ,E07000009
0ER,E07000009
0ES,E07000009
0ET,E07000009
0EU,E07000009
0EW,E07000009
0EX,E07000009
0EY,E07000009
0EZ,E07000009
0FA,E07000009
0FB,E07000009
0FD,E07000009
0FE,E07000009
0FF,E07000009
0FG,E07000009
0FH,E07000009
0GA,E07000009
0GH,E07000009
0HA,E07000009
0HB,E07000009
0HD,E07000009
0HE,E07000009
0HF,E07000009
0HG,E07000009
0HH,E07000009
0HJ,E07000009
0HL,E07000009
0HN,E07000009
0HP,E07000009
0HQ,E07000009
0HR,E07000009
0HS,E07000009
0HT,E07000009
0HU,E07000009
0HW,E07000009
0HX,E07000009
0HZ,E07000009
0JA,E07000009
0JD,E07000009
0JE,E07000009
0JF,E07000009
0JG,E07000009
0JH,E07000009
0JJ,E07000009
0JL,E07000009
0JP,E07000009
0JQ,E07000009
0JR,E07000009
0JS,E07000009
0JT,E07000009
0JU,E07000009
0JX,E07000009
0JZ,E07000009
0LA,E07000009
0LB,E07000009
0LD,E07000009
0LE,E07000009
0LG,E07000009
0LJ,E07000009
0LN,E07000009
0LP,E07000009
0LQ,E07000009
0LR,E07000009
0LS,E07000009
0LT,E07000009
0LU,E07000009
0LW,E07000009
0LX,E07000009
0LY,E07000009
0NA,E07000009
0NB,E07000009
0ND,E07000009
0NE,E07000009
0NF,E07000009
0NG,E07000009
0NH,E07000009
0NJ,E07000009
0NL,E07000009
0NQ,E07000009
0NW,E07000009
0PA,E07000009
0RA,E07000009
0RD,E07000009
0RE,E07000009
0RF,E07000009
0RG,E07000009
0RQ,E07000009
0RS,E07000009
0RT,E07000009
0UW,E07000009
0WE,E07000009
0XA,E07000009
0XB,E07000009
0XD,E07000009
9AA,E07000012
9AB,E07000012
9AD,E07000012
9AE,E07000012
9AF,E07000012
9AG,E07000012
9AH,E07000012
9AJ,E07000012
9AL,E07000012
9AN,E07000012
9AQ,E07000012
9AR,E07000012
9AS,E07000012
9AU,E07000012
9AW,E07000012
9AX,E07000009
9AY,E07000012
9AZ,E07000012
9BA,E07000009
9BB,E07000009
9BD,E07000009
9BE,E07000009
9BG,E07000009
9BH,E07000009
9BJ,E07000009
9BL,E07000009
9BN,E07000009
9BP,E07000009
9BQ,E07000009
9BS,E07000009
9BT,E07000012
9BW,E07000009
9BX,E07000009
9BY,E07000009
9BZ,E07000012
9DA,E07000009
9DB,E07000009
9DD,E07000009
9DE,E07000009
9DF,E07000009
9DG,E07000009
9DH,E07000009
9DJ,E07000009
9DL,E07000009
9DN,E07000009
9DP,E07000009
9DQ,E07000009
9DR,E07000009
9DS,E07000009
9DT,E07000009
9DU,E07000009
9DW,E07000009
9DX,E07000009
9DY,E07000009
9DZ,E07000012
9EB,E07000009
9ED,E07000009
9EE,E07000009
9EF,E07000009
9EG,E07000009
9EH,E07000009
9EJ,E07000009
9EL,E07000009
9EN,E07000009
9EP,E07000009
9EQ,E07000009
9ER,E07000009
9ES,E07000009
9ET,E07000009
9EU,E07000009
9EW,E07000009
9EX,E07000009
9EY,E07000009
9EZ,E07000009
9FA,E07000012
9FB,E07000012
9FD,E07000012
9FE,E07000012
9FF,E07000012
9FG,E07000012
9FH,E07000012
9FJ,E07000012
9FL,E07000009
9FN,E07000012
9FP,E07000009
9FQ,E07000012
9FR,E07000012
9FS,E07000012
9FT,E07000012
9FU,E07000012
9FW,E07000009
9FX,E07000012
9FY,E07000012
9FZ,E07000012
9GB,E07000012
9GD,E07000012
9GE,E07000009
9GF,E07000012
9GQ,E07000012
9HA,E07000009
9HB,E07000009
9HD,E07000009
9HE,E07000009
9HF,E07000009
9HG,E07000009
9HH,E07000009
9HL,E07000012
9HN,E07000012
9HP,E07000012
9HR,E07000012
9HS,E07000012
9HT,E07000012
9HW,E07000012
9HX,E07000012
9HY,E07000012
9HZ,E07000012
9JA,E07000012
9JB,E07000012
9JD,E07000012
9JE,E07000012
9JF,E07000012
9JG,E07000012
9JH,E07000012
9JJ,E07000012
9JL,E07000012
9JN,E07000012
9JQ,E07000012
9JT,E07000012
9JU,E07000012
9JW,E07000012
9JX,E07000012
9JY,E07000012
9JZ,E07000012
9LA,E07000012
9LB,E07000012
9LD,E07000012
9LF,E07000012
9LG,E07000012
9LH,E07000012
9LJ,E07000012
9LL,E07000012
9LN,E07000012
9LP,E07000012
9LQ,E07000012
9LR,E07000012
9LS,E07000012
9LT,E07000012
9LU,E07000012
9LW,E07000012
9LX,E07000012
9LY,E07000012
9LZ,E07000012
9NA,E07000012
9NB,E07000012
9ND,E07000012
9NE,E07000012
9NF,E07000012
9NG,E07000012
9NH,E07000012
9NJ,E07000012
9NL,E07000012
9NN,E07000012
9NP,E07000012
9NQ,E07000012
9NR,E07000012
9NS,E07000012
9NT,E07000012
9NU,E07000012
9NW,E07000012
9NX,E07000012
9NY,E07000012
9NZ,E07000012
9PB,E07000012
9PD,E07000012
9PF,E07000012
9PG,E07000012
9PH,E07000012
9PJ,E07000012
9PL,E07000012
9PN,E07000009
9PP,E07000012
9PQ,E07000012
9PR,E07000012
9PS,E07000012
9PT,E07000012
9PU,E07000012
9PW,E07000012
9PX,E07000012
9PY,E07000012
9PZ,E07000009
9QD,E07000012
9QF,E07000012
9QG,E07000012
9QH,E07000012
