"pc","ca"
0AA,E07000164
0AB,E07000164
0AD,E07000164
0AE,E07000164
0AG,E07000164
0AH,E07000164
0AJ,E07000164
0AL,E07000164
0AN,E07000164
0AQ,E07000164
0AR,E07000164
0AS,E07000164
0AT,E07000164
0AW,E07000164
0BD,E07000164
0BG,E07000164
0BL,E07000164
0BN,E07000164
0BP,E07000164
0BQ,E07000164
0BW,E07000164
0DB,E07000164
0DE,E07000164
0DF,E07000164
0DG,E07000164
0DH,E07000164
0DJ,E07000164
0DL,E07000164
0DN,E07000164
0DP,E07000164
0DQ,E07000164
0DR,E07000164
0DS,E07000164
0DT,E07000164
0DU,E07000164
0DW,E07000164
0DX,E07000164
0DY,E07000164
0DZ,E07000164
0EA,E07000164
0ED,E07000164
0EE,E07000164
0EF,E07000164
0EG,E07000164
0EH,E07000164
0EJ,E07000166
0EL,E07000166
0EP,E07000166
0EQ,E07000164
0ER,E07000166
0ES,E07000166
0ET,E07000166
0EU,E07000166
0EX,E07000166
0EZ,E07000166
0HB,E07000166
0HD,E07000166
0HE,E07000166
0HF,E07000166
0HG,E07000166
0HH,E07000166
0HJ,E07000166
0HL,E07000166
0HN,E07000166
0HP,E07000166
0HQ,E07000166
0HR,E07000166
0HT,E07000166
0HU,E07000166
0JA,E07000164
0JB,E07000164
0JD,E07000164
0JE,E07000164
0JF,E07000164
0JG,E07000164
0JH,E07000164
0JJ,E07000164
0JL,E07000164
0JN,E07000164
0JP,E07000166
0JR,E07000166
0JS,E07000166
0JU,E07000166
0JW,E07000164
0JX,E07000164
0JY,E07000166
0LG,E07000164
0LH,E07000164
0LJ,E07000164
0LL,E07000164
0LN,E07000164
0LP,E07000164
0LQ,E07000164
0LR,E07000164
0LS,E07000164
0LT,E07000164
0LU,E07000164
0LX,E07000164
0LY,E07000164
0LZ,E07000164
0NA,E07000164
0NB,E07000164
0ND,E07000164
0NF,E07000164
0NG,E07000164
0NH,E07000164
0NJ,E07000164
0NL,E07000164
0NN,E07000164
0NP,E07000164
0NQ,E07000164
0NR,E07000164
0NS,E07000164
0NT,E07000164
0NU,E07000164
0NW,E07000164
0PE,E07000164
0PF,E07000164
0PG,E07000164
0PH,E07000164
0PJ,E07000164
0PL,E07000164
0PN,E07000164
0PP,E07000164
0PQ,E07000164
0PR,E07000164
0PS,E07000164
0PT,E07000164
0PU,E07000164
0PW,E07000164
0PX,E07000164
0PY,E07000164
0PZ,E07000164
0QA,E07000164
0QB,E07000164
0QD,E07000164
0QE,E07000164
0QF,E07000164
0QN,E07000164
0QP,E07000164
0QR,E07000164
0QS,E07000164
0QT,E07000164
0QU,E07000164
0QW,E07000164
0QX,E07000164
0QY,E07000164
0QZ,E07000164
0RA,E07000164
0RB,E07000164
0RD,E07000164
0RE,E07000164
0RF,E07000164
0RG,E07000164
0RH,E07000164
0RJ,E07000164
0RL,E07000164
0RN,E07000164
0RP,E07000164
0RQ,E07000164
0RR,E07000164
0RS,E07000164
0RT,E07000164
0RU,E07000164
0RW,E07000164
0RX,E07000164
0RY,E07000164
0RZ,E07000164
0SA,E07000164
0SB,E07000164
0SD,E07000164
0SE,E07000164
0SF,E07000164
0SG,E07000164
0SH,E07000164
0SJ,E07000164
0SL,E07000164
0SN,E07000164
0SP,E07000164
0SQ,E07000164
0SR,E07000164
0SS,E07000164
0ST,E07000164
0SU,E07000164
0SW,E07000164
0SX,E07000164
0SY,E07000164
0SZ,E07000164
0TA,E07000164
0TB,E07000164
0TD,E07000164
0TE,E07000164
0TF,E07000164
0TG,E07000164
0TH,E07000164
0TJ,E07000164
0TL,E07000164
0TN,E07000164
0TP,E07000164
0TQ,E07000164
0TR,E07000164
0TS,E07000164
0TT,E07000164
0TU,E07000164
0TW,E07000164
0TX,E07000164
0TY,E07000164
0TZ,E07000164
7AB,E07000164
7AS,E07000164
7BJ,E07000164
7BP,E07000164
7BQ,E07000164
7BZ,E07000164
7DD,E07000164
7DE,E07000164
7DN,E07000164
7DP,E07000164
7DS,E07000164
7ED,E07000164
7EF,E07000164
7EG,E07000164
7EH,E07000164
7SA,E07000164
