"pc","ca"
0AB,E06000012
0AD,E06000012
0AE,E06000012
0AF,E06000012
0AG,E06000012
0AH,E06000012
0AJ,E06000012
0AL,E06000012
0AN,E06000012
0AQ,E06000012
0AR,E06000012
0AS,E06000012
0AU,E06000012
0AW,E06000012
0AX,E06000012
0AY,E06000012
0AZ,E06000012
0BA,E06000012
0BB,E06000012
0BD,E06000012
0BG,E06000012
0BH,E06000012
0BJ,E06000012
0BL,E06000012
0BN,E06000012
0BP,E06000012
0BQ,E06000012
0BS,E06000012
0BT,E06000012
0BU,E06000012
0BW,E06000012
0BY,E06000012
0BZ,E06000012
0DF,E06000012
0DG,E06000012
0DH,E06000012
0DJ,E06000012
0DL,E06000012
0DN,E06000012
0DP,E06000012
0DQ,E06000012
0DR,E06000012
0DS,E06000012
0DT,E06000012
0DU,E06000012
0DW,E06000012
0DX,E06000012
0EA,E06000012
0EF,E06000012
0EG,E06000012
0EH,E06000012
0EJ,E06000012
0EL,E06000012
0EN,E06000012
0EP,E06000012
0EQ,E06000012
0ES,E06000012
0ET,E06000012
0EU,E06000012
0EW,E06000012
0FB,E06000012
0FD,E06000012
0FE,E06000012
0FF,E06000012
0FG,E06000012
0HD,E06000012
0HE,E06000012
0HF,E06000012
0HG,E06000012
0HH,E06000012
0HJ,E06000012
0HL,E06000012
0HN,E06000012
0HP,E06000012
0HQ,E06000012
0HR,E06000012
0HS,E06000012
0HT,E06000012
0HU,E06000012
0HW,E06000012
0HX,E06000012
0HY,E06000012
0HZ,E06000012
0JA,E06000012
0JB,E06000012
0JD,E06000012
0JE,E06000012
0JF,E06000012
0JG,E06000012
0JH,E06000012
0JJ,E06000012
0JL,E06000012
0JN,E06000012
0JP,E06000012
0JQ,E06000012
0JR,E06000012
0JS,E06000012
0JT,E06000012
0JU,E06000012
0JW,E06000012
0JX,E06000012
0JY,E06000012
0JZ,E06000012
0LA,E06000012
0LB,E06000012
0LD,E06000012
0LF,E06000012
0LH,E06000012
0LN,E06000012
0LP,E06000012
0LQ,E06000012
0LR,E06000012
0LS,E06000012
0LT,E06000012
0LW,E06000012
0LX,E06000012
0LY,E06000012
0LZ,E06000012
0NB,E06000012
0ND,E06000012
0NE,E06000012
0NF,E06000012
0NG,E06000012
0NH,E06000012
0NJ,E06000012
0NL,E06000012
0NN,E06000012
0NP,E06000012
0NQ,E06000012
0NR,E06000012
0NS,E06000012
0NT,E06000012
0NU,E06000012
0NW,E06000012
0NX,E06000012
0PA,E06000012
0PB,E06000012
0PD,E06000012
0PE,E06000012
0PF,E06000012
0PG,E06000012
0PH,E06000012
0PJ,E06000012
0PL,E06000012
0PN,E06000012
0PP,E06000012
0PQ,E06000012
0PR,E06000012
0PS,E06000012
0PT,E06000012
0PU,E06000012
0PW,E06000012
0PX,E06000012
0PY,E06000012
0PZ,E06000012
0QA,E06000012
0QB,E06000012
0QD,E06000012
0QE,E06000012
0QF,E06000012
0QG,E06000012
0QH,E06000012
0QJ,E06000012
0QL,E06000012
0QN,E06000012
0QP,E06000012
0QQ,E06000012
0QR,E06000012
0QS,E06000012
0QT,E06000012
0QU,E06000012
0QW,E06000012
0QY,E06000012
0QZ,E06000012
0RA,E06000012
0RB,E06000012
0RD,E06000012
0RE,E06000012
0RF,E06000012
0RG,E06000012
0RH,E06000012
0RJ,E06000012
0RL,E06000012
0RN,E06000012
0RP,E06000012
0RQ,E06000012
0RR,E06000012
0RS,E06000012
0RT,E06000012
0RW,E06000012
0RX,E06000012
0RY,E06000012
0RZ,E06000012
0SA,E06000012
0SB,E06000012
0SD,E06000012
0SE,E06000012
0SF,E06000012
0SH,E06000012
0SJ,E06000012
0SL,E06000012
0SN,E06000012
0SP,E06000012
0SQ,E06000012
0SR,E06000012
0SS,E06000012
0ST,E06000012
0SU,E06000012
0SW,E06000012
0SX,E06000012
0SY,E06000012
0SZ,E06000012
0TA,E06000012
0TB,E06000012
0TD,E06000012
0TE,E06000012
0TF,E06000012
0TG,E06000012
0TH,E06000012
0TQ,E06000012
0TR,E06000012
0TS,E06000012
0TT,E06000012
0TU,E06000012
0TX,E06000012
0TY,E06000012
0UA,E06000012
0UB,E06000012
0UD,E06000012
0UG,E06000012
0UH,E06000012
0WS,E06000012
0XA,E06000012
7AA,E06000012
7AB,E06000012
7AE,E06000012
7AF,E06000012
7AL,E06000012
7AP,E06000012
7AQ,E06000012
7AS,E06000012
7AT,E06000012
7AU,E06000012
7AW,E06000012
7AX,E06000012
7AY,E06000012
7AZ,E06000012
7BA,E06000012
7BB,E06000012
7BD,E06000012
7BE,E06000012
7BG,E06000012
7BH,E06000012
7BJ,E06000012
7BQ,E06000012
7DD,E06000012
7DG,E06000012
7DJ,E06000012
7DL,E06000012
7DN,E06000012
7DP,E06000012
7DQ,E06000012
7DS,E06000012
7DT,E06000012
7DU,E06000012
7DX,E06000012
7DY,E06000012
7DZ,E06000012
7EA,E06000012
7EB,E06000012
7ED,E06000012
7EE,E06000012
7EF,E06000012
7EG,E06000012
7EH,E06000012
7EL,E06000012
7EN,E06000012
7EQ,E06000012
7ES,E06000012
7ET,E06000012
7EU,E06000012
7EY,E06000012
7EZ,E06000012
7HB,E06000012
7HE,E06000012
7HF,E06000012
7HG,E06000012
7HH,E06000012
7HJ,E06000012
7HL,E06000012
7HN,E06000012
7HP,E06000012
7HQ,E06000012
7HR,E06000012
7HS,E06000012
7HT,E06000012
7HU,E06000012
7HW,E06000012
7JE,E06000012
7JF,E06000012
7JG,E06000012
7JH,E06000012
7JJ,E06000012
7JL,E06000012
7JN,E06000012
7JP,E06000012
7JQ,E06000012
7JR,E06000012
7JS,E06000012
7JT,E06000012
7JU,E06000012
7JW,E06000012
7JX,E06000012
7JY,E06000012
7JZ,E06000012
7LA,E06000012
7LB,E06000012
7LE,E06000012
7LF,E06000012
7LG,E06000012
7LH,E06000012
7LJ,E06000012
7LL,E06000012
7LN,E06000012
7LQ,E06000012
7LX,E06000012
7LY,E06000012
7LZ,E06000012
7NA,E06000012
7NB,E06000012
7ND,E06000012
7NE,E06000012
7NG,E06000012
7NH,E06000012
7NL,E06000012
7NN,E06000012
7NP,E06000012
7NQ,E06000012
7NR,E06000012
7NT,E06000012
7NU,E06000012
7NW,E06000012
7NX,E06000012
7PA,E06000012
7PB,E06000012
7PD,E06000012
7PE,E06000012
7PF,E06000012
7PH,E06000012
7PJ,E06000012
7PP,E06000012
7PR,E06000012
7PS,E06000012
7PT,E06000012
7PU,E06000012
7PX,E06000012
7PY,E06000012
7PZ,E06000012
7QA,E06000012
7QB,E06000012
7QD,E06000012
7QE,E06000012
7QF,E06000012
7QG,E06000012
7QH,E06000012
7QJ,E06000012
7QL,E06000012
7QQ,E06000012
7QR,E06000012
7QU,E06000012
7QX,E06000012
7QY,E06000012
7QZ,E06000012
7RA,E06000012
7RB,E06000012
7RD,E06000012
7RE,E06000012
7RF,E06000012
7RG,E06000012
7RH,E06000012
7RJ,E06000012
7RL,E06000012
7RN,E06000012
7RP,E06000012
7RQ,E06000012
7RR,E06000012
7RW,E06000012
7RZ,E06000012
7SA,E06000012
7SB,E06000012
7SD,E06000012
7SE,E06000012
7SF,E06000012
7SG,E06000012
7SH,E06000012
7SJ,E06000012
7SL,E06000012
7SN,E06000012
7SP,E06000012
7SQ,E06000012
7SR,E06000012
7SS,E06000012
7ST,E06000012
7SU,E06000012
7SW,E06000012
7SX,E06000012
7SY,E06000012
7SZ,E06000012
7TA,E06000012
7TB,E06000012
7TD,E06000012
7TE,E06000012
7TF,E06000012
7TG,E06000012
7TP,E06000012
7TR,E06000012
7TT,E06000012
7TU,E06000012
7TX,E06000012
7TY,E06000012
7TZ,E06000012
7UA,E06000012
7UB,E06000012
7UD,E06000012
7UE,E06000012
7UF,E06000012
7UG,E06000012
7UH,E06000012
7UJ,E06000012
7UL,E06000012
7UN,E06000012
7UP,E06000012
7UQ,E06000012
7UR,E06000012
7UT,E06000012
7UU,E06000012
7UW,E06000012
7UX,E06000012
7UY,E06000012
7UZ,E06000012
7XA,E06000012
