"pc","ca"
0AA,E07000040
0AB,E07000040
0AD,E07000040
0AE,E07000040
0AF,E07000040
0AG,E07000040
0AH,E07000040
0AJ,E07000040
0AL,E07000040
0AN,E07000040
0AP,E07000040
0AQ,E07000040
0AR,E07000040
0AS,E07000040
0AT,E07000040
0AU,E07000040
0AW,E07000040
0AX,E07000040
0AY,E07000040
0AZ,E07000040
0BA,E07000040
0BB,E07000040
0BD,E07000040
0BE,E07000040
0BG,E07000040
0BH,E07000040
0BJ,E07000040
0BL,E07000040
0BN,E07000040
0BP,E07000040
0BQ,E07000040
0BR,E07000040
0BS,E07000040
0BT,E07000040
0BU,E07000040
0BW,E07000040
0BX,E07000040
0BY,E07000040
0BZ,E07000040
0DA,E07000040
0DB,E07000040
0DD,E07000040
0DE,E07000040
0DF,E07000040
0DG,E07000040
0DH,E07000040
0DJ,E07000040
0DL,E07000040
0DN,E07000040
0DP,E07000040
0DQ,E07000040
0DR,E07000040
0DS,E07000040
0DT,E07000040
0DU,E07000040
0DW,E07000040
0DX,E07000040
0DY,E07000040
0DZ,E07000040
0EA,E07000040
0EB,E07000040
0ED,E07000040
0EE,E07000040
0EF,E07000040
0EG,E07000040
0EH,E07000040
0EJ,E07000040
0EL,E07000040
0EN,E07000040
0EP,E07000040
0EQ,E07000040
0ER,E07000040
0ES,E07000040
0ET,E07000040
0EU,E07000040
0EW,E07000040
0EX,E07000040
0EY,E07000040
0EZ,E07000040
0FB,E07000040
0FD,E07000040
0FE,E07000040
0FG,E07000040
0HA,E07000040
0HB,E07000040
0HD,E07000040
0HE,E07000040
0HF,E07000040
0HH,E07000040
0HJ,E07000040
0HL,E07000040
0HN,E07000040
0HP,E07000040
0HR,E07000040
0HS,E07000040
0HT,E07000040
0HU,E07000040
0HW,E07000040
0HX,E07000040
0HZ,E07000040
0JA,E07000040
0JB,E07000040
0JD,E07000040
0JH,E07000040
0JJ,E07000040
0JL,E07000040
0JN,E07000040
0JP,E07000040
0JQ,E07000040
0JR,E07000040
0JS,E07000040
0JT,E07000040
0JU,E07000040
0JX,E07000040
0JY,E07000040
0JZ,E07000040
0LA,E07000040
0LB,E07000040
0LD,E07000040
0LE,E07000040
0LF,E07000040
0LG,E07000040
0LH,E07000040
0LJ,E07000040
0LL,E07000040
0LN,E07000040
0LP,E07000040
0LQ,E07000040
0LR,E07000040
0LW,E07000040
0LY,E07000040
0LZ,E07000040
0NA,E07000040
0NB,E07000040
0ND,E07000040
0NE,E07000040
0NF,E07000040
0NG,E07000040
0NH,E07000040
0NJ,E07000040
0NL,E07000040
0NN,E07000040
0NP,E07000040
0NQ,E07000040
0NU,E07000040
0NW,E07000040
0NX,E07000040
0NY,E07000040
0PA,E07000040
0PB,E07000040
0PD,E07000040
0PE,E07000040
0PF,E07000040
0PG,E07000040
0PH,E07000040
0PJ,E07000040
0PL,E07000040
0PN,E07000040
0PP,E07000040
0PQ,E07000040
0PR,E07000040
0PS,E07000040
0PT,E07000040
0PW,E07000040
0QA,E07000040
0QB,E07000040
0QD,E07000040
0QE,E07000040
0QF,E07000040
0QG,E07000040
0QH,E07000040
0QJ,E07000040
0QL,E07000040
0QN,E07000040
0QP,E07000040
0QQ,E07000040
0QR,E07000040
0QS,E07000040
0QW,E07000040
0QZ,E07000040
0RA,E07000040
0RB,E07000040
0RD,E07000040
0RE,E07000040
0RF,E07000040
0RG,E07000040
0RH,E07000040
0RJ,E07000040
0RL,E07000040
0RN,E07000040
0RP,E07000040
0RQ,E07000040
0RR,E07000040
0RS,E07000040
0RT,E07000040
0RU,E07000040
0RW,E07000040
0RX,E07000040
0RY,E07000040
0RZ,E07000040
0SA,E07000040
0SB,E07000040
0SD,E07000040
0SE,E07000040
0SF,E07000040
0SG,E07000040
0SH,E07000040
0SJ,E07000040
0SL,E07000040
0SN,E07000040
0SP,E07000040
0SQ,E07000040
0SS,E07000040
0ST,E07000040
0SU,E07000040
0SX,E07000040
0TA,E07000040
0TE,E07000040
0UA,E07000040
0UZ,E07000040
1BJ,E07000040
1BL,E07000040
1BN,E07000040
1BR,E07000040
1BT,E07000040
1BU,E07000040
1BZ,E07000040
1DA,E07000040
1DB,E07000040
1SA,E07000040
1SB,E07000040
1SD,E07000040
1SE,E07000040
1SF,E07000040
1SG,E07000040
1SH,E07000040
1SJ,E07000040
1SL,E07000040
1SN,E07000040
1SP,E07000040
1SQ,E07000040
1SR,E07000040
1SS,E07000040
1ST,E07000040
1SU,E07000040
1SW,E07000040
1SX,E07000040
1SY,E07000040
1SZ,E07000040
1TA,E07000040
1TB,E07000040
1TD,E07000040
1TE,E07000040
1TF,E07000040
1TG,E07000040
1TH,E07000040
1TJ,E07000040
1TL,E07000040
1TP,E07000040
1TQ,E07000040
