"pc","ca"
0AA,S12000014
0AB,S12000014
0AD,S12000014
0AE,S12000014
0AG,S12000014
0AH,S12000014
0AJ,S12000014
0AL,S12000014
0AN,S12000014
0AP,S12000014
0AR,S12000014
0AS,S12000014
0AT,S12000014
0AX,S12000014
0AZ,S12000014
0BA,S12000014
0BB,S12000014
0BD,S12000014
0BE,S12000014
0BG,S12000014
0BH,S12000014
0BJ,S12000014
0BS,S12000014
0BT,S12000014
0BU,S12000014
0BX,S12000014
0BY,S12000014
0BZ,S12000014
0DA,S12000014
0DB,S12000014
0DD,S12000014
0DE,S12000014
0DF,S12000014
0DG,S12000014
0DH,S12000014
0DJ,S12000014
0DL,S12000014
0DN,S12000014
0DP,S12000014
0DQ,S12000014
0DR,S12000014
0DS,S12000014
0DT,S12000014
0DU,S12000014
0DW,S12000014
0DX,S12000014
0DY,S12000014
0DZ,S12000014
0EA,S12000014
0EB,S12000014
0ED,S12000014
0EE,S12000014
0EN,S12000014
0ET,S12000014
0EU,S12000014
0EX,S12000014
0EY,S12000014
0EZ,S12000014
0HA,S12000014
0HB,S12000014
0HD,S12000014
0HE,S12000014
0HF,S12000014
0HG,S12000014
0HH,S12000014
0HJ,S12000014
0HL,S12000014
0HN,S12000014
0HP,S12000014
0HQ,S12000014
0HR,S12000014
0HS,S12000014
0HT,S12000014
0HU,S12000014
0HW,S12000014
0HX,S12000014
0HY,S12000014
0HZ,S12000014
0JA,S12000014
0JB,S12000014
0JD,S12000014
0JE,S12000014
0JF,S12000014
0JH,S12000014
0JJ,S12000014
0JL,S12000014
0JN,S12000014
0JP,S12000014
0JQ,S12000014
0JR,S12000014
0LA,S12000014
0LB,S12000014
0LD,S12000014
0LE,S12000014
0LF,S12000014
0LG,S12000014
0LH,S12000014
0LU,S12000014
0LX,S12000014
0LY,S12000014
0LZ,S12000014
0NA,S12000014
0NB,S12000014
0ND,S12000014
3AG,S12000014
8AA,S12000014
8AB,S12000014
8AE,S12000014
8AF,S12000014
8AG,S12000014
8AH,S12000014
8AL,S12000014
8AN,S12000014
8AS,S12000014
8AT,S12000014
8AW,S12000014
8AY,S12000014
8AZ,S12000014
8BA,S12000014
8BB,S12000014
8BD,S12000014
8BE,S12000014
8BG,S12000014
8BL,S12000014
8BN,S12000014
8BP,S12000014
8BQ,S12000014
8BS,S12000014
8BT,S12000014
8BW,S12000014
8BX,S12000014
8BY,S12000014
8BZ,S12000014
8DA,S12000014
8DG,S12000014
8DJ,S12000014
8EB,S12000014
8EG,S12000014
8EH,S12000014
8EL,S12000014
8EN,S12000014
8EP,S12000014
8ET,S12000014
8EU,S12000014
8EX,S12000014
8EY,S12000014
8HA,S12000014
8HB,S12000014
8HD,S12000014
8HE,S12000014
8HF,S12000014
8HG,S12000014
8HH,S12000014
8HJ,S12000014
8HL,S12000014
8HN,S12000014
8HQ,S12000014
8HR,S12000014
8HT,S12000014
8HU,S12000014
8HW,S12000014
8HX,S12000014
8HY,S12000014
8HZ,S12000014
8JB,S12000014
8JD,S12000014
8JE,S12000014
8JF,S12000014
8JH,S12000014
8JN,S12000014
8JP,S12000014
8JR,S12000014
8JS,S12000014
8JT,S12000014
8JU,S12000014
8JY,S12000014
8LA,S12000014
8LB,S12000014
8LD,S12000014
8LE,S12000014
8LF,S12000014
8LG,S12000014
8LH,S12000014
8LL,S12000014
8LN,S12000014
8LP,S12000014
8LQ,S12000014
8LR,S12000014
8LS,S12000014
8LT,S12000014
8LU,S12000014
8LW,S12000014
8LX,S12000014
8LY,S12000014
8LZ,S12000014
8NA,S12000014
8NB,S12000014
8ND,S12000014
8NE,S12000014
8NF,S12000014
8NG,S12000014
8NH,S12000014
8NJ,S12000014
8NS,S12000014
8NT,S12000014
8NU,S12000014
8NX,S12000014
8NY,S12000014
8NZ,S12000014
8PA,S12000014
8PB,S12000014
8PD,S12000014
8PE,S12000014
8PF,S12000014
8PG,S12000014
8PH,S12000014
8PJ,S12000014
8PL,S12000014
8PN,S12000014
8PP,S12000014
8PR,S12000014
8PS,S12000014
8PT,S12000014
