"pc","ca"
0AA,S12000046
0AB,S12000046
0AD,S12000046
0AE,S12000046
0BD,S12000046
0BG,S12000046
0BH,S12000046
0BJ,S12000046
0BL,S12000046
0BN,S12000046
0BP,S12000046
0BQ,S12000046
0BS,S12000046
0BT,S12000046
0BU,S12000046
0BW,S12000046
0BX,S12000046
0DF,S12000046
0DG,S12000046
0DH,S12000046
0DJ,S12000046
0DL,S12000046
0DN,S12000046
0DP,S12000046
0DQ,S12000046
0DR,S12000046
0DS,S12000046
0DT,S12000046
0DU,S12000046
0DW,S12000046
0DX,S12000046
0DY,S12000046
0EA,S12000046
0EB,S12000046
0ED,S12000046
0EE,S12000046
0EG,S12000046
0EH,S12000046
0EL,S12000046
0EN,S12000046
0EP,S12000046
0EQ,S12000046
0ER,S12000046
0ET,S12000046
0EU,S12000046
0EW,S12000046
0HS,S12000046
0HU,S12000046
0JE,S12000046
0JF,S12000046
0JG,S12000046
0JH,S12000046
0JJ,S12000046
0JL,S12000046
0JN,S12000046
0JP,S12000046
0JQ,S12000046
0JR,S12000046
0JS,S12000046
0JT,S12000046
0JU,S12000046
0JW,S12000046
0LA,S12000046
0LE,S12000046
0LF,S12000046
0LG,S12000046
0LP,S12000046
0LR,S12000046
0LS,S12000046
0LT,S12000046
0LU,S12000046
0LX,S12000046
0LY,S12000046
0LZ,S12000046
0NA,S12000046
0NE,S12000046
0NG,S12000046
0NH,S12000046
0NL,S12000046
0NN,S12000046
0NP,S12000046
0NT,S12000046
0NW,S12000046
0PA,S12000046
0PE,S12000046
0PG,S12000046
0PH,S12000046
0PJ,S12000046
0PL,S12000046
0PN,S12000046
0PP,S12000046
0PQ,S12000046
0PR,S12000046
0PS,S12000046
0PT,S12000046
0PU,S12000046
0PW,S12000046
0PX,S12000046
0PY,S12000046
0QD,S12000046
0QG,S12000046
0QH,S12000046
0QJ,S12000046
0QL,S12000046
0QT,S12000046
2DN,S12000046
2DU,S12000046
2ED,S12000046
2EX,S12000046
2EY,S12000046
2FN,S12000046
2FW,S12000046
2FX,S12000046
2GT,S12000046
2GW,S12000046
2GY,S12000046
2HA,S12000046
2HB,S12000046
2HD,S12000046
2HE,S12000046
7AA,S12000046
7AB,S12000046
7AD,S12000046
7AF,S12000046
7AG,S12000046
7AH,S12000046
7AJ,S12000046
7AL,S12000046
7AN,S12000046
7AP,S12000046
7AQ,S12000046
7AR,S12000046
7AS,S12000046
7AT,S12000046
7AU,S12000046
7AW,S12000046
7AY,S12000046
7BE,S12000046
7BH,S12000046
7BJ,S12000046
7BX,S12000046
7BY,S12000046
7BZ,S12000046
7DB,S12000046
7DD,S12000046
7DE,S12000046
7DF,S12000046
7DR,S12000046
7EG,S12000046
7EH,S12000046
7EQ,S12000046
7ER,S12000046
7HA,S12000046
7HB,S12000046
7HD,S12000046
7HE,S12000046
7HF,S12000046
7HG,S12000046
7HH,S12000046
7HJ,S12000046
7HL,S12000046
7HN,S12000046
7HP,S12000046
7HR,S12000046
7HS,S12000046
7HT,S12000046
7HU,S12000046
7HW,S12000046
7HX,S12000046
7HY,S12000046
7JB,S12000046
7JD,S12000046
7JE,S12000046
7JG,S12000046
7JH,S12000046
7JJ,S12000046
7JL,S12000046
7JN,S12000046
7JP,S12000046
7JQ,S12000046
7JR,S12000046
7JS,S12000046
7JT,S12000046
7JU,S12000046
7JW,S12000046
7JX,S12000046
7JY,S12000046
7JZ,S12000046
7LA,S12000046
7LB,S12000046
7LD,S12000046
7LJ,S12000046
7LL,S12000046
7LP,S12000046
7LU,S12000046
7LW,S12000046
7LZ,S12000046
7ND,S12000046
7NE,S12000046
7NF,S12000046
7NG,S12000046
7NH,S12000046
7NQ,S12000046
7NS,S12000046
7NT,S12000046
7NU,S12000046
7NX,S12000046
7NY,S12000046
7PE,S12000046
7PF,S12000046
7PG,S12000046
7PH,S12000046
7PL,S12000046
7PN,S12000046
7PP,S12000046
7PR,S12000046
7PS,S12000046
7PU,S12000046
7PW,S12000046
7PX,S12000046
7PY,S12000046
7PZ,S12000046
7QA,S12000046
7QG,S12000046
7QP,S12000046
7QR,S12000046
7RA,S12000046
7RB,S12000046
7RD,S12000046
7RE,S12000046
7RJ,S12000046
7RN,S12000046
7RP,S12000046
7RR,S12000046
7RS,S12000046
7RT,S12000046
7RU,S12000046
7RW,S12000046
7RX,S12000046
7SA,S12000046
7SB,S12000046
8AA,S12000046
8AB,S12000046
8AD,S12000046
8AE,S12000046
8AF,S12000046
8AG,S12000046
8AH,S12000046
8AJ,S12000046
8AL,S12000046
8AN,S12000046
8AP,S12000046
8AQ,S12000046
8AS,S12000046
8AT,S12000046
8AU,S12000046
8AW,S12000046
8AX,S12000046
8AY,S12000046
8BA,S12000046
8BB,S12000046
8BG,S12000046
8BH,S12000046
8BJ,S12000046
8BS,S12000046
8BT,S12000046
8BU,S12000046
8BW,S12000046
8BX,S12000046
8BY,S12000046
8BZ,S12000046
8DA,S12000046
8DD,S12000046
8DL,S12000046
8DN,S12000046
8DP,S12000046
8DR,S12000046
8DS,S12000046
8DT,S12000046
8DW,S12000046
8EB,S12000046
8ED,S12000046
8EE,S12000046
8EF,S12000046
8EG,S12000046
8EH,S12000046
8EJ,S12000046
8EL,S12000046
8EN,S12000046
8EP,S12000046
8EQ,S12000046
8ER,S12000046
8ES,S12000046
8EW,S12000046
8HA,S12000046
8HB,S12000046
8HD,S12000046
8HE,S12000046
8HF,S12000046
8HG,S12000046
8HH,S12000046
8HJ,S12000046
8HL,S12000046
8HN,S12000046
8HP,S12000046
8HQ,S12000046
8HR,S12000046
8HS,S12000046
8HT,S12000046
8JD,S12000046
8JE,S12000046
8JF,S12000046
8JG,S12000046
8JH,S12000046
8JL,S12000046
8JN,S12000046
8JQ,S12000046
8JR,S12000046
8JS,S12000046
8JT,S12000046
8LD,S12000046
8LE,S12000046
8LF,S12000046
8LG,S12000046
8LJ,S12000046
8LL,S12000046
8LQ,S12000046
8LT,S12000046
8LU,S12000046
8LX,S12000046
8LY,S12000046
8NA,S12000046
8NB,S12000046
8ND,S12000046
8NE,S12000046
8NF,S12000046
8NG,S12000046
8NH,S12000046
8NJ,S12000046
8NL,S12000046
8NN,S12000046
8NP,S12000046
8NQ,S12000046
8NR,S12000046
8NS,S12000046
8NT,S12000046
8PE,S12000046
8PH,S12000046
8PJ,S12000046
8PL,S12000046
8PP,S12000046
8PQ,S12000046
8PR,S12000046
8PT,S12000046
8PU,S12000046
8PW,S12000046
8PY,S12000046
8PZ,S12000046
8QA,S12000046
8QB,S12000046
8QD,S12000046
8QE,S12000046
8QF,S12000046
8QN,S12000046
8QP,S12000046
8QR,S12000046
8QS,S12000046
8QT,S12000046
8QU,S12000046
8QX,S12000046
8QY,S12000046
8QZ,S12000046
8RA,S12000046
8RB,S12000046
8RD,S12000046
8RE,S12000046
8RF,S12000046
8RL,S12000046
8RP,S12000046
8RR,S12000046
8RS,S12000046
8RT,S12000046
8RU,S12000046
8RW,S12000046
8RX,S12000046
8RY,S12000046
8RZ,S12000046
8SG,S12000046
8SL,S12000046
8SP,S12000046
8SR,S12000046
8SS,S12000046
8ST,S12000046
8SU,S12000046
8SW,S12000046
8SX,S12000046
8SY,S12000046
8SZ,S12000046
8TA,S12000046
8TB,S12000046
8TD,S12000046
8TE,S12000046
8TF,S12000046
8TG,S12000046
8TN,S12000046
8TP,S12000046
8TR,S12000046
8TS,S12000046
8TT,S12000046
8TY,S12000046
8UA,S12000046
8UB,S12000046
8UD,S12000046
8UE,S12000046
8UF,S12000046
8UH,S12000046
8UJ,S12000046
8UL,S12000046
8UN,S12000046
8UQ,S12000046
8XA,S12000046
8XB,S12000046
8XD,S12000046
8XE,S12000046
8XF,S12000046
8XG,S12000046
8XL,S12000046
8XN,S12000046
8XR,S12000046
8XT,S12000046
8XU,S12000046
8XW,S12000046
8XX,S12000046
8XY,S12000046
8XZ,S12000046
8YA,S12000046
8YB,S12000046
8YD,S12000046
8YG,S12000046
8YJ,S12000046
8YN,S12000046
8YP,S12000046
8YQ,S12000046
8YR,S12000046
8YS,S12000046
8YU,S12000046
8YW,S12000046
8YY,S12000046
8YZ,S12000046
9AB,S12000046
9AD,S12000046
9AE,S12000046
9AF,S12000046
9AG,S12000046
9AH,S12000046
9AJ,S12000046
9AL,S12000046
9AN,S12000046
9AP,S12000046
9AQ,S12000046
9AR,S12000046
9AS,S12000046
9AT,S12000046
9AW,S12000046
9AX,S12000046
9AY,S12000046
9AZ,S12000046
9BA,S12000046
9BB,S12000046
9BD,S12000046
9BE,S12000046
9BF,S12000046
9BG,S12000046
9BH,S12000046
9BJ,S12000046
9BL,S12000046
9BN,S12000046
9BQ,S12000046
9BT,S12000046
9BU,S12000046
9BW,S12000046
9DB,S12000046
9DD,S12000046
9DE,S12000046
9DF,S12000046
9DH,S12000046
9DJ,S12000046
9DL,S12000046
9DN,S12000046
9DP,S12000046
9DQ,S12000046
9DR,S12000046
9DS,S12000046
9DT,S12000046
9DU,S12000046
9DW,S12000046
9DX,S12000046
9DY,S12000046
9DZ,S12000046
9EA,S12000046
9ED,S12000046
9EF,S12000046
9EG,S12000046
