"pc","ca"
0AA,E07000007
0AB,E07000007
0AD,E07000007
0AE,E07000007
0AF,E07000007
0AG,E07000007
0AL,E07000007
0AN,E07000007
0AP,E07000007
0AQ,E07000007
0AT,E07000007
0AU,E07000007
0AW,E07000007
0AX,E07000007
0AZ,E07000007
0BA,E07000007
0BD,E07000007
0BE,E07000007
0BG,E07000007
0BH,E07000007
0BJ,E07000007
0BL,E07000007
0BN,E07000007
0BP,E07000007
0BQ,E07000007
0BS,E07000007
0BT,E07000007
0BU,E07000007
0BW,E07000007
0BX,E07000007
0BY,E07000007
0BZ,E07000007
0DA,E07000007
0DD,E07000007
0DE,E07000007
0DF,E07000007
0DG,E07000007
0DH,E07000007
0DJ,E07000007
0DL,E07000007
0DN,E07000007
0DP,E07000007
0DQ,E07000007
0DR,E07000007
0DS,E07000007
0DT,E07000007
0DU,E07000007
0DW,E07000007
0DX,E07000007
0EA,E07000007
0EE,E07000007
0EF,E07000007
0EG,E07000007
0EH,E07000007
0EJ,E07000007
0EL,E07000007
0EN,E07000007
0EP,E07000007
0ER,E07000007
0ES,E07000007
0ET,E07000007
0EU,E07000007
0EW,E07000007
0EX,E07000007
0FA,E07000007
0FB,E07000007
0FD,E07000007
0FE,E07000007
0FF,E07000007
0FG,E07000007
0FH,E07000007
0FJ,E07000007
0FL,E07000007
0FN,E07000007
0HA,E07000007
0HB,E07000007
0HD,E07000007
0HE,E07000007
0HF,E07000007
0HG,E07000007
0HH,E07000007
0HJ,E07000007
0HL,E07000007
0HP,E07000007
0HR,E07000007
0HS,E07000007
0HT,E07000007
0HU,E07000007
0HW,E07000007
0HZ,E07000007
0JA,E07000007
0JB,E07000007
0JD,E07000007
0JG,E07000007
0JH,E07000007
0JJ,E07000007
0JL,E07000007
0JN,E07000007
0JP,E07000007
0JQ,E07000007
0JR,E07000006
0JS,E07000006
0JT,E07000007
0JU,E07000006
0JW,E07000006
0JX,E07000006
0JY,E07000006
0LA,E07000006
0LB,E07000006
0LD,E07000006
0LG,E07000006
0LH,E07000006
0LJ,E07000006
0LL,E07000006
0LN,E07000007
0LP,E07000006
0LS,E07000007
0LU,E07000007
0LW,E07000007
0LX,E07000006
0LZ,E07000007
0NA,E07000007
0NB,E07000007
0ND,E07000007
0NE,E07000007
0NF,E07000007
0NG,E07000007
0NH,E07000007
0NJ,E07000007
0NL,E07000007
0NN,E07000007
