"pc","ca"
1AB,E08000012
1AD,E08000012
1AN,E08000012
1DX,E08000012
1ES,E08000012
1ET,E08000012
1EU,E08000012
1EX,E08000012
1EY,E08000012
1EZ,E08000012
1JL,E08000014
1LU,E08000012
1NA,E08000012
1NB,E08000012
1NE,E08000012
1NG,E08000012
1NH,E08000012
1NJ,E08000012
1NQ,E08000012
1NR,E08000012
1NW,E08000012
1PJ,E08000012
1PL,E08000012
1PP,E08000012
1PT,E08000012
1PU,E08000012
1QT,E08000012
1RF,E08000012
1RX,E08000012
1WT,E08000012
1WX,E08000012
1WY,E08000012
1WZ,E08000012
1ZT,E08000012
2QA,E08000011
2QG,E08000012
2QH,E08000012
2QR,E08000011
2UD,E08000011
2WZ,E08000012
8AH,E08000012
8AJ,E08000012
8AL,E08000012
8AY,E08000012
8AZ,E08000012
9AA,E08000012
9AB,E08000012
9AE,E08000012
9AF,E08000012
9AU,E08000012
9EA,E08000012
