"pc","ca"
0AB,E08000035
0AE,E08000035
0AF,E08000035
0AG,E08000035
0AH,E08000035
0AJ,E08000035
0AL,E08000035
0AN,E08000035
0AP,E08000035
0AQ,E08000035
0AR,E08000035
0AY,E08000035
0AZ,E08000035
0BA,E08000035
0BD,E08000035
0BE,E08000035
0BG,E08000035
0BH,E08000035
0BJ,E08000035
0BL,E08000035
0BN,E08000035
0BP,E08000035
0BQ,E08000035
0BR,E08000035
0BS,E08000035
0BT,E08000035
0BU,E08000035
0BW,E08000035
0BX,E08000035
0BY,E08000035
0BZ,E08000035
0DB,E08000035
0DD,E08000035
0DE,E08000035
0DG,E08000035
0DN,E08000035
0DQ,E08000035
0DX,E08000035
0EA,E08000035
0EB,E08000035
0ED,E08000035
0EE,E08000035
0EF,E08000035
0EG,E08000035
0EH,E08000035
0EJ,E08000035
0EL,E08000035
0EN,E08000035
0EQ,E08000035
0ER,E08000035
0ES,E08000035
0ET,E08000035
0EU,E08000035
0EW,E08000035
0EX,E08000035
0EY,E08000035
0EZ,E08000035
0HB,E08000035
0HD,E08000035
0HE,E08000035
0HH,E08000035
0HJ,E08000035
0HL,E08000035
0HN,E08000035
0HP,E08000035
0HR,E08000035
0HS,E08000035
0HT,E08000035
0HU,E08000035
0HW,E08000035
0HX,E08000035
0HY,E08000035
0HZ,E08000035
0JA,E08000035
0JB,E08000035
0JE,E08000035
0JF,E08000035
0JG,E08000035
0JH,E08000035
0JJ,E08000035
0JL,E08000035
0JN,E08000035
0JP,E08000035
0JQ,E08000035
0JR,E08000035
0JS,E08000035
0JT,E08000035
0JW,E08000035
0JX,E08000035
0JY,E08000035
0JZ,E08000035
0LA,E08000035
0LB,E08000035
0LD,E08000035
0LE,E08000035
0LF,E08000035
0LG,E08000035
0LH,E08000035
0LJ,E08000035
0LL,E08000035
0LN,E08000035
0LP,E08000035
0LQ,E08000035
0LR,E08000035
0LS,E08000035
0LT,E08000035
0LU,E08000035
0LW,E08000035
0LX,E08000035
0LY,E08000035
0NB,E08000035
0ND,E08000035
0NE,E08000035
0NF,E08000035
0NG,E08000035
0NH,E08000035
0NJ,E08000035
0NL,E08000035
0NN,E08000035
0NP,E08000035
0NQ,E08000035
0NS,E08000035
0NT,E08000035
0NW,E08000035
0NX,E08000035
0NY,E08000035
0PF,E08000035
0PH,E08000035
0PJ,E08000035
0PS,E08000035
0PT,E08000035
0PX,E08000035
0QP,E08000035
0RA,E08000035
0RD,E08000035
0RE,E08000035
0RF,E08000035
0RH,E08000035
0RJ,E08000035
0RQ,E08000035
0RR,E08000035
0RT,E08000035
0RW,E08000035
0RX,E08000035
0RY,E08000035
0SD,E08000035
0SE,E08000035
0SF,E08000035
0SG,E08000035
0SH,E08000035
0SJ,E08000035
0SL,E08000035
0SN,E08000035
0SR,E08000035
0SS,E08000035
0ST,E08000035
0SW,E08000035
0SY,E08000035
0SZ,E08000035
0TJ,E08000035
0TL,E08000035
0TN,E08000035
0TP,E08000035
0TT,E08000035
0TW,E08000035
0WU,E08000035
1AA,E08000035
1AR,E08000035
1AS,E08000035
1BD,E08000035
1BG,E08000035
1BL,E08000035
1BU,E08000035
6AA,E08000035
6AB,E08000035
6AD,E08000035
6AE,E08000035
6AF,E08000035
6AG,E08000035
6AH,E08000035
6AJ,E08000035
6AL,E08000035
6AN,E08000035
6AP,E08000035
6AQ,E08000035
6AR,E08000035
6AS,E08000035
6AT,E08000035
6AU,E08000035
6AW,E08000035
6AX,E08000035
6AY,E08000035
6AZ,E08000035
6BA,E08000035
6BB,E08000035
6BD,E08000035
6BE,E08000035
6BF,E08000035
6BG,E08000035
6BH,E08000035
6BJ,E08000035
6BL,E08000035
6BN,E08000035
6BP,E08000035
6BQ,E08000035
6BR,E08000035
6BS,E08000035
6BT,E08000035
6BU,E08000035
6BW,E08000035
6BX,E08000035
6BY,E08000035
6BZ,E08000035
6DA,E08000035
6DD,E08000035
6DF,E08000035
6DG,E08000035
6DH,E08000035
6DJ,E08000035
6DL,E08000035
6DN,E08000035
6DP,E08000035
6DQ,E08000035
6DR,E08000035
6DS,E08000035
6DT,E08000035
6DU,E08000035
6DW,E08000035
6DX,E08000035
6DY,E08000035
6EA,E08000035
6EB,E08000035
6ED,E08000035
6EE,E08000035
6EF,E08000035
