"pc","ca"
0AA,E06000056
0AB,E06000056
0AD,E06000056
0AE,E06000056
0AF,E06000056
0AG,E06000056
0AH,E06000056
0AJ,E06000056
0AL,E06000056
0AN,E06000056
0AP,E06000056
0AQ,E06000056
0AR,E06000056
0AS,E06000056
0AT,E06000056
0AU,E06000056
0AW,E06000056
0AX,E06000056
0AY,E06000056
0AZ,E06000056
0BA,E06000056
0BB,E06000056
0BD,E06000056
0BE,E06000056
0BG,E06000056
0BH,E06000056
0BJ,E06000056
0BL,E06000056
0BN,E06000056
0BP,E06000056
0BQ,E06000056
0BS,E06000056
0BT,E06000056
0BU,E06000056
0BW,E06000056
0BX,E06000056
0BY,E06000056
0BZ,E06000056
0DA,E06000056
0DB,E06000056
0DD,E06000056
0DE,E06000056
0DF,E06000056
0DG,E06000056
0DH,E06000056
0DJ,E06000056
0DL,E06000056
0DN,E06000056
0DP,E06000056
0DQ,E06000056
0DR,E06000056
0DS,E06000056
0DT,E06000056
0DU,E06000056
0DW,E06000056
0DX,E06000056
0DY,E06000056
0DZ,E06000056
0EA,E06000056
0EB,E06000056
0ED,E06000056
0EE,E06000056
0EF,E06000056
0EG,E06000056
0EH,E06000056
0EJ,E06000056
0EL,E06000056
0EN,E06000056
0EP,E06000056
0EQ,E06000056
0ER,E06000056
0ET,E06000056
0EU,E06000056
0EW,E06000056
0EX,E06000056
0EY,E06000056
0EZ,E06000056
0FA,E06000056
0FB,E06000056
0FD,E06000056
0FE,E06000056
0FF,E06000056
0FG,E06000056
0FH,E06000056
0FJ,E06000056
0FL,E06000056
0FN,E06000056
0FP,E06000056
0FQ,E06000056
0FR,E06000056
0FS,E06000056
0FT,E06000056
0FW,E06000056
0FX,E06000056
0FY,E06000056
0FZ,E06000056
0GA,E06000056
0GB,E06000056
0GD,E06000056
0GE,E06000056
0GF,E06000056
0GG,E06000056
0GH,E06000056
0GJ,E06000056
0GL,E06000055
0GN,E06000056
0GP,E06000056
0GQ,E06000056
0GR,E06000056
0GS,E06000056
0GW,E06000056
0GY,E06000055
0GZ,E06000056
0HA,E06000056
0HB,E06000056
0HD,E06000056
0HE,E06000056
0HF,E06000056
0HG,E06000056
0HH,E06000056
0HJ,E06000056
0HL,E06000056
0HN,E06000056
0HP,E06000056
0HQ,E06000056
0HR,E06000056
0HS,E06000056
0HT,E06000056
0HU,E06000056
0HW,E06000056
0HX,E06000056
0HY,E06000056
