"pc","ca"
1AB,S12000038
1AF,S12000038
1AH,S12000038
1AJ,S12000038
1AN,S12000038
1AP,S12000038
1AR,S12000038
1AS,S12000038
1AT,S12000038
1AW,S12000038
1AX,S12000038
1BB,S12000038
1BE,S12000038
1BF,S12000038
1BG,S12000038
1BS,S12000038
1BT,S12000038
1BU,S12000038
1BW,S12000038
1BZ,S12000038
1DA,S12000038
1DJ,S12000038
1DL,S12000038
1DQ,S12000038
1DW,S12000038
1EA,S12000038
1EB,S12000038
1ED,S12000038
1EG,S12000038
1EQ,S12000038
1ER,S12000038
1ES,S12000038
1ET,S12000038
1EU,S12000038
1EX,S12000038
1HH,S12000038
1HJ,S12000038
1JP,S12000038
1JR,S12000038
1JW,S12000038
1LA,S12000038
1LB,S12000038
1LD,S12000038
1LE,S12000038
1LN,S12000038
1LP,S12000038
1LQ,S12000038
1LR,S12000038
1LS,S12000038
1LT,S12000038
1LU,S12000038
1LW,S12000038
1LX,S12000038
1NA,S12000038
1NB,S12000038
1ND,S12000038
1NG,S12000038
1NH,S12000038
1NJ,S12000038
1NL,S12000038
1NQ,S12000038
1NR,S12000038
1NS,S12000038
1NT,S12000038
1NU,S12000038
1NX,S12000038
1PA,S12000038
1PB,S12000038
1PD,S12000038
1PE,S12000038
1PS,S12000038
1QA,S12000038
1QG,S12000038
1QJ,S12000038
1QL,S12000038
1QN,S12000038
1QP,S12000038
1QS,S12000038
1QT,S12000038
1QW,S12000038
1QZ,S12000038
1RA,S12000038
1RB,S12000038
1RD,S12000038
1RF,S12000038
1RJ,S12000038
1RN,S12000038
1RP,S12000038
1RQ,S12000038
1RR,S12000038
1RS,S12000038
1RT,S12000038
1RU,S12000038
1RW,S12000038
1RX,S12000038
1RY,S12000038
1RZ,S12000038
1SA,S12000038
1SB,S12000038
1TA,S12000038
1TD,S12000038
1TE,S12000038
1TG,S12000038
1TH,S12000038
1TL,S12000038
1TN,S12000038
1TQ,S12000038
1TR,S12000038
1UB,S12000038
1WA,S12000038
2AA,S12000038
2AB,S12000038
2AD,S12000038
2AF,S12000038
2AG,S12000038
2AL,S12000038
2AN,S12000038
2AP,S12000038
2AW,S12000038
2AX,S12000038
2AY,S12000038
2AZ,S12000038
2BB,S12000038
2BD,S12000038
2BE,S12000038
2BF,S12000038
2BJ,S12000038
2BL,S12000038
2BS,S12000038
2BT,S12000038
2BU,S12000038
2BY,S12000038
2DA,S12000038
2DD,S12000038
2DG,S12000038
2DH,S12000038
2DJ,S12000038
2DY,S12000038
2DZ,S12000038
2EA,S12000038
2EG,S12000038
2EH,S12000038
2EL,S12000038
2EN,S12000038
2EP,S12000038
2EQ,S12000038
2ER,S12000038
2ES,S12000038
2ET,S12000038
2HJ,S12000038
2HL,S12000038
2HQ,S12000038
2HT,S12000038
2HU,S12000038
2HW,S12000038
2JA,S12000038
2JB,S12000038
2JD,S12000038
2JE,S12000038
2JF,S12000038
2JG,S12000038
2JH,S12000038
2JJ,S12000038
2JL,S12000038
2JN,S12000038
2JQ,S12000038
2JR,S12000038
2JS,S12000038
2LA,S12000038
2LB,S12000038
2LD,S12000038
2LE,S12000038
2LF,S12000038
2LG,S12000038
2LH,S12000038
2LJ,S12000038
2LL,S12000038
2LN,S12000038
2LP,S12000038
2LQ,S12000038
2LR,S12000038
2LS,S12000038
2LT,S12000038
2LU,S12000038
2LW,S12000038
2LX,S12000038
2LY,S12000038
2LZ,S12000038
2NA,S12000038
2NB,S12000038
2ND,S12000038
2NF,S12000038
2NH,S12000038
2NJ,S12000038
2NL,S12000038
2NN,S12000038
2NS,S12000038
2NT,S12000038
2NU,S12000038
2NX,S12000038
2PA,S12000038
2PB,S12000038
