"pc","ca"
0AA,E08000016
0AB,E08000016
0AD,E08000016
0AE,E08000016
0AF,E08000016
0AG,E08000016
0AJ,E08000016
0AL,E08000016
0AN,E08000016
0AP,E08000016
0AQ,E08000016
0AR,E08000016
0AS,E08000016
0AT,E08000016
0AU,E08000016
0AW,E08000016
0AX,E08000016
0AY,E08000016
0AZ,E08000016
0BA,E08000016
0BB,E08000016
0BD,E08000016
0BE,E08000016
0BF,E08000016
0BG,E08000016
0BH,E08000016
0BJ,E08000016
0BL,E08000016
0BN,E08000016
0BP,E08000016
0BQ,E08000016
0BS,E08000016
0BT,E08000016
0BU,E08000016
0BW,E08000016
0BX,E08000016
0BY,E08000016
0BZ,E08000016
0DA,E08000016
0DB,E08000016
0DD,E08000016
0DE,E08000016
0DF,E08000016
0DG,E08000016
0DH,E08000016
0DJ,E08000016
0DL,E08000016
0DN,E08000016
0DP,E08000016
0DQ,E08000016
0DR,E08000016
0DS,E08000016
0DT,E08000016
0DU,E08000016
0DW,E08000016
0DX,E08000016
0DY,E08000016
0DZ,E08000016
0EA,E08000016
0EB,E08000016
0ED,E08000016
0EE,E08000016
0EF,E08000016
0EG,E08000016
0EH,E08000016
0EJ,E08000016
0EN,E08000016
0EP,E08000016
0EQ,E08000016
0EX,E08000016
0EY,E08000016
0EZ,E08000016
0HA,E08000016
0HB,E08000016
0HD,E08000016
0HE,E08000016
0HF,E08000016
0HG,E08000016
0HH,E08000016
0HJ,E08000016
0HL,E08000016
0HN,E08000016
0HP,E08000016
0HQ,E08000016
0HR,E08000016
0HS,E08000016
0HT,E08000016
0HU,E08000016
0HW,E08000016
0HX,E08000016
0HY,E08000016
0HZ,E08000016
0JA,E08000016
0JB,E08000016
0JD,E08000016
0JE,E08000016
0JF,E08000016
0JG,E08000016
0JQ,E08000016
7AA,E08000016
7AB,E08000016
7AD,E08000016
7AE,E08000016
7AF,E08000016
7AG,E08000016
7AH,E08000016
7AJ,E08000016
7AL,E08000016
7AN,E08000016
7AP,E08000016
7AQ,E08000016
7AR,E08000016
7AT,E08000016
7AW,E08000016
7AX,E08000016
7AZ,E08000016
7BA,E08000016
7BB,E08000016
7BD,E08000016
7BE,E08000016
7BF,E08000016
7BH,E08000016
7BL,E08000016
7BN,E08000016
7BQ,E08000016
7DB,E08000016
7DH,E08000016
7DJ,E08000016
7DL,E08000016
7DN,E08000016
7DP,E08000016
7DR,E08000016
7DS,E08000016
7DT,E08000016
7DU,E08000016
7DW,E08000016
7DX,E08000016
7DZ,E08000016
7EB,E08000016
7EE,E08000016
7EF,E08000016
7EG,E08000016
7EH,E08000016
7EJ,E08000016
7EL,E08000016
7EN,E08000016
7EP,E08000016
7EQ,E08000016
7ER,E08000016
7ES,E08000016
7ET,E08000016
7EU,E08000016
7EW,E08000016
7EX,E08000016
7EY,E08000016
7EZ,E08000016
7FB,E08000016
7FD,E08000016
7FE,E08000016
7FF,E08000016
7FH,E08000016
7FJ,E08000016
7FL,E08000016
7FN,E08000016
7FR,E08000016
7FT,E08000016
7FX,E08000016
7GA,E08000016
7GD,E08000016
7GH,E08000016
7GX,E08000016
7HA,E08000016
7HB,E08000016
7HD,E08000016
7HE,E08000016
7HG,E08000016
7HL,E08000016
7HN,E08000016
7HP,E08000016
7HW,E08000016
7HZ,E08000016
7JB,E08000016
7JD,E08000016
7JE,E08000016
7JF,E08000016
7JG,E08000016
7JH,E08000016
7JJ,E08000016
7JL,E08000016
7JN,E08000016
7JP,E08000016
7JQ,E08000016
7JR,E08000016
7JU,E08000016
7JW,E08000016
7JX,E08000016
7JY,E08000016
7JZ,E08000016
7LB,E08000016
7LD,E08000016
7LE,E08000016
7LF,E08000016
7LG,E08000016
7LJ,E08000016
7LP,E08000016
7LQ,E08000016
