"pc","ca"
0AA,E07000012
0AB,E07000012
0AD,E07000012
0AG,E07000012
0AH,E07000012
0AJ,E07000012
0AL,E07000012
0AN,E07000012
0AP,E07000012
0AQ,E07000012
0AR,E07000012
0AS,E07000012
0AT,E07000012
0AU,E07000012
0AW,E07000012
0AX,E07000012
0AY,E07000012
0AZ,E07000012
0BA,E07000012
0BB,E07000012
0BD,E07000012
0BG,E07000012
0BH,E07000012
0BL,E07000012
0BN,E07000012
0BP,E07000012
0BS,E07000012
0BT,E07000012
0BU,E07000012
0BW,E07000012
0BX,E07000012
0BZ,E07000012
0DA,E07000012
0DB,E07000012
0DJ,E07000012
0DL,E07000012
0DN,E07000012
0DP,E07000012
0DR,E07000012
0DT,E07000012
0DX,E07000012
0DZ,E07000012
0EA,E07000012
0ED,E07000012
0EE,E07000012
0EF,E07000012
0EG,E07000012
0EH,E07000012
0EJ,E07000012
0EL,E07000012
0EN,E07000012
0EP,E07000012
0EQ,E07000012
0ER,E07000012
0ES,E07000012
0ET,E07000012
0EU,E07000012
0EX,E07000012
0EY,E07000012
0HA,E07000012
0HB,E07000012
0HD,E07000012
0HE,E07000012
0HF,E07000012
0HG,E07000012
0HH,E07000012
0HJ,E07000012
0HL,E07000012
0HN,E07000012
0HP,E07000012
0HR,E07000012
0HS,E07000012
0HT,E07000012
0HU,E07000012
0HW,E07000012
0JA,E07000012
0JB,E07000012
0JD,E07000012
0JE,E07000012
0JF,E07000012
0JG,E07000012
0JH,E07000012
0JJ,E07000012
0JL,E07000012
0JN,E07000012
0JP,E07000012
0JR,E07000012
0JS,E07000012
0JT,E07000012
0JU,E07000012
0JW,E07000012
0JX,E07000012
0JY,E07000012
0JZ,E07000012
0LA,E07000012
0LB,E07000012
0LE,E07000012
0LF,E06000056
0LG,E07000012
0LH,E07000012
0LP,E07000012
0LR,E07000012
0LS,E07000012
0LT,E07000012
0LX,E07000012
0LY,E07000012
0NA,E07000012
0NB,E07000012
0ND,E07000012
0NE,E07000012
0NF,E07000012
0NG,E07000012
0NH,E07000012
0NJ,E07000012
0NL,E07000012
0NN,E07000012
0NP,E07000012
0NQ,E07000012
0NR,E07000012
0NS,E07000012
0NT,E07000012
0NU,E07000012
0NW,E07000012
0NX,E07000012
0NY,E07000012
0NZ,E07000012
0PB,E07000012
0PD,E07000012
0PE,E07000012
0PF,E07000012
0PG,E07000012
0PH,E07000012
0PJ,E07000012
0PL,E07000012
0PN,E07000012
0PP,E07000012
0PR,E07000012
0PT,E07000012
0PU,E07000012
0PW,E07000012
0QA,E07000012
0QB,E07000012
0QE,E07000012
0QF,E07000012
0QG,E07000012
0QH,E07000012
0QJ,E07000012
0QL,E07000012
0QN,E07000012
0QP,E07000012
0QQ,E07000012
0QR,E07000012
0QS,E07000012
0QT,E07000012
0QU,E07000012
0QX,E07000012
0QZ,E07000012
0RA,E07000012
0RB,E07000012
0RD,E07000012
0RE,E07000012
0RG,E07000012
0RH,E07000012
0RJ,E07000012
0RL,E07000012
0RN,E07000012
0RP,E07000012
0RQ,E07000012
0RR,E07000012
0RS,E07000012
0RT,E07000012
0RU,E07000012
0SA,E07000012
0SB,E07000012
0SD,E07000012
0SG,E07000012
0SH,E07000012
0SJ,E07000012
0SL,E07000012
0SN,E07000012
0SQ,E07000012
0SS,E07000012
