"pc","ca"
0AA,E06000049
0AB,E06000049
0AD,E06000049
0AE,E06000049
0AF,E06000049
0AG,E06000049
0AJ,E06000049
0AL,E06000049
0AN,E06000049
0AP,E06000049
0AQ,E06000049
0AR,E06000049
0AT,E06000049
0AW,E06000049
0BA,E06000049
0BB,E06000049
0BD,E06000049
0BE,E06000049
0BG,E06000049
0BH,E06000049
0BJ,E06000049
0BL,E06000049
0BQ,E06000049
0BU,E06000049
0BX,E06000049
0BY,E06000049
0BZ,E06000049
0DB,E06000049
0DD,E06000049
0DE,E06000049
0DG,E06000049
0DH,E06000049
0DJ,E06000049
0DL,E06000049
0DN,E06000049
0DP,E06000049
0DQ,E06000049
0DR,E06000049
0DS,E06000049
0DT,E06000049
0DU,E06000049
0DW,E06000049
0DX,E06000049
0DY,E06000049
0DZ,E06000049
0EA,E06000049
0EB,E06000049
0ED,E06000049
0EE,E06000049
0EF,E06000049
0EG,E06000049
0EH,E06000049
0EJ,E06000049
0EL,E06000049
0EN,E06000049
0EP,E06000049
0EQ,E06000049
0ER,E06000049
0EW,E06000049
0FJ,E06000049
0HA,E06000049
0HD,E06000049
0HE,E06000049
0HG,E06000049
0HH,E06000049
0HJ,E06000049
0HL,E06000049
0HN,E06000049
0HP,E06000049
0HQ,E06000049
0HR,E06000049
0HT,E06000049
0HU,E06000049
0HW,E06000049
0HX,E06000049
0HZ,E06000049
0JA,E06000049
0JB,E06000049
0JD,E06000049
0JE,E06000049
0JF,E06000049
0JH,E06000049
0JJ,E06000049
0JQ,E06000049
0JR,E06000049
0JX,E06000049
0JZ,E06000049
0LA,E06000049
0LB,E06000049
0LD,E06000049
0LF,E06000049
0LG,E06000049
0LH,E06000049
0LJ,E06000049
0LL,E06000049
0LP,E06000049
0LQ,E06000049
0LR,E06000049
0LS,E06000049
0LT,E06000049
0LU,E06000049
0LX,E06000049
0LY,E06000049
0NA,E06000049
0NB,E06000049
0ND,E06000049
0NE,E06000049
0NG,E06000049
0NH,E06000049
0NJ,E06000049
0NL,E06000049
0NN,E06000049
0NR,E06000049
0NS,E06000049
0NX,E06000049
0NY,E06000049
0NZ,E06000049
0PA,E06000049
0PB,E06000049
0PE,E06000049
0PG,E06000049
0PH,E06000049
0PJ,E06000049
0PL,E06000049
0PN,E06000049
0PP,E06000049
0PR,E06000049
0PS,E06000049
0PT,E06000049
0PU,E06000049
0PW,E06000049
0PX,E06000049
0QA,E06000049
0QB,E06000049
0QE,E06000049
0QF,E06000049
0QG,E06000049
0QH,E06000049
0QJ,E06000049
0QL,E06000049
0QQ,E06000049
0QT,E07000198
0QU,E07000198
0QX,E07000198
0QY,E07000198
0QZ,E07000198
0RA,E07000198
0RB,E07000198
0RD,E07000198
0RE,E07000198
0RF,E07000198
0RG,E07000198
0RH,E07000198
0RL,E07000198
0RN,E07000198
0RP,E07000198
0RR,E07000198
0RS,E07000198
0RT,E07000198
0RU,E07000198
0RW,E07000198
0RX,E07000198
0SA,E07000198
0SD,E07000198
0SE,E07000198
0SF,E07000198
0SG,E07000198
0SH,E07000198
0SJ,E07000198
0SL,E07000198
0SN,E07000198
0SQ,E07000198
0SR,E07000198
0SW,E07000198
0TA,E06000049
0TB,E06000049
6AD,E06000049
6AF,E06000049
6AJ,E06000049
6AN,E06000049
6AR,E06000049
6AS,E06000049
6AT,E06000049
6AU,E06000049
6AW,E06000049
6AX,E06000049
6AY,E06000049
6BA,E06000049
6BB,E06000049
6BQ,E06000049
6BS,E06000049
6BU,E06000049
6BX,E06000049
6DG,E06000049
6DP,E06000049
6DU,E06000049
6DY,E06000049
6EB,E06000049
6ED,E06000049
6EF,E06000049
6EG,E06000049
6EP,E06000049
6ER,E06000049
6ES,E06000049
6ET,E06000049
6EW,E06000049
6EX,E06000049
6EZ,E06000049
