"pc","ca"
0AA,E06000034
0AB,E06000034
0AD,E06000034
0AE,E06000034
0AF,E06000034
0AG,E06000034
0AH,E06000034
0AJ,E06000034
0AP,E06000034
0AQ,E06000034
0AR,E06000034
0AS,E06000034
0AT,E06000034
0AU,E06000034
0AX,E06000034
0AY,E06000034
0AZ,E06000034
0BA,E06000034
0BB,E06000034
0BD,E06000034
0BE,E06000034
0BF,E06000034
0BG,E06000034
0BH,E06000034
0BJ,E06000034
0BL,E06000034
0BQ,E06000034
0BS,E06000034
0BT,E06000034
0BU,E06000034
0BX,E06000034
0BY,E06000034
0BZ,E06000034
0DA,E06000034
0DB,E06000034
0DD,E06000034
0DE,E06000034
0DF,E06000034
0DG,E06000034
0DH,E06000034
0DJ,E06000034
0DL,E06000034
0DN,E06000034
0DQ,E06000034
0DR,E06000034
0DT,E06000034
0DU,E06000034
0DW,E06000034
0DX,E06000034
0DY,E06000034
0DZ,E06000034
0EA,E06000034
0EB,E06000034
0ED,E06000034
0EE,E06000034
0EF,E06000034
0EG,E06000034
0EH,E06000034
0EJ,E06000034
0EL,E06000034
0EN,E06000034
0EP,E06000034
0EQ,E06000034
0ER,E06000034
0EU,E06000034
0EW,E06000034
0EX,E06000034
0EY,E06000034
0FA,E06000034
0FB,E06000034
0FD,E06000034
0FF,E06000034
0FG,E06000034
0FH,E06000034
0FL,E06000034
0FN,E06000034
0GG,E06000034
0GX,E06000034
0GZ,E06000034
0HA,E06000034
0HD,E06000034
0HF,E06000034
0HG,E06000034
0HH,E06000034
0HJ,E06000034
0HL,E06000034
0HP,E06000034
0HQ,E06000034
0HR,E06000034
0HS,E06000034
0HT,E06000034
0HU,E06000034
0HX,E06000034
0HY,E06000034
0HZ,E06000034
0JA,E06000034
0JD,E06000034
0JE,E06000034
0JF,E06000034
0JG,E06000034
0JH,E06000034
0JJ,E06000034
0JL,E06000034
0JN,E06000034
0JP,E06000034
0JR,E06000034
0JU,E06000034
0JW,E06000034
0JX,E06000034
0JY,E06000034
0LA,E06000034
0LB,E06000034
0LD,E06000034
0LE,E06000034
0LF,E06000034
0LG,E06000034
0LH,E06000034
0LJ,E06000034
0LL,E06000034
0LP,E06000034
0LQ,E06000034
0LR,E06000034
0LS,E06000034
0LT,E06000034
0LW,E06000034
0LX,E06000034
0LY,E06000034
0LZ,E06000034
0NA,E06000034
0NB,E06000034
0ND,E06000034
0NE,E06000034
0NF,E06000034
0NG,E06000034
0NH,E06000034
0NJ,E06000034
0NL,E06000034
0NN,E06000034
0NP,E06000034
0NR,E06000034
0NS,E06000034
0NT,E06000034
0NU,E06000034
0NW,E06000034
0NX,E06000034
0NY,E06000034
0NZ,E06000034
0PA,E06000034
0PB,E06000034
0PD,E06000034
0PE,E06000034
0PF,E06000034
0PG,E06000034
0PH,E06000034
0PJ,E06000034
0PL,E06000034
0PN,E06000034
0PP,E06000034
0PQ,E06000034
0PR,E06000034
0PT,E06000034
0PU,E06000034
0PW,E06000034
0PY,E06000034
0PZ,E06000034
0QA,E06000034
0QB,E06000034
0QD,E06000034
0QE,E06000034
0QF,E06000034
0QG,E06000034
0QH,E06000034
0QJ,E06000034
0QL,E06000034
0QN,E06000034
0QP,E06000034
0QQ,E06000034
0QR,E06000034
0QS,E06000034
0QT,E06000034
0QU,E06000034
0QW,E06000034
0QX,E06000034
0QY,E06000034
0QZ,E06000034
0RA,E06000034
0RB,E06000034
0RD,E06000034
0RE,E06000034
0RF,E06000034
0RG,E06000034
0RH,E06000034
0RN,E06000034
0RP,E06000034
0RQ,E06000034
0RR,E06000034
0RS,E06000034
0RT,E06000034
0RW,E06000034
0SA,E06000034
0SH,E06000034
0SJ,E06000034
0SL,E06000034
0SS,E06000034
0WF,E06000034
0WS,E06000034
1AA,E06000034
1AG,E06000034
1AN,E06000034
1AP,E06000034
1AQ,E06000034
1AR,E06000034
7AA,E06000034
7AB,E06000034
7AG,E06000034
7AH,E06000034
7AJ,E06000034
7AL,E06000034
7AN,E06000034
7AQ,E06000034
7AS,E06000034
7AT,E06000034
7AU,E06000034
7AW,E06000034
7AX,E06000034
7AY,E06000034
7AZ,E06000034
7BA,E06000034
7BB,E06000034
7BD,E06000034
7BE,E06000034
7BG,E06000034
7BL,E06000034
7BN,E06000034
7BP,E06000034
7BQ,E06000034
7BS,E06000034
7BT,E06000034
7BU,E06000034
7BW,E06000034
7BX,E06000034
7BY,E06000034
7BZ,E06000034
7DA,E06000034
7DB,E06000034
7DD,E06000034
7DE,E06000034
7DF,E06000034
7DG,E06000034
7DH,E06000034
7DJ,E06000034
7DL,E06000034
7DN,E06000034
7DP,E06000034
7DQ,E06000034
7DR,E06000034
7DS,E06000034
7DT,E06000034
7DU,E06000034
7DW,E06000034
7DX,E06000034
7DY,E06000034
7DZ,E06000034
7EA,E06000034
7EB,E06000034
7ED,E06000034
7EE,E06000034
7EF,E06000034
7EG,E06000034
7EH,E06000034
7EJ,E06000034
7EL,E06000034
7EN,E06000034
7EP,E06000034
7EQ,E06000034
7ER,E06000034
7ES,E06000034
7EW,E06000034
7EY,E06000034
7EZ,E06000034
7HA,E06000034
7HB,E06000034
7HD,E06000034
7HE,E06000034
7HF,E06000034
7HG,E06000034
7HH,E06000034
7HN,E06000034
7HP,E06000034
7HQ,E06000034
7HR,E06000034
7HS,E06000034
7HT,E06000034
7HU,E06000034
7HW,E06000034
7HX,E06000034
7HY,E06000034
7HZ,E06000034
7JA,E06000034
7JB,E06000034
7JD,E06000034
7JE,E06000034
7JF,E06000034
7JG,E06000034
7JN,E06000034
7JP,E06000034
7JR,E06000034
7JS,E06000034
7JT,E06000034
7JU,E06000034
7JW,E06000034
7JX,E06000034
7JY,E06000034
7JZ,E06000034
7LA,E06000034
7LB,E06000034
7LD,E06000034
7LE,E06000034
7LF,E06000034
7LH,E06000034
7LJ,E06000034
7LL,E06000034
7LP,E06000034
7LS,E06000034
7LU,E06000034
7LW,E06000034
7LY,E06000034
7LZ,E06000034
7NA,E06000034
7NB,E06000034
7NG,E06000034
7NH,E06000034
7NJ,E06000034
7NL,E06000034
7NN,E06000034
7NP,E06000034
7NQ,E06000034
7NR,E06000034
7NS,E06000034
7NT,E06000034
7NU,E06000034
7NX,E06000034
7NY,E06000034
7NZ,E06000034
7PA,E06000034
7PB,E06000034
7PD,E06000034
7PE,E06000034
7PG,E06000034
7PH,E06000034
7PJ,E06000034
7PL,E06000034
7PN,E06000034
7PP,E06000034
7PQ,E06000034
7PU,E06000034
7PW,E06000034
7PX,E06000034
7PY,E06000034
7PZ,E06000034
7QA,E06000034
7QB,E06000034
7QD,E06000034
7QE,E06000034
7QF,E06000034
7QG,E06000034
7QH,E06000034
7QJ,E06000034
7QL,E06000034
7QN,E06000034
7QP,E06000034
7QQ,E06000034
7QR,E06000034
7QS,E06000034
7QT,E06000034
7QU,E06000034
7QW,E06000034
7QX,E06000034
7QY,E06000034
7QZ,E06000034
7RA,E06000034
7RB,E06000034
7RD,E06000034
7RF,E06000034
7RG,E06000034
7RH,E06000034
7RJ,E06000034
7RL,E06000034
7RN,E06000034
7RQ,E06000034
7RR,E06000034
7RS,E06000034
7RT,E06000034
7RU,E06000034
7RX,E06000034
7RY,E06000034
7RZ,E06000034
7SA,E06000034
7SB,E06000034
7SD,E06000034
7SE,E06000034
7SF,E06000034
7SG,E06000034
7SH,E06000034
7SJ,E06000034
7SL,E06000034
7SN,E06000034
7SP,E06000034
7SQ,E06000034
7SR,E06000034
7SS,E06000034
7ST,E06000034
7SU,E06000034
7SW,E06000034
7SX,E06000034
7SY,E06000034
7SZ,E06000034
7TA,E06000034
7TB,E06000034
7TD,E06000034
7TE,E06000034
7TF,E06000034
7TG,E06000034
7TH,E06000034
7TJ,E06000034
7TP,E06000034
