"pc","ca"
0AA,E09000007
0AB,E09000007
0AF,E09000007
0AG,E09000007
0AH,E09000007
0AJ,E09000007
0AL,E09000007
0AN,E09000007
0AP,E09000007
0AQ,E09000007
0AR,E09000007
0AT,E09000007
0AW,E09000007
0AX,E09000007
0AY,E09000007
0BS,E09000007
0BT,E09000007
0BW,E09000007
0BX,E09000007
0DB,E09000007
0DG,E09000007
0DH,E09000007
0DP,E09000007
0DS,E09000007
0EA,E09000007
0EB,E09000007
0EF,E09000007
0EH,E09000007
0HA,E09000007
0HB,E09000007
0HD,E09000007
0HF,E09000007
0HJ,E09000007
0HL,E09000007
0HP,E09000007
0HQ,E09000007
0HT,E09000007
0HW,E09000007
0HX,E09000007
0JE,E09000007
0JH,E09000007
0JJ,E09000007
0JL,E09000007
0JR,E09000007
0JW,E09000007
0JX,E09000007
0JZ,E09000007
0LH,E09000007
0LL,E09000007
0LN,E09000007
0LP,E09000007
0LQ,E09000007
0LR,E09000007
0LS,E09000007
0LW,E09000007
0ND,E09000007
0NF,E09000007
0NG,E09000007
0NH,E09000007
0NJ,E09000007
0NL,E09000007
0NN,E09000007
0NR,E09000007
0NS,E09000007
0NT,E09000007
0NU,E09000007
0PD,E09000007
0PJ,E09000007
0PN,E09000007
0PP,E09000007
0PQ,E09000007
0PW,E09000007
0PY,E09000007
0QZ,E09000019
0XB,E09000019
0XG,E09000007
8AA,E09000007
8AB,E09000007
8AG,E09000007
8AH,E09000007
8AL,E09000007
8AP,E09000007
8AQ,E09000007
8AS,E09000007
8AT,E09000007
8BA,E09000007
8BB,E09000007
8BD,E09000007
8BG,E09000007
8BH,E09000007
8BJ,E09000007
8BL,E09000007
8BP,E09000007
8BS,E09000007
8BU,E09000007
8BW,E09000007
8BZ,E09000007
8DB,E09000007
8DD,E09000007
8DF,E09000007
8DG,E09000007
8DN,E09000007
8DR,E09000007
8DT,E09000007
8DU,E09000007
8DY,E09000007
8EA,E09000007
8EB,E09000007
8EE,E09000007
8EF,E09000007
8EG,E09000007
8EJ,E09000007
8EN,E09000007
8EP,E09000007
8ER,E09000007
8ET,E09000007
8EU,E09000007
8EW,E09000007
8EZ,E09000007
8HA,E09000007
8HB,E09000007
8HG,E09000007
8HH,E09000007
8HJ,E09000007
8HL,E09000007
8HP,E09000007
8HS,E09000007
8HW,E09000007
8HX,E09000007
8HZ,E09000007
8JA,E09000007
8JD,E09000007
8JF,E09000007
8JG,E09000007
8JH,E09000007
8JJ,E09000007
8JL,E09000007
8JN,E09000007
8JP,E09000007
8JS,E09000007
8JU,E09000007
8JW,E09000007
8JX,E09000007
8JZ,E09000007
8LA,E09000007
8LB,E09000007
8LD,E09000007
8LF,E09000007
8LG,E09000007
8LH,E09000007
8LJ,E09000007
8LP,E09000007
8LR,E09000007
8LS,E09000007
8ND,E09000007
8NH,E09000007
8NJ,E09000007
8NN,E09000007
8NP,E09000007
8WN,E09000019
9AA,E09000007
9AB,E09000007
9AD,E09000007
9AH,E09000007
9AL,E09000007
9AP,E09000007
9AQ,E09000007
9AR,E09000007
9AS,E09000007
9AT,E09000007
9AU,E09000007
9AW,E09000007
9AX,E09000007
9AZ,E09000007
9BB,E09000007
9BD,E09000007
9BE,E09000007
9BF,E09000007
9BG,E09000019
9BL,E09000007
9BP,E09000019
9BQ,E09000007
9BT,E09000007
9BY,E09000007
9DB,E09000007
9DJ,E09000007
9DL,E09000007
9DP,E09000007
9DQ,E09000007
9DR,E09000007
9DS,E09000007
9DT,E09000007
9DU,E09000007
9DW,E09000007
9DX,E09000007
9DZ,E09000007
9EG,E09000007
9EH,E09000007
9EL,E09000007
9EP,E09000007
9ER,E09000007
9ES,E09000007
9EU,E09000007
9EW,E09000007
9EX,E09000007
9EZ,E09000007
9GA,E09000007
9GB,E09000007
9GD,E09000007
9GE,E09000007
9GF,E09000007
9GG,E09000007
9GH,E09000007
9GJ,E09000007
9GL,E09000007
9GN,E09000007
9GP,E09000007
9GQ,E09000007
9GR,E09000007
9GS,E09000007
9GT,E09000007
9GU,E09000007
9GW,E09000007
9GX,E09000007
9HB,E09000007
9HD,E09000007
9HE,E09000007
9HF,E09000007
9HG,E09000007
9HH,E09000007
9HQ,E09000007
9HR,E09000007
9HU,E09000007
9HW,E09000007
9HX,E09000007
9JA,E09000007
9JB,E09000007
9JE,E09000007
9JF,E09000007
9JG,E09000007
9JH,E09000007
9JJ,E09000007
9JP,E09000007
9JR,E09000007
9JZ,E09000007
9LG,E09000007
9LN,E09000007
9LP,E09000007
9LQ,E09000007
9LS,E09000007
9LT,E09000007
9LU,E09000007
9LZ,E09000007
9NA,E09000007
9NE,E09000007
9NP,E09000007
9NS,E09000007
9NT,E09000007
9NU,E09000007
9NX,E09000007
9PA,E09000007
9PB,E09000007
9PD,E09000007
9PE,E09000007
9PF,E09000007
9PG,E09000007
9PJ,E09000007
9PL,E09000007
9PN,E09000007
9PP,E09000007
9PR,E09000007
9PT,E09000007
9PU,E09000007
9PW,E09000007
9PX,E09000007
9PY,E09000007
9PZ,E09000007
9QA,E09000007
9QD,E09000007
9QE,E09000007
9QG,E09000007
9QH,E09000007
9QL,E09000007
9QP,E09000007
9QR,E09000007
9QS,E09000007
9QT,E09000007
9QU,E09000007
9QW,E09000007
9QX,E09000007
9QZ,E09000007
9RA,E09000007
9RD,E09000007
9RE,E09000007
9RF,E09000007
9RG,E09000007
9RH,E09000007
9RL,E09000007
9RN,E09000007
9RS,E09000007
9RT,E09000007
9RU,E09000007
9RW,E09000007
9RX,E09000007
9RZ,E09000007
9SA,E09000007
9SE,E09000007
9SF,E09000007
9SH,E09000007
9SN,E09000007
9SP,E09000007
9SR,E09000007
9SZ,E09000007
9TB,E09000019
9TE,E09000019
9TG,E09000019
9TW,E09000007
9WH,E09000019
9WP,E09000019
9WS,E09000019
9WZ,E09000019
9XA,E09000019
9XX,E09000007
9XY,E09000007
9XZ,E09000007
9YQ,E09000019
9ZD,E09000007
