"pc","ca"
0AA,E07000196
0AB,E07000196
0AD,E07000196
0AE,E07000196
0AG,E07000196
0AH,E07000196
0AJ,E07000196
0AL,E07000196
0AN,E07000196
0AP,E07000196
0AQ,E07000196
0AR,E07000196
0AS,E07000196
0AT,E07000196
0AU,E07000196
0AW,E07000196
0AX,E07000196
0AY,E07000196
0AZ,E07000196
0BA,E07000196
0BB,E07000196
0BD,E07000196
0BE,E07000196
0BG,E07000196
0BH,E07000196
0BJ,E07000196
0BL,E07000196
0BN,E07000196
0BP,E07000196
0BQ,E07000196
0BS,E07000196
0BT,E07000196
0BU,E07000196
0BW,E07000196
0BX,E07000196
0BY,E07000196
0BZ,E07000196
0DA,E07000196
0DB,E07000196
0DD,E07000196
0DE,E07000196
0DF,E07000196
0DG,E07000196
0DH,E07000196
0DJ,E07000196
0DL,E07000196
0DN,E07000196
0DP,E07000196
0DQ,E07000196
0DR,E07000196
0DS,E07000196
0DT,E07000196
0DU,E07000196
0DW,E07000196
0DX,E07000196
0DY,E07000196
0DZ,E07000196
0EA,E07000196
0EB,E07000196
0ED,E07000196
0EE,E07000196
0EF,E07000196
0EG,E07000196
0EH,E07000196
0EJ,E07000196
0EL,E07000196
0EN,E07000196
0EP,E07000196
0EQ,E07000196
0ER,E07000196
0ES,E07000196
0ET,E07000196
0EW,E07000196
0EY,E07000196
0EZ,E07000196
0HA,E07000196
0HB,E07000196
0HD,E07000196
0HE,E07000196
0HF,E07000196
0HG,E07000196
0HH,E07000196
0HJ,E07000196
0HL,E07000196
0HN,E07000196
0HP,E07000196
0HQ,E07000196
0HR,E07000196
0HS,E07000196
0HT,E07000196
0HU,E07000196
0HW,E07000196
0HX,E07000196
0HY,E07000196
0HZ,E07000196
0JA,E07000196
0JB,E07000196
0JD,E07000196
0JE,E07000196
0JF,E07000196
0JG,E07000196
0JH,E07000196
0JJ,E07000196
0JL,E07000196
0JN,E07000196
0JP,E07000196
0JQ,E07000196
0JR,E07000196
0JS,E07000196
0JT,E07000196
0JU,E07000196
0JW,E07000196
0JX,E07000196
0JY,E07000196
0JZ,E07000196
0LA,E07000196
0LB,E07000196
0LD,E07000196
0LE,E07000196
0LF,E07000196
0LG,E07000196
0LH,E07000196
0LJ,E07000196
0LN,E07000196
0LP,E07000196
0LQ,E07000196
0LR,E07000196
0LS,E07000196
0LT,E07000196
0LU,E07000196
0LW,E07000196
0LX,E07000196
0LY,E07000196
0LZ,E07000196
0NA,E07000196
0NB,E07000196
0ND,E07000196
0NE,E07000196
0NF,E07000196
0NG,E07000196
0NH,E07000196
0NJ,E07000196
0NL,E07000196
0NN,E07000196
0NP,E07000196
0NQ,E07000196
0NW,E07000196
0PA,E07000196
0PB,E07000196
0PS,E07000196
0PZ,E07000196
0QZ,E07000196
0WX,E07000196
0YN,E07000196
5AD,E07000196
5AH,E07000196
5AW,E07000196
5AX,E07000196
7AA,E06000051
7AD,E06000051
7AE,E06000051
7AF,E06000051
7AG,E06000051
7AH,E06000051
7AJ,E06000051
7AL,E06000051
7AN,E06000051
7AP,E06000051
7AQ,E06000051
7AR,E06000051
7AS,E06000051
7AT,E06000051
7AU,E06000051
7AW,E06000051
7AX,E06000051
7AY,E06000051
7BB,E06000051
7BD,E06000051
7BE,E06000051
7BG,E06000051
7BH,E06000051
7BJ,E06000051
7BL,E06000051
7BN,E06000051
7BP,E06000051
7BQ,E06000051
7BS,E06000051
7BT,E06000051
7BW,E06000051
7BY,E06000051
7DA,E06000051
7DD,E06000051
7DE,E06000051
7DF,E06000051
7DG,E06000051
7DH,E06000051
7DJ,E06000051
7DP,E06000051
7DQ,E06000051
7DR,E06000051
7DS,E06000051
7DT,E06000051
7DU,E06000051
7DW,E06000051
7DX,E06000051
7DY,E06000051
7DZ,E06000051
7EA,E06000051
7EB,E06000051
7ED,E06000051
7EE,E06000051
7EF,E07000196
7EG,E07000196
7EH,E06000051
7EJ,E07000196
7EL,E07000196
7EN,E07000196
7EP,E07000196
7ER,E07000196
7ES,E07000196
7ET,E07000196
7EU,E07000196
7EX,E07000196
7EY,E07000196
7EZ,E07000196
7HA,E07000196
7HD,E07000196
7HE,E07000196
7HF,E07000196
7HG,E07000196
7HN,E07000196
7HP,E07000196
7HQ,E07000196
7HR,E07000196
7HS,E07000196
7HT,E07000196
7HW,E07000196
7JA,E07000196
7JB,E07000196
7JD,E07000196
7JE,E07000196
7JF,E07000196
7JJ,E07000196
7JQ,E07000196
7WY,E07000196
8AB,E07000196
8AD,E07000196
8AE,E07000196
8AF,E07000196
8AG,E07000196
8AH,E07000196
8AJ,E07000196
8AL,E07000196
