"pc","ca"
0AA,N06000006
0AB,N06000006
0AE,N06000006
0AG,N06000006
0AH,N06000006
0AJ,N06000006
0AL,N06000006
0AN,N06000006
0AP,N06000006
0AQ,N06000006
0AR,N06000006
0AS,N06000006
0AT,N06000006
0AU,N06000006
0AW,N06000006
0AX,N06000006
0AY,N06000006
0AZ,N06000006
0BB,N06000006
0BD,N06000006
0BE,N06000006
0BF,N06000006
0BG,N06000006
0BH,N06000006
0BJ,N06000006
0BL,N06000006
0BN,N06000006
0BP,N06000006
0BQ,N06000006
0BS,N06000006
0BT,N06000006
0BU,N06000006
0BW,N06000006
0BX,N06000006
0BY,N06000006
0BZ,N06000006
0DA,N06000006
0DB,N06000006
0DE,N06000006
0DF,N06000006
0DG,N06000006
0DH,N06000006
0DJ,N06000006
0DL,N06000006
0DN,N06000006
0DP,N06000006
0DQ,N06000006
0DR,N06000006
0DS,N06000006
0DT,N06000006
0DU,N06000006
0DW,N06000006
0DX,N06000006
0DY,N06000006
0DZ,N06000006
0EA,N06000006
0EB,N06000006
0ED,N06000006
0EE,N06000006
0EF,N06000006
0EG,N06000006
0EH,N06000006
0EJ,N06000006
0EL,N06000006
0EN,N06000006
0EP,N06000006
0EQ,N06000006
0ET,N06000006
0EU,N06000006
0EX,N06000006
0EY,N06000006
0FA,N06000006
0FB,N06000006
0FG,N06000006
0FH,N06000006
0FJ,N06000006
0FL,N06000006
0GA,N06000006
0GB,N06000006
0GD,N06000006
0GE,N06000006
0GF,N06000006
0GG,N06000006
0GH,N06000006
0GS,N06000006
0GT,N06000006
0GU,N06000006
0HA,N06000006
0HB,N06000006
0HE,N06000006
0HF,N06000006
0HG,N06000006
0HN,N06000006
0HP,N06000006
0HQ,N06000006
0HR,N06000006
0HS,N06000006
0HT,N06000006
0HU,N06000006
0HX,N06000006
0HY,N06000006
0HZ,N06000006
0JA,N06000006
0JB,N06000006
0JD,N06000006
0JE,N06000006
0JF,N06000006
0JG,N06000006
0JH,N06000006
0JJ,N06000006
0JN,N06000006
0JQ,N06000006
0JR,N06000006
0JT,N06000006
