"pc","ca"
0AH,E14000617
0AN,E14000617
0AP,E14000617
0BD,E14000617
0BX,E14000617
0FY,E14000617
0GJ,E14000617
0GL,E14000617
0GN,E14000617
0GR,E14000617
0GT,E14000617
0GX,E14000617
0HU,E14000617
0JH,E14000617
0JP,E14000617
0JS,E14000617
0JU,E14000617
0LD,E14000617
0LJ,E14000617
0LL,E14000617
0NB,E14000617
0PG,E14000617
0PL,E14000617
0QF,E14000617
0QX,E14000617
0QY,E14000617
0RL,E14000617
0RP,E14000617
0RW,E14000617
0SA,E14000617
0SB,E14000617
0SD,E14000617
0SE,E14000617
0SF,E14000617
0SG,E14000617
0SH,E14000617
0SJ,E14000617
0SL,E14000617
0SN,E14000934
0SP,E14000617
0SQ,E14000617
0SR,E14000617
0SS,E14000617
0ST,E14000617
0SU,E14000617
0SW,E14000934
0SX,E14000934
0SY,E14000934
0SZ,E14000934
0TA,E14000934
0TB,E14000934
0TD,E14000934
0TE,E14000934
0TF,E14000934
0TG,E14000934
0TH,E14000934
0TJ,E14000934
0TL,E14000934
0TN,E14000934
0TP,E14000934
0TQ,E14000934
0TR,E14000934
0TS,E14000934
0TT,E14000934
0TU,E14000934
0TW,E14000934
0TX,E14000934
0TY,E14000934
0TZ,E14000934
0UA,E14000934
0UB,E14000934
0UD,E14000934
0UE,E14000934
0UF,E14000934
0UG,E14000934
0UH,E14000934
0UJ,E14000934
0UL,E14000934
0UN,E14000934
0UQ,E14000617
0UR,E14000617
0UU,E14000617
0UW,E14000617
0UY,E14000617
0UZ,E14000617
0WB,E14000617
0WF,E14000617
0WJ,E14000617
0WL,E14000617
0WQ,E14000617
0WR,E14000617
0WS,E14000617
0WW,E14000617
0XD,E14000617
0XH,E14000617
0XN,E14000617
0XT,E14000617
0XU,E14000617
0XX,E14000617
0YA,E14000617
0YB,E14000617
0YE,E14000617
0YG,E14000617
0YH,E14000617
0YL,E14000617
0YN,E14000617
0YP,E14000617
0YQ,E14000617
0YS,E14000617
0YT,E14000617
0YY,E14000617
0YZ,E14000617
0ZA,E14000617
0ZY,E14000617
0ZZ,E14000617
1AH,E14000617
1AJ,E14000617
1AL,E14000617
1AN,E14000617
1AP,E14000617
1AQ,E14000617
1AZ,E14000617
1BA,E14000617
1BB,E14000617
1BD,E14000617
1BG,E14000617
1BH,E14000617
1BL,E14000617
1BN,E14000617
1BP,E14000617
1BS,E14000617
1BT,E14000617
1BU,E14000617
1BW,E14000617
1BX,E14000617
1BY,E14000617
1DB,E14000617
