"pc","ca"
0AA,S14000028
0AB,S14000043
0AD,S14000043
0AE,S14000043
0AF,S14000043
0AG,S14000043
0AH,S14000043
0AJ,S14000043
0AL,S14000043
0AN,S14000043
0AP,S14000043
0AQ,S14000043
0AR,S14000043
0AS,S14000043
0AT,S14000043
0AU,S14000043
0AW,S14000043
0AX,S14000043
0AY,S14000043
0AZ,S14000043
0BA,S14000043
0BB,S14000043
0BD,S14000043
0BE,S14000043
0BF,S14000043
0BG,S14000043
0BH,S14000043
0BJ,S14000043
0BL,S14000043
0BN,S14000043
0BP,S14000043
0BQ,S14000043
0BS,S14000043
0BT,S14000043
0BU,S14000043
0BX,S14000043
0BY,S14000043
0BZ,S14000043
0DA,S14000043
0DB,S14000043
0DD,S14000043
0DE,S14000043
0DF,S14000043
0DG,S14000043
0DH,S14000043
0DJ,S14000043
0DL,S14000043
0DN,S14000043
0DP,S14000043
0DQ,S14000043
0DR,S14000043
0DS,S14000043
0DT,S14000043
0DU,S14000043
0DW,S14000043
0DX,S14000043
0DY,S14000043
0DZ,S14000043
0EA,S14000043
0EB,S14000043
0ED,S14000043
0EE,S14000043
0EF,S14000043
0EG,S14000043
0EJ,S14000043
0EL,S14000043
0EN,S14000043
0EQ,S14000043
0ER,S14000043
0ES,S14000043
0ET,S14000043
0EU,S14000043
0EW,S14000028
0EX,S14000043
0EY,S14000043
0EZ,S14000028
0FA,S14000043
0FB,S14000043
0FD,S14000043
0FE,S14000028
0FF,S14000043
0FG,S14000028
0FH,S14000028
0FJ,S14000028
0FL,S14000043
0FN,S14000043
0FP,S14000043
0FQ,S14000043
0FR,S14000043
0FS,S14000043
0FT,S14000043
0FW,S14000043
0FX,S14000028
0FY,S14000043
0FZ,S14000043
0GA,S14000043
0GB,S14000043
0GD,S14000043
0GE,S14000043
0GF,S14000043
0GG,S14000043
0GH,S14000028
0GJ,S14000043
0GL,S14000043
0GN,S14000043
0GP,S14000043
0GQ,S14000028
0GR,S14000043
0GS,S14000043
0GT,S14000043
0GU,S14000028
0GW,S14000043
0GX,S14000043
0GY,S14000043
0GZ,S14000043
0HA,S14000028
0HB,S14000028
0HD,S14000028
0HE,S14000043
0HF,S14000043
0HG,S14000028
0HH,S14000043
0HJ,S14000043
0HL,S14000043
0HN,S14000043
0HP,S14000043
0HQ,S14000043
0HR,S14000043
0HS,S14000043
0HT,S14000043
0HU,S14000043
0HW,S14000043
0HX,S14000028
0HY,S14000043
0HZ,S14000028
0JA,S14000043
0JB,S14000043
0JD,S14000043
0JE,S14000043
0JF,S14000043
0JG,S14000043
0JH,S14000043
0JJ,S14000043
0JL,S14000028
0JN,S14000043
0JP,S14000043
0JQ,S14000028
0JR,S14000043
0JS,S14000028
0JT,S14000028
0JW,S14000028
0JX,S14000028
0JY,S14000028
0JZ,S14000028
0LA,S14000043
0LB,S14000043
0LD,S14000028
0LE,S14000043
0LF,S14000043
0LG,S14000043
0LH,S14000043
0LJ,S14000043
0LL,S14000043
0LN,S14000043
0LP,S14000043
0LQ,S14000043
0LR,S14000043
0LS,S14000043
0LU,S14000043
0LW,S14000043
0LX,S14000043
0LY,S14000043
0LZ,S14000043
0NA,S14000043
0NB,S14000043
0ND,S14000043
0NE,S14000043
0NF,S14000043
0NG,S14000043
0NH,S14000043
0NJ,S14000043
0NL,S14000043
0NN,S14000043
0NP,S14000043
0NQ,S14000043
0NR,S14000043
0NS,S14000043
0NT,S14000043
0NU,S14000043
0NW,S14000043
0NX,S14000028
0NY,S14000043
0NZ,S14000028
0PA,S14000028
0PB,S14000028
0PD,S14000028
0PE,S14000028
0PF,S14000028
0PG,S14000028
0PH,S14000028
0PJ,S14000028
0PL,S14000028
0PN,S14000028
0PP,S14000028
0PQ,S14000028
0PR,S14000028
0PS,S14000028
0PT,S14000028
0PU,S14000028
0PW,S14000028
0PX,S14000028
0PY,S14000028
0PZ,S14000028
0QA,S14000028
0QB,S14000028
0QD,S14000028
0QE,S14000028
0QF,S14000028
0QG,S14000028
0QH,S14000028
0QJ,S14000028
0QL,S14000028
0QN,S14000028
0QP,S14000028
0QQ,S14000028
0QR,S14000028
0QS,S14000028
0QT,S14000028
0QU,S14000028
0QW,S14000028
0QX,S14000028
0QY,S14000028
0QZ,S14000028
0RA,S14000028
0RB,S14000028
0RD,S14000028
0RE,S14000028
0RF,S14000028
0RG,S14000028
0RH,S14000043
0RJ,S14000028
0RL,S14000028
0RN,S14000043
0RP,S14000043
0RQ,S14000028
0RR,S14000028
0RS,S14000043
0RT,S14000043
0RU,S14000043
0RW,S14000043
0RX,S14000043
0RY,S14000028
0RZ,S14000043
0SA,S14000043
0SB,S14000043
0SD,S14000043
0SE,S14000043
0SF,S14000043
0SG,S14000028
0SH,S14000028
0SL,S14000043
0SN,S14000043
0SP,S14000043
0SQ,S14000028
0SR,S14000043
0SS,S14000028
0ST,S14000043
0SU,S14000028
0SW,S14000043
0SX,S14000028
0SY,S14000028
0SZ,S14000043
0TA,S14000043
0TB,S14000028
0TD,S14000028
0TE,S14000028
0TF,S14000028
0TG,S14000028
0TH,S14000028
0TJ,S14000028
0TL,S14000028
0TN,S14000028
0TP,S14000043
0TQ,S14000028
0TR,S14000043
0TS,S14000043
0TT,S14000043
0TW,S14000028
0TX,S14000028
0TY,S14000028
0TZ,S14000028
0UA,S14000028
0UB,S14000028
0UD,S14000028
0UE,S14000028
0UF,S14000028
0UG,S14000028
0UH,S14000028
0UJ,S14000028
0UL,S14000028
0UN,S14000028
0UP,S14000028
0UQ,S14000028
0UR,S14000028
0US,S14000043
0UT,S14000028
0UU,S14000028
0UW,S14000028
0UX,S14000028
0UY,S14000028
0UZ,S14000028
0WA,S14000028
0WF,S14000043
0WR,S14000028
0XA,S14000028
0XB,S14000028
0XD,S14000028
0XE,S14000028
0XF,S14000028
0XG,S14000028
0XH,S14000028
0XJ,S14000028
0XL,S14000028
0XN,S14000028
0XQ,S14000028
0XR,S14000028
0XS,S14000028
0XT,S14000028
0XU,S14000028
0XX,S14000028
0XY,S14000028
0XZ,S14000028
0YA,S14000028
0YB,S14000028
0YD,S14000028
0YE,S14000043
0YF,S14000028
0YG,S14000028
0YH,S14000028
0YJ,S14000028
0YL,S14000028
0YN,S14000028
0YP,S14000043
0YQ,S14000028
0YR,S14000043
0YS,S14000028
0YT,S14000028
0YU,S14000028
0YW,S14000028
0YX,S14000028
0YY,S14000028
0ZE,S14000028
0ZL,S14000043
0ZQ,S14000043
0ZX,S14000043
0ZZ,S14000043
7AA,S14000028
7AB,S14000028
7AD,S14000028
7AE,S14000028
7AF,S14000028
7AG,S14000028
7AH,S14000028
7AJ,S14000028
7AL,S14000028
7AQ,S14000028
7AR,S14000028
7AS,S14000028
7AT,S14000028
7AU,S14000028
7AW,S14000028
7AX,S14000028
7AY,S14000028
7AZ,S14000028
7BA,S14000028
7BB,S14000028
7BE,S14000028
7BH,S14000028
7BJ,S14000028
7BL,S14000028
7BN,S14000028
7BQ,S14000028
7BS,S14000028
7BT,S14000028
7BU,S14000028
