"pc","ca"
8AA,S14000040
8AB,S14000040
8AE,S14000040
8AF,S14000040
8AL,S14000040
8AN,S14000040
8AP,S14000040
8AQ,S14000040
8AR,S14000040
8AS,S14000040
8AT,S14000040
8AU,S14000040
8AW,S14000040
8AX,S14000040
8AY,S14000040
8AZ,S14000040
8BA,S14000040
8BB,S14000040
8BD,S14000040
8BE,S14000040
8BG,S14000040
8BH,S14000040
8BJ,S14000040
8BL,S14000040
8BN,S14000040
8BP,S14000040
8BQ,S14000040
8BS,S14000040
8BT,S14000040
8BU,S14000040
8BW,S14000040
8BX,S14000040
8BY,S14000040
8BZ,S14000040
8DA,S14000040
8DB,S14000040
8DD,S14000040
8DE,S14000040
8DF,S14000040
8DG,S14000040
8DH,S14000040
8DJ,S14000040
8DN,S14000040
8DP,S14000040
8DQ,S14000040
8DR,S14000040
8DS,S14000040
8DT,S14000040
8DU,S14000040
8DW,S14000040
8DX,S14000040
8DY,S14000040
8DZ,S14000040
8EA,S14000040
8EB,S14000040
8ED,S14000040
8EE,S14000040
8EF,S14000040
8EG,S14000040
8EH,S14000040
8EJ,S14000040
8EL,S14000040
8EN,S14000040
8EP,S14000040
8EQ,S14000040
8ER,S14000040
8ES,S14000040
8ET,S14000040
8EU,S14000040
8EW,S14000040
8EX,S14000040
8EY,S14000040
8EZ,S14000040
8FA,S14000040
8GZ,S14000040
8HA,S14000040
8HD,S14000040
8HE,S14000040
8HF,S14000040
8HG,S14000040
8HH,S14000040
8HJ,S14000040
8HL,S14000040
8HN,S14000040
8HP,S14000040
8HQ,S14000040
8HR,S14000040
8HS,S14000040
8HT,S14000040
8HU,S14000040
8HW,S14000040
8HX,S14000040
8HY,S14000040
8HZ,S14000040
8JA,S14000040
8JB,S14000040
8JD,S14000040
8JE,S14000040
8JF,S14000040
8JG,S14000040
8JH,S14000040
8JJ,S14000040
8JL,S14000040
8JN,S14000040
8JP,S14000040
8JQ,S14000040
8JR,S14000040
8JS,S14000040
8JT,S14000040
8JU,S14000040
8JW,S14000040
8JX,S14000040
8JY,S14000040
8JZ,S14000040
8LB,S14000040
8LD,S14000040
8LE,S14000040
8LF,S14000040
8LG,S14000040
8LH,S14000040
8LJ,S14000040
8LL,S14000040
8LN,S14000040
8LP,S14000040
8LQ,S14000040
8LR,S14000040
8LS,S14000040
8LT,S14000040
8LU,S14000040
8LW,S14000040
8LX,S14000040
8LY,S14000040
8LZ,S14000040
8NA,S14000040
8NB,S14000040
8ND,S14000040
8NE,S14000040
8NF,S14000040
8NG,S14000040
8NH,S14000040
8NJ,S14000040
8NL,S14000040
8NN,S14000040
8NP,S14000040
8NQ,S14000040
8NT,S14000040
8NU,S14000040
8NW,S14000040
8PA,S14000040
8PB,S14000040
8PD,S14000040
8PE,S14000040
8PF,S14000040
8PG,S14000040
8PH,S14000040
8PJ,S14000040
8PL,S14000040
8PN,S14000040
8PP,S14000040
8PQ,S14000040
8PR,S14000040
8PS,S14000040
8PT,S14000040
8PU,S14000040
8PW,S14000040
8QA,S14000040
8QB,S14000040
8QD,S14000040
8QE,S14000040
8QF,S14000040
