"pc","ca"
0AA,S14000036
0AB,S14000036
0AD,S14000036
0AE,S14000036
0AG,S14000036
0AH,S14000036
0AJ,S14000036
0AL,S14000036
0AN,S14000036
0AQ,S14000036
0AR,S14000036
0AS,S14000036
0AU,S14000036
0AW,S14000036
0AX,S14000041
0AY,S14000036
0BH,S14000036
0BJ,S14000036
0BL,S14000036
0BN,S14000036
0BP,S14000036
0BQ,S14000036
0BS,S14000036
0BU,S14000036
0BW,S14000036
0BX,S14000036
0BY,S14000036
0BZ,S14000036
0DA,S14000036
0DB,S14000036
0DD,S14000036
0DE,S14000036
0DF,S14000036
0DG,S14000036
0DH,S14000036
0DJ,S14000036
0DL,S14000036
0DN,S14000036
0DQ,S14000036
0DR,S14000036
0DS,S14000036
0EA,S14000036
0EB,S14000036
0ED,S14000036
0EE,S14000036
0EF,S14000036
0EG,S14000036
0EH,S14000036
0EL,S14000036
0EN,S14000036
0EP,S14000036
0EQ,S14000036
0EW,S14000036
0HA,S14000036
0HB,S14000036
0HD,S14000036
0HF,S14000036
0HG,S14000036
0HH,S14000050
0HJ,S14000050
0HP,S14000036
0HQ,S14000036
0HR,S14000036
0JD,S14000036
0JE,S14000036
0JF,S14000036
0JG,S14000036
0JH,S14000036
0JJ,S14000036
0JL,S14000036
0JN,S14000036
0JP,S14000036
0JQ,S14000036
0JR,S14000036
0JS,S14000036
0JT,S14000036
0JU,S14000036
0JW,S14000036
0JX,S14000036
0JY,S14000036
0JZ,S14000036
0LA,S14000036
0LB,S14000036
0LF,S14000036
0LG,S14000036
0LS,S14000036
0LT,S14000036
0LU,S14000036
0LX,S14000036
0LY,S14000036
0LZ,S14000036
0NA,S14000036
0NB,S14000036
0ND,S14000036
0NE,S14000036
0NF,S14000036
0NG,S14000036
0NH,S14000036
0NJ,S14000036
0NL,S14000036
0NN,S14000036
0NP,S14000036
0NQ,S14000036
0NR,S14000036
0NS,S14000036
0NT,S14000036
0NU,S14000036
0NW,S14000036
0PA,S14000036
0PB,S14000036
0PD,S14000036
0PE,S14000036
0PF,S14000036
0PG,S14000036
0PH,S14000036
0PJ,S14000036
0PL,S14000036
0PQ,S14000036
0PT,S14000036
0QA,S14000036
0QB,S14000036
0QD,S14000036
0QE,S14000036
0QF,S14000036
0UA,S14000036
0UB,S14000036
0UD,S14000036
0UE,S14000036
0UG,S14000036
0UH,S14000036
0UJ,S14000036
0UL,S14000036
0UN,S14000036
0UP,S14000036
0UQ,S14000036
0UW,S14000036
0UX,S14000036
0XA,S14000036
0XB,S14000036
0XD,S14000036
0XE,S14000036
0XF,S14000036
0XG,S14000036
0XH,S14000036
0XJ,S14000036
0XL,S14000036
0XN,S14000036
0XP,S14000036
0XQ,S14000036
0XR,S14000036
0XS,S14000036
0XT,S14000036
0XU,S14000036
0XW,S14000036
0XX,S14000036
0XY,S14000036
0XZ,S14000036
0YA,S14000036
0YB,S14000036
0YD,S14000036
0YE,S14000036
0YF,S14000036
0YG,S14000036
0YH,S14000036
0YJ,S14000036
0YQ,S14000036
0YU,S14000036
0YW,S14000036
0YY,S14000036
0YZ,S14000036
8AA,S14000041
8AB,S14000041
8AE,S14000041
8AF,S14000041
8AG,S14000041
8AH,S14000041
8AJ,S14000041
8AL,S14000041
8AN,S14000041
8AP,S14000041
8AQ,S14000041
8AR,S14000041
8AS,S14000041
8AT,S14000041
8AU,S14000041
8AW,S14000041
8AX,S14000041
8AY,S14000041
8AZ,S14000041
8BA,S14000041
8BB,S14000041
8BD,S14000041
8BH,S14000041
8BJ,S14000041
8BL,S14000041
8BN,S14000041
8BW,S14000041
8DA,S14000041
8DB,S14000041
8DD,S14000041
8DE,S14000041
8DP,S14000041
8DR,S14000041
8DT,S14000041
8DU,S14000041
8DX,S14000041
8DY,S14000041
8DZ,S14000041
8EA,S14000041
8EB,S14000041
8ED,S14000041
8EE,S14000041
8EF,S14000041
8EG,S14000041
8EH,S14000041
8EJ,S14000041
8EL,S14000041
8EN,S14000041
8EP,S14000041
8EQ,S14000041
8ER,S14000041
8ES,S14000041
8ET,S14000041
8EU,S14000041
8EW,S14000041
8EX,S14000041
8EY,S14000041
8EZ,S14000041
8FB,S14000041
8HA,S14000041
8HL,S14000041
8HN,S14000041
8HP,S14000041
8HS,S14000041
8HT,S14000041
8HU,S14000041
8HW,S14000041
8HX,S14000041
8HY,S14000041
8HZ,S14000041
8JA,S14000041
8JB,S14000041
8JE,S14000041
8JF,S14000041
8JG,S14000041
8JH,S14000041
8JL,S14000041
8JN,S14000041
8JP,S14000041
8JQ,S14000041
8JR,S14000041
8JS,S14000041
8JT,S14000041
8JU,S14000041
8JW,S14000041
8JX,S14000041
8LH,S14000041
8LJ,S14000041
8LL,S14000041
8LN,S14000041
8LP,S14000041
8LQ,S14000041
8LR,S14000041
8LS,S14000041
8LT,S14000041
8LU,S14000041
8LW,S14000041
8LY,S14000041
8LZ,S14000041
8NG,S14000041
8NH,S14000041
8NJ,S14000041
8NL,S14000041
8NN,S14000041
8NP,S14000041
8NQ,S14000041
8NR,S14000041
8NS,S14000041
8NT,S14000041
8NU,S14000041
8NW,S14000041
8NX,S14000041
8NY,S14000041
8NZ,S14000041
8PA,S14000041
8PB,S14000041
8PD,S14000041
8PL,S14000041
8PP,S14000041
8PR,S14000041
8PS,S14000041
8PT,S14000041
8PU,S14000041
8PX,S14000041
8PY,S14000041
8PZ,S14000041
8QA,S14000041
8QB,S14000041
8QD,S14000041
8QE,S14000041
8QF,S14000041
8QG,S14000041
8QQ,S14000041
8QR,S14000041
9AA,S14000041
9AF,S14000041
9AG,S14000041
9AH,S14000041
9AL,S14000041
9AN,S14000041
9AP,S14000041
9AQ,S14000041
9AR,S14000041
9AS,S14000041
9AT,S14000041
9AU,S14000041
9AW,S14000041
9AX,S14000041
9AY,S14000041
9AZ,S14000041
9BA,S14000041
9BB,S14000041
9BD,S14000041
9BE,S14000041
9BG,S14000041
9BH,S14000041
9BJ,S14000041
9BL,S14000041
9BP,S14000041
9BQ,S14000041
9BS,S14000041
9DA,S14000041
9DB,S14000041
9DD,S14000041
9DE,S14000041
9DF,S14000041
9DG,S14000041
9DH,S14000041
9DJ,S14000041
9DL,S14000041
9DN,S14000041
9DP,S14000041
9DQ,S14000041
9DR,S14000041
9DS,S14000041
9DT,S14000041
9DU,S14000041
9DW,S14000041
9DX,S14000041
9DY,S14000041
9DZ,S14000041
9EA,S14000041
9EB,S14000041
9ED,S14000041
9EE,S14000041
9EF,S14000041
9EG,S14000041
9EH,S14000041
9EJ,S14000041
9EL,S14000041
9EN,S14000041
9EP,S14000041
9EQ,S14000041
9ER,S14000041
9ES,S14000041
9ET,S14000041
9EU,S14000041
9EW,S14000041
9EX,S14000041
9HA,S14000041
9HB,S14000041
9HD,S14000041
9HE,S14000041
9HF,S14000041
9HG,S14000041
9HH,S14000041
9HJ,S14000041
9HP,S14000041
9HQ,S14000041
9HR,S14000041
9HS,S14000041
9HU,S14000041
9HX,S14000041
9HY,S14000041
9HZ,S14000041
9JA,S14000041
9JB,S14000041
9JD,S14000041
9JE,S14000041
9JH,S14000041
9JJ,S14000041
9JL,S14000041
9JP,S14000041
9JQ,S14000041
9JR,S14000041
9JS,S14000041
9JT,S14000041
9JU,S14000041
9JW,S14000041
9JY,S14000041
9JZ,S14000041
9LA,S14000041
9LB,S14000041
9LD,S14000041
9LE,S14000041
9LG,S14000041
9LH,S14000041
9LJ,S14000041
9LL,S14000041
9LN,S14000041
9LP,S14000041
9LQ,S14000041
9LS,S14000041
9LT,S14000041
9LW,S14000041
9LZ,S14000041
9NB,S14000041
9ND,S14000041
9NE,S14000041
9NG,S14000041
9NH,S14000041
9NJ,S14000041
9NN,S14000041
9NP,S14000041
9NR,S14000041
9NS,S14000041
9NW,S14000041
9NX,S14000041
9NY,S14000041
9NZ,S14000041
9PA,S14000041
9PB,S14000041
9PD,S14000041
9PE,S14000041
9PF,S14000041
9PG,S14000041
9PH,S14000041
9PJ,S14000041
9PL,S14000041
9PN,S14000041
9PP,S14000041
9PQ,S14000041
9PR,S14000041
9PS,S14000041
9PU,S14000041
9PW,S14000041
9PY,S14000041
9PZ,S14000041
9QA,S14000041
9QB,S14000041
9QD,S14000041
9QE,S14000041
9QG,S14000041
9QH,S14000041
9QN,S14000041
9QP,S14000041
9QQ,S14000041
9QR,S14000041
9QU,S14000041
9QW,S14000041
9QX,S14000041
9QY,S14000041
9QZ,S14000041
9RD,S14000041
9RE,S14000041
