"pc","ca"
0AA,E14000800
0AB,E14000800
0AD,E14000800
0AR,E14000800
0AS,E14000800
0AT,E14000800
0AU,E14000800
0AW,E14000800
0AX,E14000800
0AY,E14000800
0AZ,E14000800
0BH,E14000800
0BJ,E14000800
0BL,E14000800
0BN,E14000800
0BP,E14000800
0BS,E14000800
0BT,E14000800
0BU,E14000800
0BW,E14000800
0BX,E14000800
0BY,E14000800
0BZ,E14000800
0DA,E14000800
0DB,E14000800
0DD,E14000800
0DE,E14000800
0DF,E14000800
0DG,E14000800
0DH,E14000800
0DQ,E14000800
0DS,E14000800
0DT,E14000800
0DU,E14000800
0DX,E14000800
0DZ,E14000800
0EA,E14000800
0EB,E14000800
0ED,E14000800
0EE,E14000800
0EF,E14000800
0EG,E14000800
0EH,E14000800
0EJ,E14000800
0EL,E14000800
0EN,E14000800
0EP,E14000800
0EQ,E14000800
0ER,E14000800
0ES,E14000800
0ET,E14000800
0EW,E14000800
0EY,E14000800
0EZ,E14000800
0FB,E14000800
0FE,E14000800
0FF,E14000800
0FG,E14000800
0FH,E14000800
0GG,E14000800
0GQ,E14000800
0HA,E14000800
0HB,E14000800
0HD,E14000800
0HE,E14000800
0HF,E14000800
0HG,E14000800
0HH,E14000800
0HJ,E14000800
0HL,E14000800
0HN,E14000800
0HP,E14000800
0HQ,E14000800
0HR,E14000800
0HS,E14000800
0HT,E14000800
0HU,E14000800
0HW,E14000800
0HX,E14000800
0HY,E14000800
0HZ,E14000800
0JA,E14000800
0JB,E14000800
0JD,E14000800
0JE,E14000800
0JF,E14000800
0JH,E14000800
0JX,E14000800
0JY,E14000800
0LA,E14000800
0LB,E14000800
0LD,E14000800
0LE,E14000800
0LF,E14000800
0LG,E14000800
0LH,E14000800
0LJ,E14000800
0LL,E14000800
0LN,E14000800
0LP,E14000800
0LQ,E14000800
0LR,E14000800
0LS,E14000800
0LU,E14000800
0LW,E14000800
0NA,E14000800
0NB,E14000800
0ND,E14000800
0NE,E14000800
0NF,E14000800
0NG,E14000800
0NH,E14000800
0NJ,E14000800
0NL,E14000800
0NN,E14000800
0NP,E14000800
0NQ,E14000800
0NR,E14000800
0NS,E14000800
0NT,E14000800
0NU,E14000800
0NW,E14000800
0NX,E14000800
0NY,E14000800
0NZ,E14000800
0PA,E14000800
0PB,E14000800
0PE,E14000800
0PF,E14000800
0PG,E14000800
0PH,E14000800
0PJ,E14000800
0PL,E14000800
0PN,E14000800
0PP,E14000800
0PQ,E14000800
0PR,E14000800
0PS,E14000800
0PT,E14000800
0PU,E14000800
0PW,E14000800
0PX,E14000800
0PY,E14000800
0PZ,E14000800
0QA,E14000800
0QB,E14000800
0QD,E14000800
0QE,E14000800
0QH,E14000800
0QJ,E14000800
0QL,E14000800
0QN,E14000800
0QP,E14000800
0QQ,E14000800
0QR,E14000800
0QS,E14000800
0QT,E14000800
0QU,E14000800
0QW,E14000800
0QX,E14000800
0QY,E14000800
0QZ,E14000800
0RA,E14000800
0RB,E14000800
0RD,E14000800
0RE,E14000800
0RG,E14000800
0RH,E14000800
0RJ,E14000800
0RN,E14000800
0RP,E14000800
0RR,E14000800
0RS,E14000800
0RT,E14000800
0RU,E14000800
0RW,E14000800
0RX,E14000800
0RY,E14000800
0RZ,E14000800
0SA,E14000800
0SD,E14000800
0SF,E14000800
0SG,E14000800
0SH,E14000800
0SJ,E14000800
0SL,E14000800
0SN,E14000800
0SP,E14000800
0SQ,E14000800
0SR,E14000800
0SS,E14000800
0ST,E14000800
0SU,E14000800
0SW,E14000800
0SX,E14000800
0SY,E14000800
0SZ,E14000800
0TA,E14000800
0TB,E14000800
0TD,E14000800
0TE,E14000800
0TF,E14000800
0TG,E14000800
0TH,E14000800
0TJ,E14000800
0TL,E14000800
0TN,E14000800
0TP,E14000800
0TQ,E14000800
0TR,E14000800
0TS,E14000800
0TT,E14000800
0TU,E14000800
0TW,E14000800
0TX,E14000800
0TY,E14000800
0TZ,E14000800
0UA,E14000800
0UB,E14000800
0UD,E14000800
0UE,E14000800
0UF,E14000800
0UG,E14000800
0UH,E14000800
0UJ,E14000800
0UL,E14000800
0UN,E14000800
0UP,E14000800
0UQ,E14000800
