"pc","ca"
0AD,E14000807
0AE,E14000808
0AF,E14000807
0AG,E14000807
0AQ,E14000807
0AR,E14000807
0AS,E14000807
0AU,E14000807
0AX,E14000807
0AY,E14000807
0AZ,E14000807
0BA,E14000807
0BB,E14000807
0BG,E14000807
0BH,E14000807
0BN,E14000807
0BP,E14000807
0BT,E14000807
0BU,E14000807
0BY,E14000807
0BZ,E14000807
0DA,E14000807
0DB,E14000807
0DD,E14000807
0DE,E14000807
0DF,E14000807
0DG,E14000807
0DH,E14000807
0DJ,E14000807
0DL,E14000807
0DN,E14000807
0DP,E14000807
0DQ,E14000807
0DR,E14000807
0DS,E14000807
0DT,E14000807
0DX,E14000807
0DY,E14000807
0DZ,E14000807
0EA,E14000807
0EB,E14000807
0ED,E14000807
0EF,E14000807
0EG,E14000807
0EJ,E14000807
0EL,E14000807
0EN,E14000807
0EP,E14000807
0EU,E14000807
0EW,E14000807
0FB,E14000807
0FE,E14000807
0FF,E14000807
0FH,E14000807
0FJ,E14000807
0FL,E14000807
0FN,E14000807
0FR,E14000807
0FS,E14000807
0FT,E14000807
0FU,E14000807
0FW,E14000807
0FY,E14000807
0FZ,E14000807
0GB,E14000808
0GD,E14000808
0GE,E14000808
0GF,E14000808
0GH,E14000808
0GL,E14000808
0GN,E14000808
0GP,E14000808
0GQ,E14000808
0GR,E14000808
0GS,E14000808
0GT,E14000808
0GU,E14000808
0GW,E14000808
0GX,E14000808
0GY,E14000808
0GZ,E14000808
0HB,E14000807
0HL,E14000807
0HR,E14000807
0HX,E14000807
0HY,E14000807
0JA,E14000807
0JB,E14000807
0JE,E14000807
0JH,E14000807
0JN,E14000807
0JP,E14000807
0JQ,E14000807
0JR,E14000807
0JY,E14000807
0LA,E14000807
0LB,E14000807
0LE,E14000807
0LF,E14000807
0LG,E14000807
0LL,E14000807
0LN,E14000807
0LW,E14000807
0LX,E14000807
0LY,E14000808
0LZ,E14000807
0NE,E14000808
0NF,E14000808
0NG,E14000808
0NH,E14000807
0NJ,E14000808
0NL,E14000808
0NN,E14000808
0NP,E14000808
0NQ,E14000808
0NR,E14000808
0NS,E14000808
0NU,E14000808
0NW,E14000808
0NX,E14000808
0PB,E14000808
0PD,E14000808
0PE,E14000808
0PF,E14000808
0PG,E14000808
0PJ,E14000808
0PL,E14000808
0PN,E14000808
0PP,E14000808
0PQ,E14000808
0PR,E14000808
0PS,E14000808
0PT,E14000808
0PU,E14000808
0PW,E14000808
0PX,E14000808
0PY,E14000808
0PZ,E14000808
0QE,E14000808
0QF,E14000808
0QG,E14000808
0QJ,E14000808
0QL,E14000808
0QN,E14000808
0QQ,E14000808
0QS,E14000808
0QT,E14000808
0QU,E14000808
0QW,E14000808
0QX,E14000808
0QY,E14000808
0QZ,E14000808
0RA,E14000808
0RB,E14000808
0RD,E14000808
0RF,E14000808
0RG,E14000808
0RH,E14000808
0RP,E14000808
0RQ,E14000808
0RR,E14000808
0RX,E14000808
0RZ,E14000808
0SA,E14000808
0SD,E14000808
0SE,E14000808
0SF,E14000808
0SG,E14000808
0SH,E14000808
0SJ,E14000808
0SN,E14000808
0SP,E14000808
0SQ,E14000808
0SR,E14000808
0ST,E14000808
0SW,E14000808
0TA,E14000808
0TB,E14000808
0TD,E14000808
0TE,E14000808
0TF,E14000808
0TG,E14000808
0TH,E14000808
0TJ,E14000808
0TL,E14000808
0TN,E14000808
0TP,E14000808
0TQ,E14000808
0TR,E14000808
0TS,E14000808
0TT,E14000808
0TW,E14000808
0TX,E14000808
0TZ,E14000808
0UB,E14000808
0UD,E14000808
0UE,E14000808
0UF,E14000808
0UG,E14000808
0UH,E14000808
0UJ,E14000808
0UL,E14000808
0UN,E14000808
0UP,E14000808
0UQ,E14000808
0UR,E14000808
0US,E14000808
0UT,E14000808
0UU,E14000808
0UW,E14000808
0UX,E14000808
0UY,E14000808
0WG,E14000808
0WH,E14000808
0WL,E14000808
0WN,E14000808
0WP,E14000808
0WQ,E14000808
0WR,E14000808
0WS,E14000808
0WT,E14000808
0WU,E14000808
0WW,E14000808
0WX,E14000808
0WY,E14000808
0XA,E14000808
0XB,E14000808
0XD,E14000808
0XE,E14000808
0XF,E14000808
0XG,E14000808
0XH,E14000808
0XJ,E14000808
0XL,E14000808
0XN,E14000808
0XP,E14000808
0XQ,E14000808
0XR,E14000808
0XS,E14000808
0XT,E14000808
0XU,E14000808
0XW,E14000808
0XX,E14000808
0XY,E14000808
0XZ,E14000808
0YA,E14000808
0YB,E14000808
0YD,E14000808
0YE,E14000808
0YF,E14000808
0YG,E14000808
0YJ,E14000808
0YL,E14000808
0YN,E14000808
0YP,E14000808
0YQ,E14000808
0YR,E14000808
0YS,E14000808
0YW,E14000808
0ZE,E14000808
0ZF,E14000808
0ZG,E14000808
0ZH,E14000808
0ZJ,E14000808
0ZL,E14000808
0ZN,E14000808
0ZP,E14000808
0ZW,E14000808
0ZX,E14000807
0ZY,E14000807
9AB,E14000807
9AD,E14000807
9AE,E14000807
9AF,E14000807
9AG,E14000807
9AH,E14000807
9AJ,E14000807
9AL,E14000807
9AN,E14000807
9AP,E14000807
9AR,E14000807
9AS,E14000807
9AT,E14000807
9AU,E14000807
9AW,E14000807
9AX,E14000807
9AZ,E14000807
9BA,E14000807
9BB,E14000807
9BD,E14000807
9BE,E14000807
9BF,E14000807
9BL,E14000807
9BS,E14000807
9BT,E14000807
9BY,E14000807
9DA,E14000807
9DB,E14000807
9DF,E14000807
9DH,E14000807
9DJ,E14000807
9DL,E14000807
9DN,E14000807
9DP,E14000807
9DY,E14000807
9DZ,E14000807
9EE,E14000807
9EF,E14000807
9EH,E14000807
9EL,E14000807
9EP,E14000807
9ER,E14000807
9ES,E14000807
9EU,E14000807
9EX,E14000807
9EZ,E14000807
9FB,E14000807
9FD,E14000807
9FL,E14000807
9FN,E14000807
9FX,E14000807
9GA,E14000807
9GB,E14000807
9GD,E14000807
9GE,E14000807
9GF,E14000807
9GG,E14000807
9GH,E14000807
9GN,E14000807
9GP,E14000807
9GQ,E14000807
9GR,E14000807
9GS,E14000807
9GT,E14000807
9GU,E14000807
9GX,E14000807
9GY,E14000807
9GZ,E14000807
9HA,E14000807
9HB,E14000807
9HD,E14000807
9HG,E14000807
9HP,E14000807
9HQ,E14000807
9HU,E14000807
9HW,E14000807
9HX,E14000807
9HY,E14000807
9JA,E14000807
9JB,E14000807
9JD,E14000807
9JE,E14000807
9JG,E14000807
9JH,E14000807
9JJ,E14000807
9JP,E14000807
9JQ,E14000807
9JS,E14000807
9JT,E14000807
9LG,E14000807
9LH,E14000807
9LJ,E14000807
9LL,E14000807
9LQ,E14000807
9LR,E14000807
9LU,E14000807
9LW,E14000807
9LY,E14000807
9LZ,E14000807
9NA,E14000807
9NB,E14000807
9ND,E14000807
9NE,E14000807
