"pc","ca"
4AA,S14000003
4AB,S14000003
4AD,S14000003
4AE,S14000003
4AF,S14000003
4AG,S14000003
4AH,S14000003
4AJ,S14000003
4AL,S14000003
4AN,S14000003
4AP,S14000003
4AQ,S14000003
4AR,S14000003
4AS,S14000003
4AT,S14000003
4AU,S14000003
4AW,S14000003
4AX,S14000003
4AY,S14000003
4AZ,S14000003
4BA,S14000003
4BE,S14000003
4BF,S14000003
4BG,S14000003
4BJ,S14000003
4BL,S14000003
4BN,S14000003
4BP,S14000003
4BQ,S14000003
4BS,S14000003
4BT,S14000003
4BU,S14000003
4BW,S14000003
4BX,S14000003
4BY,S14000003
4BZ,S14000003
4DA,S14000003
4DB,S14000003
4DD,S14000003
4DE,S14000003
4DF,S14000003
4DG,S14000003
4DH,S14000003
4DJ,S14000003
4DN,S14000003
4DQ,S14000003
4DR,S14000003
4DS,S14000003
4DT,S14000003
4DU,S14000003
4DW,S14000003
4DX,S14000003
4DY,S14000003
4DZ,S14000003
4EA,S14000003
4EB,S14000003
4ED,S14000003
4EE,S14000003
4EF,S14000003
4EG,S14000003
4EH,S14000003
4EJ,S14000003
4EL,S14000003
4EN,S14000003
4EP,S14000003
4EQ,S14000003
4ER,S14000003
4ET,S14000003
4EU,S14000003
4EW,S14000003
4EX,S14000003
4EY,S14000003
4EZ,S14000003
4FB,S14000003
4HA,S14000003
4HB,S14000003
4HD,S14000003
4HE,S14000003
4HF,S14000003
4HG,S14000003
4HH,S14000003
4HJ,S14000003
4HL,S14000003
4HN,S14000003
4HP,S14000003
4HQ,S14000003
4HR,S14000003
4HS,S14000003
4HT,S14000003
4HU,S14000003
4HW,S14000003
4HX,S14000003
4HY,S14000003
4HZ,S14000003
4JA,S14000003
4JB,S14000003
4JD,S14000003
4JE,S14000003
4JF,S14000003
4JG,S14000003
4JH,S14000003
4JJ,S14000003
4JL,S14000003
4JN,S14000003
4JP,S14000003
4JQ,S14000003
4JS,S14000003
4JT,S14000003
4JU,S14000003
4JW,S14000003
4JX,S14000003
4JY,S14000003
4LB,S14000003
4LE,S14000003
4LG,S14000003
4LH,S14000003
4LJ,S14000003
4LL,S14000003
4LN,S14000003
4LP,S14000003
4LQ,S14000003
4LR,S14000003
4LS,S14000003
4LT,S14000003
4LU,S14000003
4LW,S14000003
4LX,S14000003
4LZ,S14000003
4NA,S14000003
4NB,S14000003
4ND,S14000003
4NE,S14000003
4NF,S14000003
4NG,S14000003
4NH,S14000003
4NJ,S14000003
4NL,S14000003
4NN,S14000003
4NP,S14000003
4NQ,S14000003
4NR,S14000003
4NS,S14000003
4NT,S14000003
4NU,S14000003
4NW,S14000003
4NX,S14000003
4NY,S14000003
4NZ,S14000003
4PA,S14000003
4PB,S14000003
4PD,S14000003
4PF,S14000003
5AA,S14000003
5AB,S14000003
5AD,S14000003
5AE,S14000003
5AF,S14000003
5AG,S14000003
5AH,S14000003
5AJ,S14000003
5AL,S14000003
5AN,S14000003
5AP,S14000003
5AQ,S14000003
5AR,S14000003
5AS,S14000003
5AT,S14000003
5AU,S14000003
5AW,S14000003
5AX,S14000003
5AY,S14000003
5AZ,S14000003
5BA,S14000003
5BB,S14000003
5BD,S14000003
5BF,S14000003
5BG,S14000003
5BH,S14000003
5BJ,S14000003
5BL,S14000003
5BP,S14000003
5BQ,S14000003
5BS,S14000003
5BT,S14000003
5BU,S14000003
5BW,S14000003
5BX,S14000003
5BY,S14000003
5BZ,S14000003
5DA,S14000003
5DB,S14000003
5DD,S14000003
5DE,S14000003
5DF,S14000003
5DG,S14000003
5DH,S14000003
5DJ,S14000003
5DL,S14000003
5DN,S14000003
5DP,S14000003
5DQ,S14000003
5DR,S14000003
5DS,S14000003
5DT,S14000003
5DU,S14000003
5DW,S14000003
5DX,S14000003
5DY,S14000003
5DZ,S14000003
5EA,S14000003
5EB,S14000003
5ED,S14000003
5EE,S14000003
5EF,S14000003
5EG,S14000003
5EH,S14000003
5EJ,S14000003
5EL,S14000003
5EN,S14000003
5EP,S14000003
5EQ,S14000003
5ER,S14000003
5ES,S14000003
5ET,S14000003
5EU,S14000003
5EZ,S14000003
5FA,S14000003
5FB,S14000003
5GA,S14000003
5HA,S14000003
5HB,S14000003
5HD,S14000003
5HE,S14000003
5HF,S14000003
5HG,S14000003
5HH,S14000003
5HJ,S14000003
5HL,S14000003
5HN,S14000003
