"pc","ca"
2AB,S14000050
2BA,S14000050
2BB,S14000050
2DA,S14000050
2DB,S14000050
2DD,S14000050
2DE,S14000050
2DF,S14000050
2DG,S14000050
2DH,S14000050
2DJ,S14000050
2DL,S14000050
2DN,S14000050
2DP,S14000050
2DR,S14000050
2DS,S14000050
2DT,S14000050
2DU,S14000050
2DW,S14000050
2DX,S14000050
2DY,S14000050
2DZ,S14000050
2EA,S14000050
2EB,S14000050
2ED,S14000050
2EE,S14000050
2EF,S14000050
2EG,S14000050
2EH,S14000050
2EJ,S14000050
2EL,S14000050
2EN,S14000050
2EP,S14000050
2EQ,S14000050
2ER,S14000050
2ES,S14000050
2ET,S14000050
2EU,S14000050
2EW,S14000050
2EX,S14000050
2EY,S14000050
2EZ,S14000050
2FB,S14000050
2GA,S14000050
2GB,S14000050
2HA,S14000050
2HB,S14000050
2HD,S14000050
2HE,S14000050
2HF,S14000050
2HG,S14000050
2HH,S14000050
2HJ,S14000050
2HL,S14000050
2HN,S14000050
2HP,S14000050
2HQ,S14000050
2HR,S14000050
2HS,S14000050
2HT,S14000050
2HU,S14000050
2HW,S14000050
2HX,S14000050
2HZ,S14000050
2JA,S14000050
2JB,S14000050
2JD,S14000050
2JE,S14000050
2JF,S14000050
2JG,S14000050
2JH,S14000050
2JJ,S14000050
2JP,S14000050
2JQ,S14000050
2JR,S14000050
2JS,S14000050
2JT,S14000050
2JU,S14000050
2JX,S14000050
2JY,S14000050
2JZ,S14000050
2LA,S14000050
2LB,S14000050
2LD,S14000050
2LE,S14000050
2LJ,S14000050
2LN,S14000050
2LP,S14000050
2LR,S14000050
2LS,S14000050
2LT,S14000050
2LW,S14000050
2LX,S14000050
2LY,S14000050
2LZ,S14000050
2NA,S14000050
2NB,S14000050
2ND,S14000050
2NE,S14000050
2NF,S14000050
2NG,S14000050
2NH,S14000050
2NJ,S14000050
2NL,S14000050
2NN,S14000050
2NQ,S14000050
2NW,S14000050
2PA,S14000050
2PB,S14000050
2PD,S14000050
2PE,S14000050
2PF,S14000050
2PG,S14000050
2PQ,S14000050
2YL,S14000050
