"pc","ca"
0AA,E14000818
0AB,E14000818
0AD,E14000818
0AE,E14000818
0AF,E14000818
0AG,E14000818
0AH,E14000818
0AJ,E14000818
0AL,E14000818
0AN,E14000818
0AP,E14000818
0AQ,E14000818
0AR,E14000818
0AS,E14000818
0AT,E14000818
0AU,E14000818
0AW,E14000818
0AX,E14000818
0AY,E14000818
0AZ,E14000818
0BA,E14000818
0BB,E14000818
0BD,E14000818
0BE,E14000818
0BG,E14000818
0BH,E14000818
0BJ,E14000818
0BL,E14000818
0BN,E14000818
0BP,E14000818
0BQ,E14000818
0BS,E14000818
0BT,E14000818
0BU,E14000818
0BW,E14000818
0BX,E14000818
0BY,E14000818
0BZ,E14000818
0DA,E14000818
0DB,E14000818
0DD,E14000818
0DE,E14000818
0DF,E14000818
0DG,E14000818
0DH,E14000818
0DJ,E14000818
0DL,E14000818
0DN,E14000818
0DP,E14000818
0DQ,E14000818
0DR,E14000818
0DS,E14000818
0DT,E14000818
0DU,E14000818
0DW,E14000818
0DX,E14000818
0DY,E14000818
0DZ,E14000818
0EA,E14000818
0EB,E14000818
0ED,E14000818
0EE,E14000818
0EF,E14000818
0EG,E14000818
0EH,E14000818
0EJ,E14000818
0EL,E14000818
0EN,E14000818
0EP,E14000818
0EQ,E14000818
0ER,E14000818
0ES,E14000818
0ET,E14000818
0EU,E14000818
0EW,E14000818
0EX,E14000818
0EY,E14000818
0EZ,E14000818
0FA,E14000818
0FB,E14000818
0FD,E14000818
0FE,E14000818
0HE,E14000818
0HG,E14000818
0HH,E14000818
0HJ,E14000818
0HL,E14000818
0HN,E14000818
0HP,E14000818
0HQ,E14000818
0HR,E14000818
0HS,E14000818
0HT,E14000818
0HU,E14000818
0HW,E14000818
0HX,E14000818
0HY,E14000818
0HZ,E14000818
0JA,E14000818
0JB,E14000818
0JD,E14000818
0JG,E14000818
0JH,E14000818
0JJ,E14000818
0JL,E14000818
0JN,E14000818
0JP,E14000818
0JQ,E14000818
0JR,E14000818
0JS,E14000818
0JT,E14000818
0JU,E14000818
0JW,E14000818
0JX,E14000818
0JY,E14000818
0JZ,E14000818
0LA,E14000818
0LB,E14000818
0LD,E14000818
0LE,E14000818
0LF,E14000818
0LG,E14000818
0LH,E14000818
0LJ,E14000818
0LL,E14000818
0LP,E14000818
0LQ,E14000818
0LR,E14000818
0LS,E14000818
0LU,E14000818
0LW,E14000818
0LX,E14000818
0LY,E14000818
0LZ,E14000818
0NA,E14000818
0NB,E14000818
0ND,E14000818
0NE,E14000818
0NF,E14000818
0NG,E14001058
0NH,E14000818
0NJ,E14000818
0NL,E14000818
0NN,E14001058
0NP,E14001058
0NQ,E14000818
0NR,E14001058
0NS,E14000818
0NU,E14000818
0NW,E14001058
0NX,E14000818
0NY,E14000818
